Date,Open,High,Low,Close,Volume,vol_deg_change,vol_percentile,body,upper_shadow,lower_shadow,norm_o,norm_h,norm_l,norm_c,log_rtn,kalman_log_rtn1
2017-08-19,302.0,311.79,283.94,293.96,953784646,1.0,1.0,0.29,0.35,0.36,0.0,0.0319,-0.0617,-0.027,-0.02698,0.27745
2017-08-20,293.31,299.9,278.0,290.91,214619773,0.0,0.333,0.11,0.3,0.59,-0.0022,0.0222,-0.0536,-0.0082,-0.01043,0.11211
2017-08-21,289.41,300.53,282.85,299.1,251013871,1.0,0.5,0.55,0.08,0.37,-0.0052,0.0377,-0.0229,0.0329,0.02776,0.06974
2017-08-22,299.1,346.52,294.6,323.29,521944542,1.0,0.6,0.47,0.45,0.09,0.0,0.1472,-0.0152,0.0778,0.07777,0.06194
2017-08-23,321.04,330.41,144.21,309.8,795635088,1.0,0.833,0.06,0.05,0.89,-0.007,0.0288,-0.8003,-0.0356,-0.04262,0.03444
2017-08-24,312.25,324.99,309.41,315.74,866572569,1.0,0.857,0.22,0.59,0.18,0.0079,0.04,-0.0091,0.0111,0.01899,0.02866
2017-08-25,315.74,328.04,314.01,323.42,675327192,0.0,0.5,0.55,0.33,0.12,0.0,0.0382,-0.0055,0.024,0.02403,0.0258
2017-08-26,323.42,338.28,323.42,327.24,712596962,1.0,0.667,0.26,0.74,0.0,0.0,0.0449,0.0,0.0117,0.01174,0.02218
2017-08-27,327.24,335.44,323.41,330.79,487768521,0.0,0.3,0.3,0.39,0.32,0.0,0.0247,-0.0118,0.0108,0.01079,0.0195
2017-08-28,332.18,348.13,330.73,348.13,463543715,0.0,0.273,0.92,0.0,0.08,0.0042,0.0469,-0.0044,0.0469,0.05109,0.02291
2017-08-29,348.11,351.0,331.95,346.0,427918170,0.0,0.25,0.11,0.15,0.74,-0.0001,0.0083,-0.0475,-0.0061,-0.00614,0.0184
2017-08-30,347.0,377.6,346.0,374.7,303213425,0.0,0.231,0.88,0.09,0.03,0.0029,0.0845,-0.0029,0.0768,0.07969,0.02569
2017-08-31,374.7,393.71,362.05,385.93,444659608,1.0,0.357,0.35,0.25,0.4,0.0,0.0495,-0.0343,0.0295,0.02953,0.0256
2017-09-01,384.64,389.36,377.78,384.79,443586855,0.0,0.333,0.01,0.39,0.59,-0.0033,0.0122,-0.018,0.0004,-0.00296,0.02158
2017-09-02,386.44,394.39,383.18,388.46,419868434,0.0,0.25,0.18,0.53,0.29,0.0043,0.0204,-0.0085,0.0052,0.00949,0.01979
2017-09-03,388.58,394.32,320.08,343.14,824032724,1.0,0.882,0.61,0.08,0.31,0.0003,0.0147,-0.1939,-0.1244,-0.12405,0.00359
2017-09-04,343.56,367.28,320.08,341.77,525362211,0.0,0.611,0.04,0.5,0.46,0.0012,0.0668,-0.0708,-0.0052,-0.004,0.00277
2017-09-05,339.29,344.55,267.94,283.77,673781061,1.0,0.632,0.72,0.07,0.21,-0.0073,0.0154,-0.2361,-0.1787,-0.18597,-0.01483
2017-09-06,286.81,321.52,235.55,312.09,834441924,1.0,0.9,0.29,0.11,0.6,0.0107,0.1142,-0.1969,0.0845,0.09513,-0.00492
2017-09-07,313.29,336.34,312.09,335.0,548630988,0.0,0.571,0.9,0.06,0.05,0.0038,0.071,-0.0038,0.067,0.07084,0.00241
2017-09-08,335.01,342.5,320.17,334.49,310389745,0.0,0.182,0.02,0.34,0.64,0.0,0.0221,-0.0453,-0.0016,-0.00152,0.00201
2017-09-09,334.49,335.1,272.0,302.99,491575693,1.0,0.478,0.5,0.01,0.49,0.0,0.0018,-0.2068,-0.0989,-0.09891,-0.0075
2017-09-10,300.01,307.0,281.66,296.74,274058822,0.0,0.125,0.13,0.28,0.6,-0.0099,0.023,-0.0631,-0.011,-0.02084,-0.00867
2017-09-11,296.72,302.78,261.03,293.5,415645099,1.0,0.24,0.08,0.15,0.78,-0.0001,0.0202,-0.1282,-0.0109,-0.01098,-0.00885
2017-09-12,293.51,304.98,285.21,297.3,482964647,1.0,0.462,0.19,0.39,0.42,0.0,0.0383,-0.0287,0.0128,0.01286,-0.0069
2017-09-13,297.78,316.46,286.01,293.96,517631402,1.0,0.556,0.13,0.61,0.26,0.0016,0.0608,-0.0403,-0.0129,-0.0113,-0.00728
2017-09-14,293.93,294.5,257.05,276.91,645122836,1.0,0.679,0.45,0.02,0.53,-0.0001,0.0019,-0.1341,-0.0596,-0.05975,-0.01184
2017-09-15,275.76,283.77,215.0,215.21,1260195676,1.0,1.0,0.88,0.12,0.0,-0.0042,0.0286,-0.2489,-0.2479,-0.25208,-0.03012
2017-09-16,217.0,270.93,192.0,253.0,1422389530,1.0,1.0,0.46,0.23,0.32,0.0083,0.222,-0.1224,0.1535,0.16178,-0.01582
2017-09-17,255.99,271.81,235.51,249.31,1036206011,0.0,0.935,0.18,0.44,0.38,0.0117,0.06,-0.0834,-0.0264,-0.01469,-0.01572
2017-09-18,249.32,264.39,239.02,257.55,461453337,0.0,0.344,0.32,0.27,0.41,0.0,0.0587,-0.0422,0.0325,0.03252,-0.01171
2017-09-19,257.53,306.22,257.11,294.57,412597051,0.0,0.182,0.75,0.24,0.01,-0.0001,0.1732,-0.0016,0.1344,0.1343,0.00152
2017-09-20,296.0,300.0,277.41,284.0,186990852,0.0,0.029,0.53,0.18,0.29,0.0048,0.0134,-0.0649,-0.0414,-0.03654,-0.0021
2017-09-21,284.01,294.0,275.91,282.0,106056734,0.0,0.029,0.11,0.55,0.34,0.0,0.0346,-0.0289,-0.0071,-0.00707,-0.00256
2017-09-22,285.1,287.0,252.1,257.0,191255583,1.0,0.083,0.81,0.05,0.14,0.0109,0.0066,-0.123,-0.1038,-0.09283,-0.01061
2017-09-23,258.0,272.97,253.01,264.0,146451250,0.0,0.054,0.3,0.45,0.25,0.0039,0.0564,-0.0195,0.023,0.02687,-0.00735
2017-09-24,259.99,286.23,255.11,285.93,282433572,1.0,0.211,0.83,0.01,0.16,-0.0153,0.0962,-0.0189,0.0951,0.0798,0.00068
2017-09-25,286.5,294.61,275.0,282.0,557554422,1.0,0.667,0.23,0.41,0.36,0.002,0.0279,-0.041,-0.0158,-0.01384,-0.0007
2017-09-26,282.0,299.0,281.34,294.42,587048035,1.0,0.675,0.7,0.26,0.04,0.0,0.0585,-0.0023,0.0431,0.0431,0.00353
2017-09-27,294.42,296.81,286.24,287.9,456692804,0.0,0.415,0.62,0.23,0.16,0.0,0.0081,-0.0282,-0.0224,-0.02239,0.00101
2017-09-28,289.91,313.0,286.13,309.74,551810382,1.0,0.643,0.74,0.12,0.14,0.007,0.0766,-0.0131,0.0662,0.07312,0.00816
2017-09-29,309.81,311.81,296.89,302.44,660090922,1.0,0.721,0.49,0.13,0.37,0.0002,0.0064,-0.0426,-0.0241,-0.02385,0.00493
2017-09-30,302.44,303.0,274.0,292.22,1108919902,1.0,0.955,0.35,0.02,0.63,0.0,0.0018,-0.0988,-0.0344,-0.03438,0.00108
2017-10-01,292.62,307.49,292.22,304.36,402060795,0.0,0.244,0.77,0.2,0.03,0.0014,0.0496,-0.0014,0.0393,0.0407,0.00496
2017-10-02,305.13,306.0,294.0,303.95,506005758,1.0,0.522,0.1,0.07,0.83,0.0025,0.0028,-0.0372,-0.0039,-0.00135,0.00433
2017-10-03,303.94,305.0,295.0,296.5,371083747,0.0,0.234,0.74,0.11,0.15,-0.0,0.0035,-0.0299,-0.0248,-0.02482,0.00148
2017-10-04,298.15,301.99,283.18,292.48,554685702,1.0,0.646,0.3,0.2,0.49,0.0055,0.0128,-0.0515,-0.0192,-0.01365,3e-05
2017-10-05,292.47,297.97,288.0,291.99,401488792,0.0,0.245,0.05,0.55,0.4,-0.0,0.0186,-0.0154,-0.0016,-0.00168,-0.00013
2017-10-06,290.0,297.44,285.53,294.81,341239016,0.0,0.22,0.4,0.22,0.38,-0.0068,0.0253,-0.0155,0.0165,0.00961,0.0008
2017-10-07,294.78,310.8,293.78,310.8,354102359,1.0,0.235,0.94,0.0,0.06,-0.0001,0.0529,-0.0034,0.0529,0.05282,0.00591
2017-10-08,309.9,318.5,303.6,311.01,216579076,0.0,0.115,0.07,0.5,0.42,-0.0029,0.0274,-0.0205,0.0036,0.00068,0.00538
2017-10-09,311.08,317.07,309.0,311.07,296093198,1.0,0.189,0.0,0.74,0.26,0.0002,0.0191,-0.0067,-0.0,0.00019,0.00486
2017-10-10,311.13,312.13,286.65,297.19,488537863,1.0,0.537,0.55,0.04,0.41,0.0002,0.0032,-0.0819,-0.0458,-0.04565,-5e-05
2017-10-11,297.35,308.56,293.0,298.64,674927468,1.0,0.782,0.08,0.64,0.28,0.0005,0.037,-0.0147,0.0043,0.00487,0.00042
2017-10-12,300.88,305.5,298.02,304.01,372468630,0.0,0.286,0.42,0.2,0.38,0.0075,0.0152,-0.0096,0.0103,0.01782,0.00209
2017-10-13,304.01,310.0,302.71,303.99,782775596,1.0,0.842,0.0,0.82,0.18,0.0,0.0195,-0.0043,-0.0001,-7e-05,0.00188
2017-10-14,303.52,353.96,297.0,337.96,1792536585,1.0,1.0,0.6,0.28,0.11,-0.0015,0.1537,-0.0217,0.1075,0.10593,0.01245
2017-10-15,337.96,349.8,335.0,342.0,773196469,0.0,0.814,0.27,0.53,0.2,0.0,0.0344,-0.0088,0.0119,0.01188,0.01239
2017-10-16,342.0,348.0,316.17,337.96,1001134708,1.0,0.917,0.13,0.19,0.68,0.0,0.0174,-0.0785,-0.0119,-0.01188,0.00983
2017-10-17,337.5,354.0,332.78,335.19,866347097,0.0,0.869,0.11,0.78,0.11,-0.0014,0.0477,-0.0141,-0.0069,-0.00823,0.00797
2017-10-18,335.18,336.58,312.65,315.19,814674356,0.0,0.823,0.84,0.06,0.11,-0.0,0.0042,-0.0696,-0.0615,-0.06152,0.00108
2017-10-19,315.19,318.0,284.68,309.7,1290804540,1.0,0.968,0.16,0.08,0.75,0.0,0.0089,-0.1018,-0.0176,-0.01757,-0.0007
