Date,Open,High,Low,Close,advancing,declining,Volume,trade_value
1987/1/7,101.06,101.96,101.06,101.96,0,0,0,423.0
1987/1/8,101.96,102.97,101.96,102.97,0,0,0,374.0
1987/1/9,102.97,102.97,102.82,102.82,0,0,0,396.0
1987/1/10,102.82,103.9,102.82,103.9,0,0,0,409.0
1987/1/12,103.9,107.34,103.9,107.34,0,0,0,558.0
1987/1/13,107.34,107.34,106.29,106.29,0,0,0,615.0
1987/1/14,106.29,106.73,106.29,106.73,0,0,0,501.0
1987/1/15,106.73,106.93,106.73,106.93,0,0,0,428.0
1987/1/16,106.93,107.39,106.93,107.39,0,0,0,400.0
1987/1/17,107.39,108.28,107.39,108.28,0,0,0,385.0
1987/1/19,108.28,108.28,107.72,107.72,0,0,0,566.0
1987/1/20,107.72,107.72,107.58,107.58,0,0,0,374.0
1987/1/21,107.58,107.58,106.36,106.36,0,0,0,352.0
1987/1/22,106.36,107.76,106.36,107.76,0,0,0,323.0
1987/1/23,107.76,108.52,107.76,108.52,0,0,0,442.0
1987/1/24,108.52,109.55,108.52,109.55,0,0,0,346.0
1987/2/3,109.55,110.37,109.55,110.37,0,0,0,507.0
1987/2/4,110.37,110.37,109.52,109.52,0,0,0,479.0
1987/2/5,109.52,110.45,109.52,110.45,0,0,0,426.0
1987/2/6,110.45,112.98,110.45,112.98,0,0,0,557.0
1987/2/7,112.98,112.98,112.47,112.47,0,0,0,577.0
1987/2/9,112.47,113.56,112.47,113.56,0,0,0,486.0
1987/2/10,113.56,113.97,113.56,113.97,0,0,0,578.0
1987/2/11,113.97,114.38,113.97,114.38,0,0,0,549.0
1987/2/12,114.38,114.38,113.66,113.66,0,0,0,617.0
1987/2/13,113.66,113.66,109.98,109.98,0,0,0,610.0
1987/2/14,109.98,109.98,109.77,109.77,0,0,0,369.0
1987/2/16,109.77,111.21,109.77,111.21,0,0,0,386.0
1987/2/17,111.21,111.21,111.06,111.06,0,0,0,507.0
1987/2/18,111.06,111.06,110.14,110.14,0,0,0,506.0
1987/2/19,110.14,111.92,110.14,111.92,0,0,0,445.0
1987/2/20,111.92,111.95,111.92,111.95,0,0,0,494.0
1987/2/21,111.95,111.95,111.92,111.92,0,0,0,360.0
1987/2/23,111.92,113.08,111.92,113.08,0,0,0,461.0
1987/2/24,113.08,113.08,112.96,112.96,0,0,0,530.0
1987/2/25,112.96,113.21,112.96,113.21,0,0,0,439.0
1987/2/26,113.21,114.15,113.21,114.15,0,0,0,474.0
1987/2/27,114.15,115.48,114.15,115.48,0,0,0,532.0
1987/2/28,115.48,118.01,115.48,118.01,0,0,0,578.0
1987/3/2,118.01,118.57,118.01,118.57,0,0,0,720.0
1987/3/3,118.57,118.57,118.13,118.13,0,0,0,651.0
1987/3/4,118.13,120.56,118.13,120.56,0,0,0,528.0
1987/3/5,120.56,121.69,120.56,121.69,0,0,0,558.0
1987/3/6,121.69,121.69,120.4,120.4,0,0,0,618.0
1987/3/7,120.4,120.4,119.73,119.73,0,0,0,401.0
1987/3/9,119.73,120.03,119.73,120.03,0,0,0,403.0
1987/3/10,120.03,120.03,116.76,116.76,0,0,0,512.0
1987/3/11,116.76,116.76,115.95,115.95,0,0,0,551.0
1987/3/12,115.95,115.95,114.64,114.64,0,0,0,412.0
1987/3/13,114.64,114.64,114.47,114.47,0,0,0,456.0
1987/3/14,114.47,114.47,114.34,114.34,0,0,0,340.0
1987/3/16,114.34,114.34,114.03,114.03,0,0,0,325.0
1987/3/17,114.03,116.21,114.03,116.21,0,0,0,405.0
1987/3/18,116.21,117.55,116.21,117.55,0,0,0,474.0
1987/3/19,117.55,117.81,117.55,117.81,0,0,0,491.0
1987/3/20,117.81,119.19,117.81,119.19,0,0,0,533.0
1987/3/21,119.19,120.44,119.19,120.44,0,0,0,504.0
1987/3/23,120.44,121.92,120.44,121.92,0,0,0,670.0
1987/3/24,121.92,121.92,120.92,120.92,0,0,0,674.0
1987/3/25,120.92,120.92,120.46,120.46,0,0,0,712.0
1987/3/26,120.46,122.04,120.46,122.04,0,0,0,561.0
1987/3/27,122.04,125.37,122.04,125.37,0,0,0,620.0
1987/3/28,125.37,125.38,125.37,125.38,0,0,0,548.0
1987/3/31,125.38,125.38,124.53,124.53,0,0,0,696.0
1987/4/1,124.53,126.02,124.53,126.02,0,0,0,691.0
1987/4/2,126.02,128.71,126.02,128.71,0,0,0,795.0
1987/4/3,128.71,129.31,128.71,129.31,0,0,0,822.0
1987/4/4,129.31,129.89,129.31,129.89,0,0,0,595.0
1987/4/7,129.89,132.69,129.89,132.69,0,0,0,793.0
1987/4/8,132.69,138.73,132.69,138.73,0,0,0,790.0
1987/4/9,138.73,138.73,137.32,137.32,0,0,0,965.0
1987/4/10,137.32,139.67,137.32,139.67,0,0,0,921.0
1987/4/11,139.67,140.23,139.67,140.23,0,0,0,671.0
1987/4/13,140.23,142.64,140.23,142.64,0,0,0,837.0
1987/4/14,142.64,145.71,142.64,145.71,0,0,0,1002.0
1987/4/15,145.71,147.8,145.71,147.8,0,0,0,1125.0
1987/4/16,147.8,147.8,146.36,146.36,0,0,0,1056.0
1987/4/17,146.36,146.36,142.79,142.79,0,0,0,946.0
1987/4/18,142.79,142.79,140.97,140.97,0,0,0,691.0
1987/4/20,140.97,147.43,140.97,147.43,0,0,0,812.0
1987/4/21,147.43,150.4,147.43,150.4,0,0,0,1047.0
1987/4/22,150.4,150.4,146.07,146.07,0,0,0,1090.0
1987/4/23,146.07,149.48,146.07,149.48,0,0,0,918.0
1987/4/24,149.48,152.88,149.48,152.88,0,0,0,885.0
1987/4/25,152.88,157.45,152.88,157.45,0,0,0,828.0
1987/4/27,157.45,159.02,157.45,159.02,0,0,0,1122.0
1987/4/28,159.02,159.02,153.9,153.9,0,0,0,1094.0
1987/4/29,153.9,157.12,153.9,157.12,0,0,0,1011.0
1987/4/30,157.12,157.12,154.6,154.6,0,0,0,1111.0
1987/5/1,154.6,154.6,154.6,154.6,0,0,0,1111.0
1987/5/2,154.6,157.7,154.6,157.7,0,0,0,827.0
1987/5/4,157.7,158.57,157.7,158.57,0,0,0,926.0
1987/5/5,158.57,158.57,153.04,153.04,0,0,0,968.0
1987/5/6,153.04,155.12,153.04,155.12,0,0,0,937.0
1987/5/7,155.12,157.75,155.12,157.75,0,0,0,897.0
1987/5/8,157.75,157.75,153.92,153.92,0,0,0,846.0
1987/5/9,153.92,153.92,148.76,148.76,0,0,0,603.0
1987/5/11,148.76,148.76,145.72,145.72,0,0,0,816.0
1987/5/12,145.72,151.77,145.72,151.77,0,0,0,753.0
1987/5/13,151.77,151.77,148.97,148.97,0,0,0,820.0
1987/5/14,148.97,148.97,144.02,144.02,0,0,0,838.0
1987/5/15,144.02,144.02,142.81,142.81,0,0,0,619.0
1987/5/16,142.81,144.42,142.81,144.42,0,0,0,578.0
1987/5/18,144.42,144.96,144.42,144.96,0,0,0,519.0
1987/5/19,144.96,146.8,144.96,146.8,0,0,0,498.0
1987/5/20,146.8,147.59,146.8,147.59,0,0,0,749.0
1987/5/21,147.59,147.59,145.7,145.7,0,0,0,759.0
1987/5/22,145.7,145.7,143.71,143.71,0,0,0,738.0
1987/5/23,143.71,146.32,143.71,146.32,0,0,0,584.0
1987/5/25,146.32,149.76,146.32,149.76,0,0,0,866.0
1987/5/26,149.76,149.76,146.73,146.73,0,0,0,1031.0
1987/5/27,146.73,146.73,145.47,145.47,0,0,0,866.0
1987/5/28,145.47,145.47,140.2,140.2,0,0,0,956.0
1987/5/29,140.2,141.21,140.2,141.21,0,0,0,774.0
1987/5/30,141.21,141.21,140.66,140.66,0,0,0,559.0
1987/6/2,140.66,140.66,135.76,135.76,0,0,0,766.0
1987/6/3,135.76,136.54,135.76,136.54,0,0,0,657.0
1987/6/4,136.54,136.54,131.67,131.67,0,0,0,658.0
1987/6/5,131.67,131.67,129.92,129.92,0,0,0,849.0
1987/6/6,129.92,134.77,129.92,134.77,0,0,0,551.0
1987/6/8,134.77,134.77,133.38,133.38,0,0,0,610.0
1987/6/9,133.38,134.44,133.38,134.44,0,0,0,575.0
1987/6/10,134.44,134.57,134.44,134.57,0,0,0,460.0
1987/6/11,134.57,136.36,134.57,136.36,0,0,0,499.0
1987/6/12,136.36,136.36,135.05,135.05,0,0,0,610.0
1987/6/13,135.05,135.15,135.05,135.15,0,0,0,426.0
1987/6/15,135.15,137.56,135.15,137.56,0,0,0,605.0
1987/6/16,137.56,137.56,135.48,135.48,0,0,0,703.0
1987/6/17,135.48,136.54,135.48,136.54,0,0,0,497.0
1987/6/18,136.54,136.54,135.52,135.52,0,0,0,595.0
1987/6/19,135.52,135.52,134.53,134.53,0,0,0,514.0
1987/6/20,134.53,134.53,132.42,132.42,0,0,0,315.0
1987/6/22,132.42,132.96,132.42,132.96,0,0,0,461.0
1987/6/23,132.96,132.96,131.57,131.57,0,0,0,431.0
1987/6/24,131.57,131.57,130.08,130.08,0,0,0,531.0
1987/6/25,130.08,130.08,128.43,128.43,0,0,0,449.0
1987/6/26,128.43,129.32,128.43,129.32,0,0,0,397.0
1987/6/27,129.32,130.19,129.32,130.19,0,0,0,318.0
1987/6/29,130.19,130.19,125.8,125.8,0,0,0,518.0
1987/6/30,125.8,125.8,125.32,125.32,0,0,0,479.0
1987/7/2,125.32,125.32,124.9,124.9,0,0,0,424.0
1987/7/3,124.9,124.9,123.18,123.18,0,0,0,398.0
1987/7/4,123.18,123.18,122.0,122.0,0,0,0,343.0
1987/7/6,122.0,122.42,122.0,122.42,0,0,0,315.0
1987/7/7,122.42,123.78,122.42,123.78,0,0,0,330.0
1987/7/8,123.78,125.33,123.78,125.33,0,0,0,429.0
1987/7/9,125.33,126.16,125.33,126.16,0,0,0,458.0
1987/7/10,126.16,131.65,126.16,131.65,0,0,0,723.0
1987/7/11,131.65,134.62,131.65,134.62,0,0,0,736.0
1987/7/13,134.62,134.62,132.75,132.75,0,0,0,1084.0
1987/7/14,132.75,135.52,132.75,135.52,0,0,0,841.0
1987/7/15,135.52,136.92,135.52,136.92,0,0,0,1015.0
1987/7/16,136.92,136.92,136.9,136.9,0,0,0,854.0
1987/7/17,136.9,136.9,134.95,134.95,0,0,0,802.0
1987/7/18,134.95,136.46,134.95,136.46,0,0,0,570.0
1987/7/20,136.46,136.46,135.86,135.86,0,0,0,738.0
1987/7/21,135.86,135.86,134.15,134.15,0,0,0,662.0
1987/7/22,134.15,134.15,133.06,133.06,0,0,0,601.0
1987/7/23,133.06,133.06,131.35,131.35,0,0,0,547.0
1987/7/24,131.35,135.26,131.35,135.26,0,0,0,765.0
1987/7/25,135.26,136.7,135.26,136.7,0,0,0,726.0
1987/7/27,136.7,136.7,135.34,135.34,0,0,0,1107.0
1987/7/28,135.34,135.9,135.34,135.9,0,0,0,838.0
1987/7/29,135.9,135.9,131.57,131.57,0,0,0,1084.0
1987/7/30,131.57,134.97,131.57,134.97,0,0,0,757.0
1987/7/31,134.97,134.97,133.6,133.6,0,0,0,860.0
1987/8/1,133.6,133.96,133.6,133.96,0,0,0,577.0
1987/8/3,133.96,135.67,133.96,135.67,0,0,0,661.0
1987/8/4,135.67,138.15,135.67,138.15,0,0,0,894.0
1987/8/5,138.15,138.45,138.15,138.45,0,0,0,113.0
1987/8/6,138.45,138.45,137.87,137.87,0,0,0,900.0
1987/8/7,137.87,141.26,137.87,141.26,0,0,0,897.0
1987/8/8,141.26,141.6,141.26,141.6,0,0,0,906.0
1987/8/10,141.6,142.18,141.6,142.18,0,0,0,1033.0
1987/8/11,142.18,143.44,142.18,143.44,0,0,0,1022.0
1987/8/12,143.44,146.71,143.44,146.71,0,0,0,1199.0
1987/8/13,146.71,146.71,146.53,146.53,0,0,0,1218.0
1987/8/14,146.53,146.53,143.51,143.51,0,0,0,1201.0
1987/8/15,143.51,146.16,143.51,146.16,0,0,0,842.0
1987/8/17,146.16,151.13,146.16,151.13,0,0,0,1028.0
1987/8/18,151.13,155.92,151.13,155.92,0,0,0,1151.0
1987/8/19,155.92,156.59,155.92,156.59,0,0,0,1855.0
1987/8/20,156.59,156.59,156.23,156.23,0,0,0,1677.0
1987/8/21,156.23,156.23,151.84,151.84,0,0,0,1838.0
1987/8/22,151.84,151.84,150.13,150.13,0,0,0,1238.0
1987/8/24,150.13,153.0,150.13,153.0,0,0,0,1269.0
1987/8/25,153.0,153.96,153.0,153.96,0,0,0,1526.0
1987/8/26,153.96,160.3,153.96,160.3,0,0,0,1613.0
1987/8/27,160.3,160.3,159.25,159.25,0,0,0,1597.0
1987/8/28,159.25,160.92,159.25,160.92,0,0,0,1522.0
1987/8/29,160.92,161.94,160.92,161.94,0,0,0,1240.0
1987/8/31,161.94,163.8,161.94,163.8,0,0,0,1556.0
1987/9/1,163.8,168.48,163.8,168.48,0,0,0,1581.0
1987/9/2,168.48,168.86,168.48,168.86,0,0,0,2203.0
1987/9/3,168.86,168.86,166.02,166.02,0,0,0,2378.0
