Date,Open,High,Low,Close,Volume,trade_value
2007/7/2,100.29,100.29,99.26,99.67,119901,12307.0
2007/7/3,99.91,100.48,99.69,100.11,156781,12735.0
2007/7/4,100.98,101.58,100.53,100.76,181237,13797.0
2007/7/5,101.23,101.4,100.82,101.23,191536,12826.0
2007/7/6,101.24,101.78,100.76,101.43,243670,15807.0
2007/7/9,102.36,103.19,102.14,102.83,267203,17647.0
2007/7/10,103.19,103.96,102.56,103.89,254661,17745.0
2007/7/11,103.7,103.74,102.58,102.65,252782,14662.0
2007/7/12,103.1,103.35,102.37,102.37,218949,12467.0
2007/7/13,103.8,103.9,102.25,102.47,219631,13643.0
2007/7/16,102.81,102.81,101.41,101.6,162625,10697.0
2007/7/17,102.14,103.48,101.54,103.45,211966,11955.0
2007/7/18,102.67,102.81,101.51,101.51,231428,12894.0
2007/7/19,101.2,102.58,101.2,101.98,173595,9826.0
2007/7/20,102.67,103.37,102.67,103.37,183500,11080.0
2007/7/23,103.56,103.9,103.4,103.9,184307,12414.0
2007/7/24,103.66,105.54,103.45,105.51,243331,19886.0
2007/7/25,105.84,107.13,105.25,106.72,280570,24033.0
2007/7/26,105.98,106.25,104.11,104.2,362758,28761.0
2007/7/27,101.6,102.71,100.2,100.2,267903,19235.0
2007/7/30,99.47,100.32,98.59,99.43,191657,15070.0
2007/7/31,100.79,100.87,99.92,100.8,202900,16979.0
2007/8/1,99.69,100.49,97.5,97.5,266438,17840.0
2007/8/2,99.55,99.55,96.6,98.27,193722,13341.0
2007/8/3,99.58,99.91,98.7,99.06,147502,9342.0
2007/8/6,97.52,98.67,97.39,98.09,114270,7788.0
2007/8/7,99.27,99.67,98.02,98.02,121474,9174.0
2007/8/8,98.92,99.57,98.59,99.53,116256,7657.0
2007/8/9,100.22,100.59,99.63,99.71,173570,10218.0
2007/8/10,97.52,97.94,97.22,97.32,174810,11923.0
2007/8/13,98.72,98.78,96.8,96.8,119851,10775.0
2007/8/14,97.3,97.7,96.34,96.93,118962,10112.0
2007/8/15,95.48,95.72,94.29,94.45,140906,9195.0
2007/8/16,92.37,93.24,91.53,91.54,174385,11228.0
2007/8/17,91.27,92.2,89.02,89.91,186256,11124.0
2007/8/20,94.42,94.42,92.92,94.31,114038,7288.0
2007/8/21,93.84,93.89,92.37,92.69,142013,8456.0
2007/8/22,92.55,92.82,91.76,91.89,105511,6505.0
2007/8/23,94.52,95.28,94.22,94.85,143267,9392.0
2007/8/24,95.37,96.19,94.7,95.73,146707,9541.0
2007/8/27,97.32,97.32,96.23,96.38,112637,7354.0
2007/8/28,96.07,96.65,95.61,96.38,100805,7065.0
2007/8/29,94.96,97.74,94.95,97.3,131834,8677.0
2007/8/30,98.63,99.48,98.38,99.09,148035,8956.0
2007/8/31,99.47,101.78,99.35,101.78,142036,12655.0
2007/9/3,102.43,102.52,101.29,101.84,125579,13022.0
2007/9/4,103.08,103.08,102.08,102.12,133518,12558.0
2007/9/5,103.57,103.64,102.25,102.45,115142,11714.0
2007/9/6,102.47,103.23,101.68,103.14,109828,11735.0
2007/9/7,102.92,102.95,101.8,102.15,106867,11127.0
2007/9/10,100.1,101.45,100.1,100.97,91233,8896.0
2007/9/11,101.47,101.54,100.68,101.31,102034,10224.0
2007/9/12,102.05,102.53,101.15,102.25,120484,9833.0
2007/9/13,102.95,103.02,101.43,101.43,77091,7047.0
2007/9/14,102.26,102.79,101.96,102.74,110610,7970.0
2007/9/17,103.08,103.08,101.15,101.54,107815,8010.0
2007/9/19,103.76,103.83,102.33,102.81,125376,11657.0
2007/9/20,103.49,104.2,102.52,102.92,104220,9819.0
2007/9/21,103.0,103.97,102.59,103.88,84800,7470.0
2007/9/26,104.81,105.59,104.63,105.59,120460,10410.0
2007/9/27,106.32,107.63,106.26,107.63,174882,13544.0
2007/9/28,108.04,108.43,107.26,107.46,167646,14087.0
2007/9/29,107.63,107.81,106.77,107.53,96964,6757.0
2007/10/1,107.77,108.52,107.38,107.47,116830,12104.0
2007/10/2,108.85,109.64,108.61,109.56,167792,17073.0
2007/10/3,110.27,111.42,109.84,110.49,134759,20113.0
2007/10/4,110.09,111.74,109.64,111.39,122972,17746.0
2007/10/5,111.49,112.24,110.9,110.92,121967,17774.0
2007/10/8,112.18,112.26,111.01,111.42,103175,11471.0
2007/10/9,111.0,111.0,109.58,110.55,141099,14338.0
2007/10/11,111.5,111.78,110.84,111.56,148222,13809.0
2007/10/12,111.26,111.6,109.82,109.88,148957,10332.0
2007/10/15,110.37,110.57,109.03,110.24,143922,9698.0
2007/10/16,109.83,111.41,109.53,111.37,153905,16303.0
2007/10/17,111.22,111.49,110.34,110.96,181793,13502.0
2007/10/18,111.27,112.07,110.52,111.63,193809,13820.0
2007/10/19,112.02,112.65,111.93,112.1,134094,12113.0
2007/10/22,108.67,110.12,108.67,110.12,123261,11655.0
2007/10/23,111.05,113.6,110.92,113.52,143294,15258.0
2007/10/24,114.48,114.63,112.21,112.25,163276,15372.0
2007/10/25,113.41,113.64,112.44,112.81,113598,10519.0
2007/10/26,113.4,113.93,112.97,113.93,101502,11846.0
2007/10/29,115.14,115.68,114.51,114.66,144077,12889.0
2007/10/30,114.74,115.06,114.26,114.68,107502,9414.0
2007/10/31,114.42,114.56,112.39,112.58,140066,15254.0
2007/11/1,113.37,113.64,111.83,112.53,166367,15611.0
2007/11/2,109.85,110.16,108.5,108.8,144313,14979.0
2007/11/5,108.0,108.44,106.26,108.4,113957,12441.0
2007/11/6,109.03,110.18,108.6,109.2,129714,12088.0
2007/11/7,110.63,110.67,108.49,108.49,122192,13295.0
2007/11/8,106.22,106.79,104.71,105.44,135799,12621.0
2007/11/9,105.72,107.14,105.01,106.93,152176,12179.0
2007/11/12,105.1,105.25,104.05,104.4,151015,11587.0
2007/11/13,104.45,105.12,102.98,104.12,124546,10714.0
2007/11/14,106.6,107.52,106.34,107.38,115477,11437.0
2007/11/15,107.52,107.69,107.0,107.07,101557,7750.0
2007/11/16,105.45,106.03,104.5,105.63,92092,7664.0
2007/11/19,106.13,107.25,105.57,105.57,75914,6155.0
2007/11/20,104.04,107.29,103.47,107.29,90809,9634.0
2007/11/21,106.78,106.85,104.19,104.19,89596,10876.0
2007/11/22,103.57,105.66,103.38,104.61,75156,10696.0
2007/11/23,105.26,105.26,103.12,103.44,86942,9588.0
2007/11/26,105.03,106.23,104.45,106.0,91184,8933.0
2007/11/27,103.2,106.0,102.41,105.38,117202,10468.0
2007/11/28,106.34,106.6,104.95,104.95,93673,8497.0
2007/11/29,106.86,107.02,106.16,106.71,116163,10319.0
2007/11/30,107.34,108.86,107.25,108.24,156941,11647.0
2007/12/3,108.0,108.38,106.27,106.7,100736,7617.0
2007/12/4,106.55,108.13,106.34,108.03,104545,9994.0
2007/12/5,107.68,108.67,107.14,108.5,124451,11103.0
2007/12/6,109.59,109.69,108.55,109.3,104744,10632.0
2007/12/7,109.81,109.98,109.29,109.52,88631,10264.0
2007/12/10,108.53,108.53,107.05,107.23,80744,7181.0
2007/12/11,107.94,108.05,106.63,107.4,76459,8488.0
2007/12/12,105.54,107.28,105.46,106.35,59801,6668.0
2007/12/13,106.3,107.38,103.4,103.4,108542,10740.0
2007/12/14,103.32,103.7,100.99,103.21,135705,12367.0
2007/12/17,102.41,103.55,99.69,99.69,110000,11093.0
2007/12/18,98.03,100.33,97.35,98.12,165773,16593.0
2007/12/19,98.76,100.08,98.68,99.86,136596,11478.0
2007/12/20,100.27,100.42,98.66,98.82,117084,9501.0
2007/12/21,99.4,100.63,98.11,99.9,93087,7880.0
2007/12/24,100.75,101.45,100.01,101.44,68498,9514.0
2007/12/25,102.06,102.87,101.32,101.69,60716,6041.0
2007/12/26,102.09,103.25,101.61,103.21,48411,4564.0
2007/12/27,103.03,105.55,103.03,104.75,83361,6340.0
2007/12/28,104.6,107.69,104.51,106.64,82735,8815.0
2007/12/31,107.09,108.33,106.92,108.33,80045,6488.0
2008/1/2,108.45,108.74,105.83,106.22,82219,7461.0
2008/1/3,103.81,104.53,102.94,103.33,79312,10987.0
2008/1/4,102.22,103.95,101.51,102.92,79173,9156.0
2008/1/7,98.84,99.82,98.68,99.35,89262,9183.0
2008/1/8,99.82,101.87,99.72,101.46,76335,7264.0
2008/1/9,99.76,103.24,99.41,103.24,168477,14780.0
2008/1/10,104.25,104.48,103.47,103.58,114808,9581.0
2008/1/11,104.06,105.48,104.06,104.69,102936,9903.0
2008/1/14,106.14,106.32,103.03,103.42,104263,9040.0
2008/1/15,105.02,106.77,103.92,104.69,161759,12444.0
2008/1/16,102.04,102.94,101.22,101.56,133528,9955.0
2008/1/17,103.35,104.26,101.18,102.15,142573,9942.0
2008/1/18,101.04,105.74,100.45,105.74,142601,10087.0
2008/1/21,105.46,106.27,105.27,106.0,119016,10937.0
2008/1/22,98.97,101.83,98.88,99.29,146581,14742.0
2008/1/23,101.35,101.48,98.18,98.48,181626,14323.0
2008/1/24,100.69,101.41,97.7,98.39,170906,13061.0
2008/1/25,99.67,101.66,99.67,101.6,153011,13110.0
2008/1/28,100.48,100.77,96.89,96.89,112871,8720.0
2008/1/29,98.41,98.77,97.26,98.77,129691,8568.0
2008/1/30,99.03,100.03,98.38,99.36,113059,8580.0
2008/1/31,100.12,101.43,98.71,100.08,167199,13398.0
2008/2/1,101.93,102.27,100.58,102.0,93447,9297.0
