Date,Open,High,Low,Close,Volume,vol_deg_change,vol_percentile,body,upper_shadow,lower_shadow,norm_o,norm_h,norm_l,norm_c,log_rtn,kalman_log_rtn1
2017-08-19,4285.08,4371.52,3938.77,4108.37,1199888264,1.0,1.0,0.41,0.2,0.39,0.0,0.02,-0.0843,-0.0421,-0.04211,0.26994
2017-08-20,4108.37,4184.69,3850.0,4139.98,381309763,0.0,0.333,0.09,0.13,0.77,0.0,0.0184,-0.065,0.0077,0.00766,0.11564
2017-08-21,4120.98,4211.08,4032.62,4086.29,467083022,1.0,0.5,0.19,0.5,0.3,-0.0046,0.0216,-0.0217,-0.0085,-0.01305,0.06089
2017-08-22,4069.13,4119.62,3911.79,4016.0,691743060,1.0,0.6,0.26,0.24,0.5,-0.0042,0.0123,-0.0394,-0.0131,-0.01735,0.0355
2017-08-23,4016.0,4104.82,3400.0,4040.0,966684858,1.0,0.833,0.03,0.09,0.87,0.0,0.0219,-0.1665,0.006,0.00596,0.02606
2017-08-24,4040.0,4265.8,4013.89,4114.01,1001136565,1.0,0.857,0.29,0.6,0.1,0.0,0.0544,-0.0065,0.0182,0.01815,0.02238
2017-08-25,4147.0,4371.68,4085.01,4316.01,787418753,0.0,0.5,0.59,0.19,0.22,0.008,0.0528,-0.0151,0.0399,0.04793,0.02465
2017-08-26,4316.01,4453.91,4247.48,4280.68,573612740,0.0,0.333,0.17,0.67,0.16,0.0,0.0315,-0.016,-0.0082,-0.00822,0.0184
2017-08-27,4280.71,4367.0,4212.41,4337.44,228108068,0.0,0.1,0.37,0.19,0.44,0.0,0.02,-0.0161,0.0132,0.01317,0.01677
2017-08-28,4332.51,4400.0,4285.54,4310.01,350692585,1.0,0.182,0.2,0.59,0.21,-0.0011,0.0155,-0.0109,-0.0052,-0.00634,0.01313
2017-08-29,4310.01,4399.82,4124.54,4386.69,603841616,1.0,0.5,0.28,0.05,0.67,0.0,0.0206,-0.044,0.0176,0.01763,0.01324
2017-08-30,4353.65,4625.85,4313.55,4587.48,603545028,0.0001,0.462,0.75,0.12,0.13,-0.0076,0.0606,-0.0093,0.0523,0.04476,0.01669
2017-08-31,4564.52,4647.51,4416.01,4555.14,808468771,1.0,0.786,0.04,0.36,0.6,-0.005,0.018,-0.0331,-0.0021,-0.00707,0.01349
2017-09-01,4555.14,4745.42,4555.14,4724.89,556956802,0.0,0.333,0.89,0.11,0.0,0.0,0.0409,0.0,0.0366,0.03659,0.01593
2017-09-02,4689.89,4885.55,4654.88,4834.91,560666366,1.0,0.375,0.63,0.22,0.15,-0.0074,0.0409,-0.0075,0.0305,0.02302,0.01651
2017-09-03,4796.16,4939.19,4286.87,4472.14,929148595,1.0,0.824,0.5,0.22,0.28,-0.008,0.0294,-0.1123,-0.0699,-0.078,0.00585
2017-09-04,4508.5,4714.76,4298.33,4509.08,691216198,0.0,0.556,0.0,0.49,0.5,0.0081,0.0447,-0.0477,0.0001,0.00823,0.00604
