Date,Open,High,Low,Close,Volume,vol_deg_change,vol_percentile,body,upper_shadow,lower_shadow,norm_o,norm_h,norm_l,norm_c,log_rtn,kalman_log_rtn1
2017-12-15,290.01,302.72,252.0,272.4,963198382,1.0,1.0,0.35,0.25,0.4,0.0,0.0429,-0.1405,-0.0626,-0.06264,0.25985
2017-12-16,272.4,314.21,239.99,294.0,1657978235,1.0,1.0,0.29,0.27,0.44,0.0,0.1428,-0.1267,0.0763,0.07631,0.13576
2017-12-17,294.0,305.0,285.0,293.97,910210005,0.0,0.25,0.0,0.55,0.45,0.0,0.0367,-0.0311,-0.0001,-0.0001,0.0743
2017-12-18,293.01,328.8,290.0,311.4,1468226118,1.0,0.8,0.47,0.45,0.08,-0.0033,0.1152,-0.0103,0.0609,0.0576,0.0602
2017-12-19,311.23,360.96,277.0,352.0,1721006137,1.0,1.0,0.49,0.11,0.41,-0.0005,0.1482,-0.1165,0.1231,0.12255,0.06656
2017-12-20,352.0,366.96,303.01,338.48,2319032542,1.0,1.0,0.21,0.23,0.55,0.0,0.0416,-0.1499,-0.0392,-0.03917,0.04073
2017-12-21,336.05,357.0,260.0,302.7,3158676711,1.0,1.0,0.34,0.22,0.44,-0.0072,0.0605,-0.2566,-0.1045,-0.11172,0.01386
2017-12-22,303.8,325.16,267.01,302.0,2621215830,0.0,0.889,0.03,0.37,0.6,0.0036,0.0679,-0.1291,-0.0059,-0.00232,0.0108
2017-12-23,303.0,315.0,177.58,250.99,8123342425,1.0,1.0,0.38,0.09,0.53,0.0033,0.0388,-0.5343,-0.1883,-0.18501,-0.01295
2017-12-24,250.99,301.52,214.91,253.44,3870914008,0.0,0.909,0.03,0.56,0.42,0.0,0.1834,-0.1552,0.0097,0.00971,-0.01003
2017-12-25,253.44,277.0,220.03,262.9,3343537202,0.0,0.833,0.17,0.25,0.59,0.0,0.0889,-0.1414,0.0366,0.03665,-0.0048
2017-12-26,262.9,277.5,251.4,261.2,2441569170,0.0,0.615,0.07,0.56,0.38,0.0,0.054,-0.0447,-0.0065,-0.00649,-0.00484
2017-12-27,261.17,282.82,258.0,277.98,2198789021,0.0,0.5,0.68,0.2,0.13,-0.0001,0.0796,-0.0122,0.0624,0.06226,0.00228
2017-12-28,277.98,284.34,245.29,262.59,2503678582,1.0,0.667,0.39,0.16,0.44,0.0,0.0226,-0.1251,-0.057,-0.05696,-0.00386
2017-12-29,262.61,266.7,222.03,244.68,3483227138,1.0,0.875,0.4,0.09,0.51,0.0001,0.0155,-0.1679,-0.0707,-0.07064,-0.01019
2017-12-30,244.68,261.0,233.97,238.27,3498503167,1.0,0.882,0.24,0.6,0.16,0.0,0.0646,-0.0448,-0.0265,-0.02655,-0.01155
2017-12-31,238.27,244.0,193.2,206.03,5293017820,1.0,0.944,0.63,0.11,0.25,0.0,0.0238,-0.2097,-0.1454,-0.14538,-0.02269
2018-01-01,206.11,234.37,202.98,223.69,2973910081,0.0,0.632,0.56,0.34,0.1,0.0004,0.1285,-0.0153,0.0819,0.08224,-0.01386
2018-01-02,223.69,231.19,212.74,222.61,2022125300,0.0,0.35,0.06,0.41,0.53,0.0,0.033,-0.0502,-0.0048,-0.00484,-0.01299
2018-01-03,222.62,256.49,222.62,247.33,6329312934,1.0,0.952,0.73,0.27,0.0,0.0,0.1416,0.0,0.1053,0.1053,-0.00219
2018-01-04,247.33,253.4,233.56,238.77,7136927484,1.0,0.955,0.43,0.31,0.26,0.0,0.0242,-0.0573,-0.0352,-0.03522,-0.00527
2018-01-05,238.89,240.0,219.38,233.0,7818230493,1.0,0.957,0.29,0.05,0.66,0.0005,0.0046,-0.0852,-0.025,-0.02446,-0.007
2018-01-06,233.04,250.99,230.0,240.54,6501014465,0.0,0.875,0.36,0.5,0.14,0.0002,0.0742,-0.0131,0.0317,0.03185,-0.00342
2018-01-07,240.95,315.0,238.73,275.28,10081221370,1.0,1.0,0.45,0.52,0.03,0.0017,0.268,-0.0093,0.1332,0.1349,0.01032
2018-01-08,276.24,287.0,262.0,269.01,4381161108,0.0,0.731,0.29,0.43,0.28,0.0035,0.0382,-0.0529,-0.0265,-0.02304,0.00683
2018-01-09,269.01,271.82,212.74,252.65,7625697086,1.0,0.889,0.28,0.05,0.68,0.0,0.0104,-0.2347,-0.0627,-0.06274,-6e-05
2018-01-10,252.49,257.64,228.24,244.48,5392190417,0.0,0.75,0.27,0.18,0.55,-0.0006,0.0202,-0.101,-0.0322,-0.03287,-0.00315
2018-01-11,244.56,248.99,225.05,247.63,7093130085,1.0,0.828,0.13,0.06,0.81,0.0003,0.018,-0.0831,0.0125,0.0128,-0.00166
2018-01-12,247.63,252.27,195.03,223.77,8384247294,1.0,0.967,0.42,0.08,0.5,0.0,0.0186,-0.2388,-0.1013,-0.10132,-0.01061
2018-01-13,223.76,240.45,213.01,233.11,4567680703,0.0,0.645,0.34,0.27,0.39,-0.0,0.0719,-0.0492,0.0409,0.04089,-0.00608
2018-01-14,233.11,263.99,232.54,257.98,4281112858,0.0,0.594,0.79,0.19,0.02,0.0,0.1244,-0.0024,0.1014,0.10137,0.00407
2018-01-15,257.98,271.64,222.0,234.12,6220340257,1.0,0.727,0.48,0.28,0.24,0.0,0.0516,-0.1502,-0.097,-0.09705,-0.0055
2018-01-16,234.26,242.31,227.6,229.5,3575594861,0.0,0.529,0.32,0.55,0.13,0.0006,0.0338,-0.0288,-0.0205,-0.01993,-0.0068
2018-01-17,229.5,242.0,135.67,179.28,15004407322,1.0,1.0,0.47,0.12,0.41,0.0,0.053,-0.5257,-0.247,-0.24695,-0.026
2018-01-18,179.28,198.89,136.2,182.44,15564000921,1.0,1.0,0.05,0.26,0.69,0.0,0.1038,-0.2748,0.0175,0.01747,-0.02282
2018-01-19,183.45,202.19,170.5,186.14,9837275595,0.0,0.919,0.08,0.51,0.41,0.0055,0.0973,-0.0732,0.0146,0.02008,-0.01957
2018-01-20,186.21,199.0,176.04,191.42,5936945319,0.0,0.658,0.23,0.33,0.44,0.0004,0.0664,-0.0562,0.0276,0.02797,-0.0158
2018-01-21,191.44,215.0,190.67,210.4,5916264755,0.0,0.641,0.78,0.19,0.03,0.0001,0.1161,-0.004,0.0944,0.09454,-0.00642
2018-01-22,210.05,210.69,180.0,190.16,6481700761,1.0,0.725,0.65,0.02,0.33,-0.0017,0.003,-0.1544,-0.0995,-0.10114,-0.01453
2018-01-23,190.52,195.0,163.44,178.0,6037636050,0.0,0.659,0.4,0.14,0.46,0.0019,0.0232,-0.1533,-0.068,-0.06608,-0.01865
2018-01-24,178.0,186.42,163.02,176.98,4951038638,0.0,0.548,0.04,0.36,0.6,0.0,0.0462,-0.0879,-0.0057,-0.00575,-0.01764
2018-01-25,176.94,186.3,171.58,180.89,4329849800,0.0,0.488,0.27,0.37,0.36,-0.0002,0.0515,-0.0308,0.0221,0.02185,-0.01446
2018-01-26,180.83,186.0,175.58,179.59,3981999079,0.0,0.455,0.12,0.5,0.38,-0.0003,0.0282,-0.0295,-0.0069,-0.00721,-0.01386
2018-01-27,179.0,183.06,165.0,177.09,4947365655,1.0,0.556,0.11,0.22,0.67,-0.0033,0.0224,-0.0814,-0.0107,-0.01402,-0.01387
2018-01-28,175.73,184.0,173.0,182.1,3142487310,0.0,0.304,0.58,0.17,0.25,-0.0077,0.046,-0.0157,0.0356,0.0279,-0.01036
2018-01-29,182.11,198.0,181.7,196.74,4727556346,1.0,0.553,0.9,0.08,0.03,0.0001,0.0837,-0.0023,0.0773,0.07733,-0.00253
2018-01-30,196.74,197.19,180.01,181.5,3690024385,0.0,0.417,0.89,0.03,0.09,0.0,0.0023,-0.0889,-0.0806,-0.08063,-0.00953
2018-01-31,181.51,181.96,160.59,168.21,5659948048,1.0,0.653,0.62,0.02,0.36,0.0001,0.0025,-0.1225,-0.0761,-0.07604,-0.01511
2018-02-01,168.1,169.31,157.5,165.19,3725363137,0.0,0.42,0.25,0.1,0.65,-0.0007,0.0072,-0.0651,-0.0175,-0.01812,-0.01536
2018-02-02,164.83,167.2,132.0,143.69,6481891744,1.0,0.784,0.6,0.07,0.33,-0.0022,0.0143,-0.2221,-0.1373,-0.13944,-0.02487
2018-02-03,144.04,147.0,108.52,131.68,12419303592,1.0,0.962,0.32,0.08,0.6,0.0024,0.0203,-0.2832,-0.0897,-0.08728,-0.02925
2018-02-04,131.99,166.99,120.06,160.3,14324270975,1.0,0.962,0.6,0.14,0.25,0.0024,0.2352,-0.0947,0.1943,0.19667,-0.0121
2018-02-05,160.86,174.75,138.0,147.09,30005919271,1.0,1.0,0.37,0.38,0.25,0.0035,0.0828,-0.1533,-0.0895,-0.086,-0.01811
2018-02-06,147.29,153.96,116.6,125.17,29997042074,0.0,0.982,0.59,0.18,0.23,0.0014,0.0443,-0.2337,-0.1627,-0.16137,-0.02865
2018-02-07,125.17,147.0,106.5,141.0,39310874790,1.0,1.0,0.39,0.15,0.46,0.0,0.1608,-0.1615,0.1191,0.11909,-0.01775
2018-02-08,140.96,157.0,130.01,137.21,17858857054,0.0,0.947,0.14,0.59,0.27,-0.0003,0.1078,-0.0809,-0.027,-0.02725,-0.0185
2018-02-09,137.97,143.5,137.2,142.37,387747235,0.0,0.017,0.7,0.18,0.12,0.0055,0.0393,-0.0056,0.0314,0.03692,-0.01405
2018-02-10,142.37,164.4,142.37,163.73,6520508736,1.0,0.729,0.97,0.03,0.0,0.0,0.1439,0.0,0.1398,0.13979,-0.00046
2018-02-11,163.74,169.0,146.01,154.65,13310716189,1.0,0.883,0.4,0.23,0.38,0.0001,0.0316,-0.1146,-0.0571,-0.05705,-0.00568
2018-02-12,154.62,156.1,139.0,148.28,9063882249,0.0,0.82,0.37,0.09,0.54,-0.0002,0.0095,-0.1065,-0.0419,-0.04206,-0.0089
2018-02-13,148.28,163.75,146.04,161.49,9251529686,1.0,0.823,0.75,0.13,0.13,0.0,0.0992,-0.0152,0.0853,0.08534,-0.00034
2018-02-14,161.55,162.95,152.0,159.63,7656521628,0.0,0.746,0.18,0.13,0.7,0.0004,0.0086,-0.0609,-0.012,-0.01158,-0.0014
2018-02-15,159.45,218.6,158.94,212.25,73401065110,1.0,1.0,0.89,0.11,0.01,-0.0011,0.3155,-0.0032,0.286,0.28491,0.02924
2018-02-16,212.25,236.66,206.5,220.64,67640069461,0.0,0.985,0.28,0.53,0.19,0.0,0.1089,-0.0275,0.0388,0.03877,0.0304
2018-02-17,220.64,235.58,208.56,228.08,40804045123,0.0,0.97,0.28,0.28,0.45,0.0,0.0655,-0.0563,0.0332,0.03316,0.03074
2018-02-18,228.0,232.2,222.78,228.0,19006455131,0.0,0.91,0.0,0.45,0.55,-0.0004,0.0183,-0.0232,0.0,-0.00035,0.02698
2018-02-19,228.08,231.39,210.1,213.66,30216490588,1.0,0.941,0.68,0.16,0.17,0.0004,0.0144,-0.0821,-0.0653,-0.06496,0.01646
2018-02-20,213.23,226.5,196.0,221.44,17171619683,0.0,0.87,0.27,0.17,0.56,-0.002,0.0604,-0.0843,0.0378,0.03577,0.0186
2018-02-21,221.44,254.8,221.0,228.51,53433484146,1.0,0.971,0.21,0.78,0.01,0.0,0.1403,-0.002,0.0314,0.03143,0.02004
2018-02-22,228.5,233.53,203.12,209.6,49344300002,0.0,0.958,0.62,0.17,0.21,-0.0,0.0218,-0.1177,-0.0863,-0.08638,0.00856
2018-02-23,209.6,222.0,188.0,192.61,39649654890,0.0,0.931,0.5,0.36,0.14,0.0,0.0575,-0.1088,-0.0845,-0.08453,-0.00063
2018-02-24,192.69,216.28,182.0,206.4,42703415419,1.0,0.945,0.4,0.29,0.31,0.0004,0.1155,-0.0571,0.0687,0.06915,0.00618
2018-02-25,206.38,219.0,192.3,206.5,32644309261,0.0,0.892,0.0,0.47,0.53,-0.0001,0.0594,-0.0707,0.0006,0.00048,0.00561
2018-02-26,206.69,223.17,198.94,217.78,31468926189,0.0,0.88,0.46,0.22,0.32,0.0009,0.0767,-0.0382,0.0523,0.05318,0.01048
2018-02-27,218.16,232.3,214.43,218.5,40848012476,1.0,0.934,0.02,0.77,0.21,0.0017,0.0628,-0.0172,0.0016,0.0033,0.00973
2018-02-28,218.25,224.36,211.8,214.6,24894578729,0.0,0.818,0.29,0.49,0.22,-0.0011,0.0276,-0.03,-0.0169,-0.01801,0.00689
2018-03-01,214.94,223.71,201.5,201.86,18558808799,0.0,0.795,0.59,0.39,0.02,0.0016,0.04,-0.0646,-0.0628,-0.0612,0.00019
2018-03-02,201.86,215.0,200.2,209.17,12152121293,0.0,0.696,0.49,0.39,0.11,0.0,0.0631,-0.0083,0.0356,0.03557,0.00362
2018-03-03,209.14,214.47,203.43,212.8,8985318198,0.0,0.638,0.33,0.15,0.52,-0.0001,0.0252,-0.0277,0.0173,0.01721,0.00497
2018-03-04,212.8,218.39,208.0,210.04,12012098049,1.0,0.691,0.27,0.54,0.2,0.0,0.0259,-0.0228,-0.0131,-0.01305,0.00318
2018-03-05,210.0,215.34,204.5,213.19,6707993530,0.0,0.537,0.29,0.2,0.51,-0.0002,0.0251,-0.0265,0.0151,0.01489,0.00434
2018-03-06,213.19,217.0,208.17,210.14,7168040092,1.0,0.566,0.35,0.43,0.22,0.0,0.0177,-0.0238,-0.0144,-0.01441,0.0025
