Date,Open,High,Low,Close
2015/12/28,5220.35,5233.89,5203.43,5204.51
2015/12/29,5205.91,5210.63,5185.48,5195.5
2015/12/30,5200.12,5231.83,5200.12,5208.32
2015/12/31,5210.36,5230.78,5202.21,5230.78
2016/1/4,5232.81,5236.55,5142.4,5142.91
2016/1/5,5142.4,5147.24,5101.42,5119.25
2016/1/6,5121.87,5140.44,5056.36,5067.01
2016/1/7,5066.59,5074.33,4906.22,4947.87
2016/1/8,4944.26,5025.87,4919.62,5025.83
2016/1/11,5022.31,5022.31,4933.26,4943.05
2016/1/12,4946.08,4988.9,4874.4,4874.77
2016/1/13,4885.05,4943.62,4885.05,4912.4
2016/1/14,4904.92,4904.92,4806.94,4836.76
2016/1/15,4843.76,4889.45,4825.05,4834.1
2016/1/18,4831.29,4959.01,4768.51,4959.01
2016/1/19,4960.16,5009.19,4949.6,5009.19
2016/1/20,5007.62,5014.16,4909.45,4910.53
2016/1/21,4916.95,4943.65,4894.21,4905.1
2016/1/22,4914.11,4958.08,4905.4,4927.16
2016/1/25,4931.37,5011.73,4931.37,5008.09
2016/1/26,5005.14,5005.14,4978.87,4987.56
2016/1/27,4990.71,5023.33,4978.8,4982.37
2016/1/28,4982.71,5021.5,4980.72,5010.28
2016/1/29,5011.18,5069.76,5011.18,5069.71
2016/1/30,5072.84,5124.7,5072.84,5120.39
2016/2/1,5121.63,5136.89,5104.14,5105.86
2016/2/2,5106.82,5119.6,5089.51,5110.44
2016/2/3,5108.94,5108.94,5072.7,5080.46
2016/2/15,5076.36,5099.66,5047.85,5099.47
2016/2/16,5101.44,5179.64,5101.44,5179.46
2016/2/17,5181.48,5209.56,5178.34,5178.73
2016/2/18,5181.92,5236.35,5181.92,5224.33
2016/2/19,5225.17,5250.94,5224.74,5246.23
2016/2/22,5247.13,5279.35,5238.79,5266.09
2016/2/23,5269.37,5315.28,5269.37,5306.26
2016/2/24,5308.2,5320.08,5271.36,5275.73
2016/2/25,5280.51,5317.82,5280.51,5293.44
2016/2/26,5295.98,5342.7,5295.98,5340.62
2016/3/1,5343.01,5411.07,5343.01,5408.1
2016/3/2,5412.51,5459.33,5412.51,5423.99
2016/3/3,5425.78,5460.24,5404.36,5429.37
2016/3/4,5431.27,5478.25,5431.27,5475.67
2016/3/7,5477.02,5531.47,5477.02,5494.67
2016/3/8,5495.03,5517.78,5453.68,5496.16
2016/3/9,5494.08,5498.23,5459.23,5468.43
2016/3/10,5471.61,5497.42,5471.61,5483.83
2016/3/11,5484.51,5505.11,5480.61,5503.55
2016/3/14,5508.46,5539.56,5508.46,5527.22
2016/3/15,5528.8,5541.27,5407.46,5408.19
2016/3/16,5412.54,5478.16,5412.54,5473.56
2016/3/17,5477.39,5522.57,5430.22,5430.52
2016/3/18,5431.55,5461.13,5431.55,5460.19
2016/3/21,5461.27,5488.58,5445.69,5484.31
2016/3/22,5485.45,5499.97,5460.47,5476.16
2016/3/23,5477.76,5505.94,5469.62,5471.07
2016/3/24,5473.24,5478.46,5439.59,5464.03
2016/3/25,5466.39,5490.03,5463.09,5463.5
2016/3/28,5467.0,5480.72,5425.46,5425.96
2016/3/29,5426.67,5436.42,5332.11,5344.92
2016/3/30,5346.41,5403.71,5346.41,5403.71
2016/3/31,5405.15,5429.98,5390.41,5399.49
2016/4/1,5398.78,5400.46,5382.46,5397.65
2016/4/6,5398.74,5398.74,5355.8,5381.99
2016/4/7,5368.98,5384.22,5338.27,5348.1
2016/4/8,5347.26,5367.01,5335.63,5366.67
2016/4/11,5366.24,5370.45,5341.16,5347.52
2016/4/12,5348.32,5366.25,5275.78,5288.35
2016/4/13,5292.79,5335.7,5292.79,5334.96
2016/4/14,5336.67,5381.57,5336.67,5363.11
2016/4/15,5363.6,5369.35,5339.47,5363.62
2016/4/18,5362.82,5370.28,5348.11,5350.81
2016/4/19,5353.4,5393.25,5353.4,5357.62
2016/4/20,5358.84,5378.29,5294.98,5300.92
2016/4/21,5302.79,5323.21,5290.11,5311.51
2016/4/22,5311.73,5317.67,5247.22,5260.95
2016/4/25,5261.77,5270.01,5247.05,5261.85
2016/4/26,5261.42,5286.05,5261.42,5282.87
2016/4/27,5282.8,5293.87,5270.4,5271.99
2016/4/28,5272.98,5283.91,5241.3,5247.51
2016/4/29,5246.35,5246.35,5184.56,5194.27
2016/5/3,5193.53,5193.53,5147.92,5154.94
2016/5/4,5154.72,5154.72,5093.47,5105.27
2016/5/5,5105.78,5128.12,5084.05,5121.33
2016/5/6,5121.55,5123.73,5094.93,5106.0
2016/5/9,5107.28,5126.45,5070.31,5070.64
2016/5/10,5070.09,5102.68,5048.17,5102.06
2016/5/11,5104.55,5127.68,5088.11,5088.5
2016/5/12,5088.37,5096.59,5031.71,5031.71
2016/5/13,5033.5,5038.53,4964.86,5007.9
2016/5/16,5007.37,5015.02,4964.45,5010.47
2016/5/17,5011.98,5064.6,5011.98,5062.01
2016/5/18,5061.07,5071.46,5031.07,5060.59
2016/5/19,5043.61,5052.77,5014.93,5017.41
2016/5/20,5018.86,5036.47,4998.01,5036.47
2016/5/23,5036.72,5127.84,5035.71,5124.97
2016/5/24,5124.93,5138.3,5116.93,5128.13
2016/5/25,5130.57,5173.98,5130.57,5160.03
2016/5/26,5161.55,5184.5,5161.55,5177.95
2016/5/27,5178.24,5202.23,5178.24,5199.48
2016/5/30,5199.24,5235.59,5199.24,5232.22
2016/5/31,5232.35,5243.33,5214.19,5222.57
2016/6/1,5221.99,5259.2,5221.99,5253.58
2016/6/2,5253.01,5275.47,5222.84,5225.59
2016/6/3,5226.87,5239.21,5206.83,5219.99
2016/6/4,5220.19,5235.62,5220.19,5234.68
2016/6/6,5236.43,5249.46,5203.13,5218.29
2016/6/7,5220.32,5255.56,5220.32,5244.13
2016/6/8,5244.9,5265.64,5244.8,5249.2
2016/6/13,5247.86,5247.86,5171.67,5177.55
2016/6/14,5176.81,5204.09,5171.91,5202.6
2016/6/15,5201.7,5224.26,5189.02,5219.88
2016/6/16,5219.5,5226.61,5197.46,5197.51
2016/6/17,5200.17,5235.0,5200.17,5226.0
2016/6/20,5227.34,5266.52,5227.34,5263.23
2016/6/21,5260.98,5288.6,5260.98,5287.89
2016/6/22,5288.71,5301.69,5283.65,5301.36
2016/6/23,5302.28,5311.78,5288.06,5289.23
2016/6/24,5290.28,5298.51,5142.28,5172.16
2016/6/27,5169.87,5214.2,5148.65,5212.74
2016/6/28,5207.58,5237.26,5185.33,5237.26
2016/6/29,5232.19,5286.37,5232.19,5275.1
2016/6/30,5270.86,5299.36,5270.86,5292.47
2016/7/1,5288.66,5313.48,5288.66,5303.5
2016/7/4,5299.64,5335.39,5299.64,5334.11
2016/7/5,5325.0,5339.96,5320.2,5332.21
2016/7/6,5325.2,5325.2,5272.53,5277.9
2016/7/7,5268.09,5302.45,5268.09,5285.43
2016/7/11,5287.46,5321.07,5287.46,5302.83
2016/7/12,5299.88,5316.04,5299.88,5305.13
2016/7/13,5295.64,5331.25,5295.64,5331.2
2016/7/14,5320.19,5344.47,5320.19,5338.26
2016/7/15,5337.02,5367.16,5337.02,5357.39
2016/7/18,5356.45,5386.65,5356.45,5382.15
2016/7/19,5373.15,5387.27,5370.3,5379.65
2016/7/20,5375.02,5388.5,5352.38,5365.38
2016/7/21,5359.97,5415.74,5359.97,5402.91
2016/7/22,5401.07,5411.03,5393.6,5399.28
2016/7/25,5393.42,5425.78,5352.41,5367.96
2016/7/26,5361.13,5381.54,5357.86,5381.05
2016/7/27,5378.88,5406.82,5378.88,5382.95
2016/7/28,5375.43,5404.53,5375.43,5381.16
2016/7/29,5381.06,5389.94,5371.42,5385.75
2016/8/1,5383.86,5417.51,5383.86,5417.51
2016/8/2,5414.99,5428.18,5414.55,5425.5
2016/8/3,5421.15,5421.15,5380.62,5413.1
2016/8/4,5407.55,5429.27,5400.95,5421.69
2016/8/5,5421.4,5442.26,5421.4,5432.53
2016/8/8,5432.8,5455.52,5432.21,5436.05
2016/8/9,5433.79,5445.36,5399.03,5403.82
2016/8/10,5407.12,5429.94,5407.12,5421.47
2016/8/11,5413.23,5419.34,5358.21,5389.05
2016/8/12,5389.9,5414.12,5389.9,5400.38
2016/8/15,5400.86,5417.95,5391.61,5417.3
2016/8/16,5418.3,5438.73,5414.08,5421.77
2016/8/17,5421.88,5434.43,5394.15,5427.83
2016/8/18,5422.5,5454.48,5422.5,5454.34
2016/8/19,5452.52,5474.65,5419.51,5420.32
2016/8/22,5414.42,5418.27,5361.19,5377.26
2016/8/23,5378.2,5402.37,5378.2,5398.71
2016/8/24,5398.92,5413.36,5396.88,5397.14
2016/8/25,5398.22,5433.69,5398.22,5433.69
2016/8/26,5432.5,5449.74,5432.17,5433.7
2016/8/29,5429.94,5448.43,5405.0,5435.41
2016/8/30,5434.6,5451.81,5434.6,5448.1
2016/8/31,5446.66,5452.8,5418.85,5445.63
2016/9/1,5445.3,5451.28,5421.63,5422.17
2016/9/2,5421.39,5431.53,5365.63,5371.53
2016/9/5,5375.13,5421.05,5375.13,5419.26
2016/9/6,5422.94,5460.75,5422.94,5459.82
2016/9/7,5461.9,5492.97,5461.9,5491.29
2016/9/8,5491.43,5510.79,5490.11,5509.94
2016/9/9,5507.34,5507.78,5485.68,5504.03
2016/9/10,5493.27,5493.27,5429.99,5443.1
2016/9/12,5443.35,5451.56,5407.69,5408.22
2016/9/13,5409.92,5442.07,5358.63,5373.95
2016/9/14,5373.8,5381.97,5348.09,5379.6
2016/9/19,5384.4,5427.73,5384.4,5425.24
2016/9/20,5423.78,5438.93,5423.78,5433.48
2016/9/21,5435.24,5496.33,5435.24,5486.88
2016/9/22,5489.5,5512.93,5483.45,5484.47
2016/9/23,5486.53,5503.71,5486.53,5502.14
2016/9/26,5501.62,5501.65,5474.97,5475.59
2016/9/29,5479.37,5500.79,5479.37,5483.7
2016/9/30,5481.39,5481.39,5445.2,5460.49
2016/10/3,5463.18,5487.85,5463.18,5473.3
2016/10/4,5473.92,5498.66,5473.92,5496.73
2016/10/5,5496.89,5504.14,5490.03,5493.35
2016/10/6,5494.55,5510.23,5492.45,5501.35
2016/10/7,5503.97,5510.99,5481.13,5487.27
2016/10/11,5491.07,5496.11,5365.78,5395.24
2016/10/12,5394.17,5394.17,5360.42,5389.65
2016/10/13,5389.77,5402.81,5373.72,5379.53
2016/10/14,5378.25,5378.25,5306.37,5311.84
2016/10/17,5314.76,5333.61,5291.63,5333.35
2016/10/18,5333.43,5345.96,5324.5,5345.96
2016/10/19,5348.01,5378.63,5348.01,5374.23
2016/10/20,5376.46,5404.47,5376.46,5401.37
2016/10/21,5403.09,5415.46,5388.74,5413.2
2016/10/24,5415.68,5424.55,5411.96,5415.42
2016/10/25,5416.03,5425.25,5411.51,5414.67
2016/10/26,5414.54,5419.33,5407.15,5414.61
2016/10/27,5416.0,5426.53,5400.04,5404.53
2016/10/28,5406.11,5410.87,5372.94,5373.6
2016/10/31,5372.44,5372.98,5339.77,5370.69
2016/11/1,5370.0,5380.57,5361.45,5366.16
2016/11/2,5365.16,5365.16,5273.68,5273.7
2016/11/3,5274.23,5288.03,5231.93,5239.04
2016/11/4,5239.0,5255.68,5229.54,5243.0
2016/11/7,5246.69,5288.34,5246.69,5284.45
2016/11/8,5285.39,5301.27,5249.32,5273.75
2016/11/9,5276.26,5293.74,5109.27,5121.68
2016/11/10,5132.47,5262.2,5132.47,5260.86
2016/11/11,5257.17,5257.17,5184.3,5207.4
2016/11/14,5208.85,5218.95,5167.37,5207.97
2016/11/15,5208.22,5241.72,5205.43,5236.67
2016/11/16,5239.57,5269.65,5239.57,5253.17
2016/11/17,5253.76,5263.76,5236.4,5251.07
2016/11/18,5252.29,5290.24,5252.29,5290.24
2016/11/21,5291.36,5324.89,5290.59,5324.54
2016/11/22,5330.72,5357.78,5330.72,5348.73
2016/11/23,5351.02,5373.95,5339.87,5345.53
2016/11/24,5348.24,5356.4,5338.07,5340.34
2016/11/25,5340.94,5357.95,5340.49,5349.26
2016/11/28,5351.87,5394.22,5351.87,5381.87
2016/11/29,5382.99,5398.33,5378.7,5391.17
2016/11/30,5392.07,5423.5,5392.07,5415.91
