Date,Open,High,Low,Close
2003/1/2,3270.0,3344.0,3251.0,3318.0
2003/1/3,3318.0,3426.0,3318.0,3410.0
2003/1/6,3410.0,3472.0,3407.0,3444.0
2003/1/7,3444.0,3526.0,3444.0,3464.0
2003/1/8,3464.0,3580.0,3464.0,3552.0
2003/1/9,3552.0,3570.0,3518.0,3532.0
2003/1/10,3532.0,3596.0,3532.0,3570.0
2003/1/13,3570.0,3703.0,3570.0,3693.0
2003/1/14,3693.0,3740.0,3688.0,3691.0
2003/1/15,3691.0,3729.0,3650.0,3683.0
2003/1/16,3683.0,3716.0,3602.0,3602.0
2003/1/17,3602.0,3630.0,3580.0,3589.0
2003/1/20,3589.0,3599.0,3560.0,3595.0
2003/1/21,3595.0,3655.0,3592.0,3592.0
2003/1/22,3592.0,3611.0,3544.0,3606.0
2003/1/23,3606.0,3714.0,3606.0,3692.0
2003/1/24,3713.0,3741.0,3657.0,3659.0
2003/1/27,3659.0,3659.0,3582.0,3603.0
2003/1/28,3603.0,3634.0,3573.0,3627.0
2003/2/6,3627.0,3627.0,3450.0,3450.0
2003/2/7,3404.0,3438.0,3289.0,3370.0
2003/2/10,3370.0,3370.0,3299.0,3311.0
2003/2/11,3311.0,3365.0,3310.0,3316.0
2003/2/12,3316.0,3347.0,3293.0,3306.0
2003/2/13,3306.0,3319.0,3232.0,3233.0
2003/2/14,3233.0,3283.0,3213.0,3229.0
2003/2/17,3229.0,3393.0,3229.0,3393.0
2003/2/18,3393.0,3393.0,3317.0,3320.0
2003/2/19,3320.0,3374.0,3277.0,3277.0
2003/2/20,3277.0,3329.0,3275.0,3298.0
2003/2/21,3298.0,3344.0,3296.0,3304.0
2003/2/24,3304.0,3359.0,3295.0,3353.0
2003/2/25,3353.0,3353.0,3224.0,3224.0
2003/2/26,3224.0,3257.0,3214.0,3221.0
2003/2/27,3221.0,3247.0,3167.0,3208.0
2003/3/3,3208.0,3311.0,3208.0,3294.0
2003/3/4,3294.0,3294.0,3245.0,3264.0
2003/3/5,3264.0,3264.0,3189.0,3192.0
2003/3/6,3192.0,3222.0,3177.0,3189.0
2003/3/7,3189.0,3218.0,3137.0,3174.0
2003/3/10,3174.0,3214.0,3156.0,3163.0
2003/3/11,3163.0,3168.0,3109.0,3123.0
2003/3/12,3123.0,3171.0,3119.0,3171.0
2003/3/13,3171.0,3225.0,3148.0,3204.0
2003/3/14,3204.0,3332.0,3204.0,3283.0
2003/3/17,3283.0,3283.0,3201.0,3201.0
2003/3/18,3201.0,3374.0,3201.0,3355.0
2003/3/19,3355.0,3372.0,3329.0,3343.0
2003/3/20,3343.0,3430.0,3342.0,3405.0
2003/3/21,3405.0,3415.0,3376.0,3395.0
2003/3/24,3395.0,3422.0,3380.0,3385.0
2003/3/25,3385.0,3385.0,3305.0,3318.0
2003/3/26,3318.0,3349.0,3310.0,3315.0
2003/3/27,3315.0,3326.0,3285.0,3326.0
2003/3/28,3326.0,3328.0,3282.0,3298.0
2003/3/31,3298.0,3298.0,3161.0,3166.0
2003/4/1,3165.0,3183.0,3136.0,3183.0
2003/4/2,3183.0,3205.0,3153.0,3169.0
2003/4/3,3169.0,3252.0,3169.0,3206.0
2003/4/4,3206.0,3324.0,3193.0,3324.0
2003/4/7,3324.0,3401.0,3306.0,3383.0
2003/4/8,3383.0,3407.0,3354.0,3362.0
2003/4/9,3362.0,3362.0,3318.0,3341.0
2003/4/10,3341.0,3387.0,3333.0,3341.0
2003/4/11,3341.0,3365.0,3332.0,3343.0
2003/4/14,3343.0,3357.0,3278.0,3281.0
2003/4/15,3281.0,3320.0,3281.0,3311.0
2003/4/16,3311.0,3428.0,3311.0,3416.0
2003/4/17,3416.0,3434.0,3380.0,3383.0
2003/4/18,3383.0,3478.0,3383.0,3458.0
2003/4/21,3458.0,3463.0,3423.0,3459.0
2003/4/22,3459.0,3459.0,3383.0,3383.0
2003/4/23,3383.0,3439.0,3383.0,3400.0
2003/4/24,3400.0,3400.0,3244.0,3258.0
2003/4/25,3258.0,3258.0,3145.0,3147.0
2003/4/28,3147.0,3147.0,3004.0,3086.0
2003/4/29,3086.0,3162.0,3086.0,3149.0
2003/4/30,3149.0,3219.0,3116.0,3130.0
2003/5/2,3130.0,3178.0,3113.0,3170.0
2003/5/5,3170.0,3187.0,3135.0,3172.0
2003/5/6,3172.0,3210.0,3170.0,3180.0
2003/5/7,3180.0,3221.0,3178.0,3216.0
2003/5/8,3216.0,3216.0,3155.0,3155.0
2003/5/9,3155.0,3226.0,3155.0,3197.0
2003/5/12,3197.0,3243.0,3197.0,3220.0
2003/5/13,3220.0,3305.0,3220.0,3279.0
2003/5/14,3279.0,3290.0,3261.0,3283.0
2003/5/15,3283.0,3283.0,3239.0,3276.0
2003/5/16,3276.0,3307.0,3237.0,3237.0
2003/5/19,3237.0,3237.0,3197.0,3216.0
2003/5/20,3216.0,3216.0,3164.0,3209.0
2003/5/21,3209.0,3209.0,3182.0,3185.0
2003/5/22,3185.0,3224.0,3156.0,3224.0
2003/5/23,3224.0,3293.0,3224.0,3278.0
2003/5/26,3278.0,3355.0,3278.0,3355.0
2003/5/27,3355.0,3369.0,3334.0,3340.0
2003/5/28,3340.0,3430.0,3340.0,3366.0
2003/5/29,3366.0,3441.0,3366.0,3441.0
2003/5/30,3441.0,3519.0,3402.0,3438.0
2003/6/2,3438.0,3573.0,3438.0,3559.0
2003/6/3,3559.0,3577.0,3528.0,3545.0
2003/6/5,3545.0,3636.0,3545.0,3598.0
2003/6/6,3598.0,3609.0,3565.0,3599.0
2003/6/9,3599.0,3678.0,3569.0,3668.0
2003/6/10,3668.0,3681.0,3636.0,3663.0
2003/6/11,3663.0,3694.0,3628.0,3634.0
2003/6/12,3634.0,3733.0,3634.0,3700.0
2003/6/13,3700.0,3713.0,3678.0,3697.0
2003/6/16,3684.0,3724.0,3676.0,3690.0
2003/6/17,3690.0,3787.0,3690.0,3772.0
2003/6/18,3772.0,3860.0,3772.0,3788.0
2003/6/19,3788.0,3828.0,3769.0,3817.0
2003/6/20,3817.0,3836.0,3766.0,3783.0
2003/6/23,3783.0,3808.0,3718.0,3718.0
2003/6/24,3718.0,3718.0,3671.0,3704.0
2003/6/25,3704.0,3749.0,3686.0,3723.0
2003/6/26,3723.0,3741.0,3698.0,3698.0
2003/6/27,3698.0,3738.0,3665.0,3688.0
2003/6/30,3688.0,3699.0,3664.0,3672.0
2003/7/1,3672.33,3783.64,3672.33,3783.64
2003/7/2,3783.64,3874.66,3783.64,3853.45
2003/7/3,3853.45,3950.06,3853.45,3872.68
2003/7/4,3872.68,3921.85,3857.76,3921.85
2003/7/7,3921.85,4081.05,3921.85,4081.05
2003/7/8,4081.05,4159.13,4079.77,4123.26
2003/7/9,4123.26,4147.7,4084.79,4095.46
2003/7/10,4095.46,4114.46,4002.66,4003.84
2003/7/11,4003.84,4003.84,3913.77,3970.92
2003/7/14,3970.92,4099.76,3970.92,4065.56
2003/7/15,4065.56,4102.52,4029.73,4043.02
2003/7/16,4043.02,4115.01,4040.06,4101.82
2003/7/17,4101.82,4101.82,3997.7,3997.7
2003/7/18,3997.7,4011.15,3955.73,3987.05
2003/7/21,3987.05,4032.3,3922.67,3922.67
2003/7/22,3922.67,3966.77,3911.47,3955.14
2003/7/23,3955.14,4036.69,3955.14,3994.23
2003/7/24,3994.23,4091.46,3994.23,4091.46
2003/7/25,4091.46,4129.24,4062.34,4084.49
2003/7/28,4084.49,4162.09,4084.49,4122.17
2003/7/29,4122.17,4130.36,4039.59,4041.45
2003/7/30,4041.45,4062.64,4000.04,4024.6
2003/7/31,4024.6,4045.31,3985.04,4040.82
2003/8/1,4040.82,4123.26,4040.82,4108.03
2003/8/4,4108.03,4111.05,4070.78,4092.25
