Date,Open,High,Low,Close
2007/1/15,5900.62,5910.79,5853.38,5885.19
2007/1/16,5888.17,5919.58,5868.38,5874.85
2007/1/17,5867.59,5932.16,5859.21,5928.29
2007/1/18,5941.01,5967.29,5937.46,5966.71
2007/1/19,5954.2,5975.81,5931.35,5931.35
2007/1/22,5952.56,5974.98,5899.81,5963.77
2007/1/23,5963.31,6004.17,5963.31,5990.64
2007/1/24,6027.21,6048.08,6015.95,6035.87
2007/1/25,6050.56,6063.82,5997.6,6001.18
2007/1/26,5965.23,5999.06,5932.58,5954.59
2007/1/29,5956.54,5967.28,5914.23,5917.16
2007/1/30,5926.36,5955.12,5906.24,5923.98
2007/1/31,5940.18,5957.95,5877.46,5921.73
2007/2/1,5947.22,5960.98,5922.59,5934.14
2007/2/2,5958.7,5988.23,5958.7,5974.54
2007/2/5,5981.57,6015.18,5974.3,5998.41
2007/2/6,6000.28,6056.24,6000.28,6056.24
2007/2/7,6062.3,6076.31,6031.49,6031.6
2007/2/8,6040.95,6070.72,6005.52,6049.75
2007/2/9,6053.99,6083.67,6039.63,6069.83
2007/2/12,6054.79,6054.79,6005.82,6017.26
2007/2/13,6023.53,6046.7,6001.05,6024.87
2007/2/14,6054.6,6072.83,6022.92,6072.35
2007/2/26,6135.58,6187.03,6135.58,6157.97
2007/2/27,6165.13,6183.1,6128.34,6143.66
2007/3/1,6045.76,6048.32,5970.13,5986.77
2007/3/2,5972.46,6012.02,5943.25,5991.11
2007/3/3,5986.28,5993.81,5930.81,5963.16
2007/3/5,5922.33,5922.33,5729.76,5774.05
2007/3/6,5779.67,5831.15,5773.01,5825.97
2007/3/7,5872.56,5889.7,5819.69,5872.68
2007/3/8,5895.35,5925.33,5877.47,5921.11
2007/3/9,5941.02,5949.09,5907.6,5913.13
2007/3/12,5927.13,5971.65,5927.13,5952.86
2007/3/13,5968.3,5990.84,5964.25,5968.36
2007/3/14,5912.92,5918.24,5862.36,5910.19
2007/3/15,5942.97,6038.62,5942.97,6025.5
2007/3/16,6035.47,6076.73,6016.6,6051.45
2007/3/19,6052.22,6068.4,6035.44,6039.93
2007/3/20,6061.4,6079.97,6035.17,6035.56
2007/3/21,6051.72,6062.63,6036.34,6048.4
2007/3/22,6094.62,6132.47,6094.62,6110.87
2007/3/23,6127.39,6160.73,6109.91,6143.31
2007/3/26,6156.75,6176.74,6137.77,6174.25
2007/3/27,6171.7,6196.38,6133.13,6136.1
2007/3/28,6128.67,6139.49,6099.27,6112.4
