Date,Open,High,Low,Close
2018/7/30,13.59,13.79,13.49,13.7
2018/7/31,13.86,13.87,13.28,13.43
2018/8/1,13.32,13.36,12.81,12.83
2018/8/2,12.79,14.41,12.74,14.38
2018/8/3,13.71,13.83,13.27,13.33
2018/8/6,13.78,14.0,13.21,13.23
2018/8/7,13.37,13.4,12.86,12.89
2018/8/8,12.67,12.67,12.04,12.36
2018/8/9,12.4,12.65,11.87,12.55
2018/8/10,12.63,13.06,11.77,13.06
2018/8/13,13.78,16.69,13.78,15.51
2018/8/14,14.56,15.2,14.25,14.44
2018/8/15,14.4,16.0,14.4,16.0
2018/8/16,16.4,16.77,15.31,16.56
2018/8/17,15.23,15.6,14.71,15.6
2018/8/20,15.19,15.33,14.5,14.95
2018/8/21,14.56,14.58,13.33,13.88
2018/8/22,14.0,14.0,13.33,13.73
2018/8/23,13.29,13.37,12.63,12.75
2018/8/24,12.89,13.41,12.74,13.16
2018/8/27,12.62,12.97,12.28,12.97
2018/8/28,12.11,12.53,12.11,12.31
2018/8/29,13.23,13.36,12.16,12.56
2018/8/30,12.47,13.42,12.24,12.55
2018/8/31,13.03,13.23,12.61,13.23
2018/9/3,13.09,14.09,13.09,14.09
2018/9/4,13.1,13.51,13.04,13.25
2018/9/5,13.46,13.94,13.31,13.84
2018/9/6,14.15,14.69,14.06,14.5
2018/9/7,14.99,15.1,14.37,14.67
2018/9/10,14.44,15.73,14.44,15.32
2018/9/11,15.21,15.58,14.8,15.01
2018/9/12,14.87,15.06,14.71,14.89
2018/9/13,14.24,14.47,14.09,14.17
2018/9/14,13.52,13.74,12.76,12.83
2018/9/17,13.39,13.9,13.31,13.74
2018/9/18,14.1,14.21,13.75,13.98
2018/9/19,13.91,14.02,13.23,13.23
2018/9/20,12.83,13.17,12.78,13.09
2018/9/21,12.91,13.18,12.58,12.85
2018/9/25,13.35,13.39,12.94,13.14
2018/9/26,13.11,13.33,12.86,13.33
2018/9/27,13.12,13.21,12.72,12.82
2018/9/28,12.62,13.04,12.43,13.04
2018/10/1,12.95,13.38,12.76,13.38
2018/10/2,12.95,13.92,12.93,13.92
2018/10/3,13.49,13.85,13.19,13.62
2018/10/4,13.77,15.08,13.77,15.08
2018/10/5,15.04,17.11,14.79,17.11
2018/10/8,17.68,18.28,16.89,18.28
2018/10/9,17.51,18.04,17.33,18.04
2018/10/11,26.96,27.14,19.98,25.87
2018/10/12,23.22,23.29,20.35,22.06
2018/10/15,23.88,24.12,23.45,23.96
2018/10/16,23.08,23.08,21.71,22.31
2018/10/17,19.85,22.01,19.73,21.04
2018/10/18,21.52,22.7,21.1,22.46
2018/10/19,23.39,23.86,22.09,22.09
2018/10/22,23.34,23.54,21.62,22.75
2018/10/23,23.12,24.41,22.53,24.41
2018/10/24,22.66,23.94,22.19,23.06
2018/10/25,25.98,25.98,24.36,24.65
2018/10/26,24.23,26.66,24.23,25.61
2018/10/29,24.42,25.51,24.32,25.09
2018/10/30,24.41,24.75,23.95,24.39
2018/10/31,23.16,23.34,22.52,23.05
2018/11/1,22.05,22.59,21.58,22.59
2018/11/2,21.75,22.47,21.61,22.47
2018/11/5,23.58,23.95,23.15,23.65
2018/11/6,23.04,24.19,22.89,24.19
2018/11/7,23.32,23.32,21.14,21.91
2018/11/8,19.17,19.86,19.17,19.39
2018/11/9,18.99,20.7,18.95,20.7
2018/11/12,20.78,20.88,19.69,20.45
2018/11/13,23.06,23.22,20.47,21.16
2018/11/14,20.25,21.02,20.24,20.4
2018/11/15,20.19,21.38,19.94,20.45
2018/11/16,19.93,21.04,19.93,20.88
2018/11/19,21.01,21.29,20.61,20.61
2018/11/20,21.32,21.7,20.73,21.66
2018/11/21,22.58,22.74,20.68,20.79
2018/11/22,19.88,20.3,19.76,19.85
2018/11/23,19.71,21.05,19.61,21.05
2018/11/26,19.98,20.14,19.05,19.69
2018/11/27,19.98,20.42,18.78,18.97
2018/11/28,18.96,19.3,18.32,18.66
2018/11/29,18.64,19.17,18.37,19.17
2018/11/30,18.79,19.72,18.63,19.72
2018/12/3,18.14,18.14,17.04,17.34
2018/12/4,17.39,17.54,16.89,17.43
2018/12/5,18.87,19.3,18.51,19.1
2018/12/6,20.49,22.24,20.32,21.92
2018/12/7,21.33,21.53,20.74,21.53
2018/12/10,23.45,23.46,22.15,22.74
2018/12/11,22.17,22.26,21.06,21.62
2018/12/12,20.45,20.82,19.55,19.72
2018/12/13,19.84,19.93,19.13,19.46
2018/12/14,19.96,21.37,19.96,20.14
2018/12/17,20.77,20.94,19.78,20.0
2018/12/18,20.04,20.86,19.98,20.47
2018/12/19,19.96,20.27,19.57,19.7
2018/12/20,20.23,20.94,19.76,20.82
2018/12/21,21.21,21.53,20.04,20.13
2018/12/22,21.05,21.08,20.81,21.07
2018/12/24,21.35,21.4,20.49,20.49
2018/12/25,22.45,22.66,21.71,21.83
2018/12/26,21.68,23.0,21.35,22.91
2018/12/27,20.8,21.14,20.03,20.38
2018/12/28,20.0,20.42,20.0,20.37
2019/1/2,19.57,21.96,19.57,21.4
2019/1/3,21.72,21.8,20.41,21.03
2019/1/4,21.34,21.61,20.29,20.45
2019/1/7,19.32,19.43,18.35,18.46
2019/1/8,18.03,18.41,17.94,17.94
2019/1/9,17.48,17.52,16.61,16.73
2019/1/10,16.75,17.03,16.66,16.69
2019/1/11,16.32,16.69,15.99,16.6
2019/1/14,16.57,17.36,16.35,16.79
2019/1/15,16.79,16.79,15.91,15.91
2019/1/16,16.57,16.86,15.98,15.98
2019/1/17,15.86,16.34,15.51,15.8
2019/1/18,15.53,15.81,14.86,14.9
2019/1/21,15.42,15.51,15.12,15.46
2019/1/22,15.62,15.78,15.44,15.68
2019/1/23,15.83,15.91,15.0,15.05
2019/1/24,15.06,15.06,14.35,14.47
2019/1/25,14.11,14.22,13.83,13.99
2019/1/28,14.52,14.86,14.42,14.64
2019/1/29,15.22,15.65,15.06,15.24
2019/1/30,15.8,16.07,15.47,15.76
2019/2/11,15.3,15.32,14.63,14.75
2019/2/12,14.28,14.32,13.97,14.13
2019/2/13,13.92,14.68,13.9,14.45
2019/2/14,14.5,14.72,14.07,14.24
2019/2/15,14.62,15.41,14.47,15.3
2019/2/18,14.92,15.01,14.35,14.95
2019/2/19,14.65,14.92,14.61,14.84
2019/2/20,14.2,14.22,13.72,13.96
2019/2/21,13.78,14.07,13.21,13.27
2019/2/22,13.47,13.77,13.05,13.05
2019/2/25,13.3,13.34,12.62,12.71
2019/2/26,13.05,13.35,12.89,13.29
2019/2/27,13.25,13.55,12.77,12.77
2019/3/4,13.58,14.15,13.51,13.51
2019/3/5,13.98,14.17,13.74,13.77
2019/3/6,13.77,13.77,13.37,13.39
2019/3/7,13.45,14.2,13.37,14.16
2019/3/8,14.61,14.87,13.79,14.21
2019/3/11,14.85,14.92,14.01,14.13
2019/3/12,13.04,13.11,12.71,12.71
2019/3/13,13.07,13.43,12.78,12.78
2019/3/14,12.76,13.09,12.68,12.86
2019/3/15,12.66,12.72,11.4,11.66
2019/3/18,12.0,12.56,11.95,12.54
2019/3/19,12.75,12.78,12.36,12.46
2019/3/20,12.7,13.05,12.66,12.75
2019/3/21,12.77,12.82,12.41,12.41
2019/3/22,12.47,12.56,11.99,11.99
2019/3/25,14.0,14.45,13.68,14.27
2019/3/26,13.42,13.62,13.15,13.42
2019/3/27,13.76,13.81,13.35,13.35
2019/3/28,13.85,14.03,13.6,13.6
2019/3/29,13.5,13.92,13.2,13.39
2019/4/1,13.48,13.72,13.33,13.64
2019/4/2,13.56,13.59,13.21,13.32
2019/4/3,13.24,13.87,13.06,13.06
2019/4/8,13.43,13.9,13.29,13.75
2019/4/9,13.73,13.82,13.13,13.13
2019/4/10,13.49,13.52,12.92,13.12
2019/4/11,13.08,13.71,12.81,13.43
2019/4/12,13.32,13.58,13.01,13.13
2019/4/15,13.22,13.38,12.8,12.88
2019/4/16,12.89,12.94,12.5,12.66
2019/4/17,12.69,13.0,12.46,12.96
2019/4/18,13.12,13.71,12.94,13.67
2019/4/19,12.94,13.49,12.9,12.91
2019/4/22,13.34,13.77,13.23,13.49
2019/4/23,13.61,13.9,13.09,13.09
2019/4/24,13.14,13.84,13.07,13.3
2019/4/25,13.48,13.49,12.94,13.03
2019/4/26,13.56,13.94,13.5,13.57
2019/4/29,14.1,14.4,13.8,14.4
2019/4/30,14.16,14.28,13.71,13.75
2019/5/2,13.92,13.99,13.03,13.03
2019/5/3,13.1,13.31,12.41,12.41
2019/5/6,15.6,16.72,15.07,16.45
2019/5/7,15.51,15.8,14.92,15.8
2019/5/8,17.36,17.55,16.02,16.28
2019/5/9,17.29,18.5,17.14,18.32
2019/5/10,17.85,19.59,17.01,18.6
2019/5/13,19.62,20.17,19.18,19.48
2019/5/14,20.18,20.71,18.07,18.44
2019/5/15,17.63,17.71,15.71,16.05
2019/5/16,16.34,16.94,15.7,16.3
2019/5/17,15.37,16.78,15.16,16.64
2019/5/20,16.04,16.79,15.77,16.03
2019/5/21,16.44,16.5,14.93,15.22
2019/5/22,15.23,15.3,14.58,14.76
2019/5/23,15.66,16.47,15.63,16.32
2019/5/24,16.32,16.43,15.82,16.21
2019/5/27,16.23,16.93,16.11,16.12
2019/5/28,15.93,16.3,15.88,16.02
2019/5/29,16.89,16.95,16.04,16.11
2019/5/30,16.19,16.19,15.57,15.69
2019/5/31,15.85,16.09,15.53,16.01
2019/6/3,16.72,17.23,16.41,16.41
2019/6/4,16.57,16.79,16.22,16.41
2019/6/5,15.93,16.21,15.65,15.93
2019/6/6,16.35,16.42,15.47,15.58
2019/6/10,15.56,15.68,14.67,14.67
2019/6/11,14.69,14.76,14.19,14.19
2019/6/12,14.43,14.54,13.86,14.14
2019/6/13,14.22,15.03,14.21,14.45
2019/6/14,14.65,14.86,14.28,14.52
2019/6/17,15.36,15.54,14.36,14.47
2019/6/18,14.19,14.45,13.96,14.08
2019/6/19,14.29,14.35,13.87,13.87
2019/6/20,13.89,13.9,13.21,13.44
2019/6/21,13.87,14.38,13.84,14.38
2019/6/24,14.68,14.76,14.23,14.46
2019/6/25,14.58,14.88,14.5,14.66
2019/6/26,15.05,15.16,14.86,15.06
2019/6/27,14.79,14.82,14.23,14.62
2019/6/28,14.9,15.08,14.82,14.88
2019/7/1,13.83,13.83,13.34,13.34
2019/7/2,13.37,13.4,13.05,13.05
2019/7/3,13.57,13.83,13.17,13.63
2019/7/4,13.41,13.51,12.86,12.86
2019/7/5,13.12,13.2,12.7,12.76
2019/7/8,13.58,13.59,13.28,13.35
2019/7/9,13.4,13.46,12.83,12.83
2019/7/10,12.51,12.54,12.17,12.17
2019/7/11,12.05,12.4,11.95,12.14
2019/7/12,12.07,12.39,11.83,12.01
2019/7/15,12.01,12.37,11.53,11.73
2019/7/16,11.67,11.87,11.43,11.76
2019/7/17,12.01,12.49,12.01,12.32
2019/7/18,12.34,12.42,12.02,12.33
2019/7/19,11.77,11.95,11.56,11.58
2019/7/22,12.49,12.49,12.0,12.26
2019/7/23,12.25,12.36,12.06,12.06
2019/7/24,12.23,12.27,12.0,12.17
2019/7/25,12.22,12.4,12.04,12.2
2019/7/26,12.69,12.79,12.43,12.62
2019/7/29,13.7,13.82,13.36,13.41
2019/7/30,13.13,13.59,13.11,13.49
2019/7/31,13.61,13.84,13.28,13.52
2019/8/1,14.18,14.36,13.52,13.71
2019/8/2,15.29,16.18,15.08,16.18
2019/8/5,16.85,18.14,16.37,18.14
2019/8/6,21.19,21.19,17.17,18.17
2019/8/7,17.63,18.16,17.07,17.59
2019/8/8,17.13,17.22,15.71,16.28
2019/8/12,16.3,16.46,15.43,15.75
2019/8/13,16.76,16.87,16.12,16.57
2019/8/14,15.39,16.42,15.32,15.99
2019/8/15,18.26,18.66,17.26,17.55
2019/8/16,17.54,17.78,16.17,16.98
2019/8/19,16.85,16.89,15.76,16.04
2019/8/20,15.6,15.6,14.91,15.01
2019/8/21,15.18,15.26,14.48,14.99
2019/8/22,14.36,15.01,14.01,15.01
2019/8/23,14.58,14.74,14.4,14.42
2019/8/26,16.88,17.92,16.47,17.92
2019/8/27,16.27,16.32,15.73,16.32
2019/8/28,15.5,16.01,15.24,16.01
2019/8/29,15.87,16.22,15.57,15.63
2019/8/30,14.68,14.79,14.03,14.41
2019/9/2,14.74,14.74,13.67,13.78
2019/9/3,13.97,14.66,13.83,14.5
2019/9/4,14.18,14.18,13.32,13.52
