Date,Open,High,Low,Close,Volume,OI,basis,vol_deg_change,vol_percentile,oi_deg_change,oi_percentile,body,upper_shadow,lower_shadow,norm_o,norm_h,norm_l,norm_c,hurst_120,log_rtn,kalman_log_rtn1,until_expiration
1998-09-01,6352.0,6410.0,6216.0,6410.0,1584,1783,-0.07491,0.9523,1.0,0.2565,0.9997,0.299,0.0,0.701,-0.03314,0.00909,-0.02164,0.00909,0.1,-0.02405,-0.0091,0.36
1998-09-02,6494.0,6495.0,6380.0,6430.0,1417,1783,0.04168,0.1717,0.9997,0.5,0.9995,0.5565,0.0087,0.4348,0.01302,0.00015,-0.01771,-0.0099,0.09,0.00312,-0.00803,0.33
1998-09-03,6400.0,6400.0,6200.0,6200.0,1459,2075,0.05138,0.6266,0.9997,0.895,1.0,1.0,0.0,0.0,-0.00468,0.0,-0.03175,-0.03175,0.09,-0.03643,-0.01049,0.31
1998-09-04,6120.0,6400.0,6120.0,6399.0,1789,2075,0.06415,0.9063,1.0,0.5,0.9998,0.9964,0.0036,0.0,-0.01299,0.04474,0.0,0.04458,0.09,0.03159,-0.00682,0.29
1998-09-05,6420.0,6710.0,6420.0,6700.0,2198,1827,0.05571,0.9237,1.0,0.122,0.9991,0.9655,0.0345,0.0,0.00328,0.04418,0.0,0.04269,0.09,0.04597,-0.00201,0.27
1998-09-07,6730.0,6769.0,6603.0,6719.0,1632,1946,0.08173,0.0557,0.9994,0.7775,0.9994,0.0663,0.2349,0.6988,0.00447,0.00578,-0.01905,-0.00164,0.07,0.00283,-0.00156,0.22
1998-09-08,6719.0,6870.0,6700.0,6865.0,1410,2000,0.07726,0.1347,0.9982,0.6576,0.9994,0.8588,0.0294,0.1118,0.0,0.02222,-0.00283,0.0215,0.06,0.0215,0.00062,0.2
1998-09-09,6930.0,6931.0,6735.0,6770.0,1901,2075,0.12457,0.936,0.9997,0.7048,0.9997,0.8163,0.0051,0.1786,0.00942,0.00014,-0.02854,-0.02336,0.05,-0.01393,-0.00076,0.18
1998-09-10,6720.0,6798.0,6702.0,6730.0,1371,1915,0.07383,0.0594,0.9976,0.1778,0.9985,0.1042,0.7083,0.1875,-0.00741,0.01154,-0.00268,0.00149,0.03,-0.00593,-0.00125,0.16
1998-09-11,6680.0,6769.0,6630.0,6769.0,1804,1676,0.07283,0.9278,0.9994,0.1261,0.9967,0.6403,0.0,0.3597,-0.00746,0.01324,-0.00751,0.01324,0.03,0.00578,-0.00058,0.13
1998-09-14,6789.0,6849.0,6769.0,6818.0,871,1479,0.04217,0.034,0.9958,0.1495,0.9943,0.3625,0.3875,0.25,0.00295,0.0088,-0.00295,0.00426,0.02,0.00721,0.00016,0.07
1998-09-15,6840.0,6850.0,6780.0,6825.0,612,1156,0.03296,0.1173,0.9946,0.0956,0.9922,0.2143,0.1429,0.6429,0.00322,0.00146,-0.00881,-0.0022,0.02,0.00103,0.00024,0.04
1998-09-16,6815.0,6995.0,6815.0,6995.0,732,575,-0.02246,0.7789,0.9949,0.0543,0.9889,1.0,0.0,0.0,-0.00147,0.02607,0.0,0.02607,0.02,0.0246,0.00259,0.02
1998-09-17,6945.0,6964.0,6892.0,6906.0,1979,2146,0.09452,0.9745,0.9997,0.9798,1.0,0.5417,0.2639,0.1944,-0.00717,0.00273,-0.00766,-0.00563,0.02,-0.01281,0.0011,0.0
1998-09-18,6840.0,6876.0,6832.0,6842.0,1470,2608,0.11976,0.0617,0.9979,0.9321,1.0,0.0455,0.7727,0.1818,-0.0096,0.00525,-0.00117,0.00029,0.02,-0.00931,0.0001,0.76
1998-09-19,6859.0,7040.0,6855.0,7039.0,2339,2608,0.11059,0.9635,1.0,0.5,0.9999,0.973,0.0054,0.0216,0.00248,0.02605,-0.00058,0.0259,0.02,0.02839,0.00283,0.73
1998-09-21,7035.0,7060.0,6850.0,6861.0,2307,2918,0.1684,0.4014,0.9997,0.9007,1.0,0.8286,0.119,0.0524,-0.00057,0.00355,-0.02665,-0.02504,0.02,-0.02561,9e-05,0.69
1998-09-22,6930.0,6958.0,6855.0,6926.0,1715,3208,0.10799,0.0533,0.9979,0.8943,1.0,0.0388,0.2718,0.6893,0.01001,0.00403,-0.01088,-0.00058,0.02,0.00943,0.00098,0.67
1998-09-23,6900.0,6946.0,6850.0,6852.0,1773,3400,0.11017,0.6673,0.9979,0.8472,1.0,0.5,0.4792,0.0208,-0.00376,0.00664,-0.00727,-0.00698,0.02,-0.01074,-0.00014,0.64
1998-09-24,6940.0,6940.0,6870.0,6890.0,1403,3630,0.08995,0.084,0.9955,0.8695,1.0,0.7143,0.0,0.2857,0.01276,0.0,-0.01014,-0.00723,0.02,0.00553,0.0004,0.62
1998-09-25,6856.0,6881.0,6771.0,6871.0,1928,3269,0.10889,0.9401,0.9988,0.086,0.9994,0.1364,0.0909,0.7727,-0.00495,0.00364,-0.01248,0.00219,0.03,-0.00276,0.0001,0.6
1998-09-28,6860.0,6880.0,6801.0,6840.0,1132,3442,0.07061,0.0398,0.994,0.8332,0.9997,0.2532,0.2532,0.4937,-0.0016,0.00291,-0.00864,-0.00292,0.03,-0.00452,-0.00034,0.53
1998-09-29,6870.0,6875.0,6780.0,6806.0,1389,3590,0.0785,0.8819,0.9949,0.8109,0.9997,0.6737,0.0526,0.2737,0.00438,0.00073,-0.01319,-0.00936,0.03,-0.00498,-0.00078,0.51
