date,equity_tmp,equity_l,equity_h,equity_dd,BnH
2000-01-04,1000000,1000000,1000000,,1031000.0
2000-01-05,1017800.0,990000.0,1029800.0,39800.0,1024400.0
2000-01-06,1025800.0,1019800.0,1056800.0,37000.0,1032400.0
2000-01-07,1021600.0,998000.0,1029800.0,58800.0,1028200.0
2000-01-10,1095800.0,1031800.0,1095800.0,64000.0,1102400.0
2000-01-11,1046000.0,1041800.0,1123800.0,82000.0,1052600.0
2000-01-12,1093800.0,1046000.0,1093800.0,77800.0,1100400.0
2000-01-13,1078800.0,1069000.0,1094800.0,54800.0,1085400.0
2000-01-14,1070400.0,1051000.0,1093800.0,72800.0,1077000.0
2000-01-15,1101800.0,1074800.0,1101800.0,49000.0,1108400.0
2000-01-17,1115800.0,1096000.0,1133800.0,37800.0,1122400.0
2000-01-18,1111400.0,1097000.0,1115400.0,36800.0,1118000.0
2000-01-19,1092800.0,1091000.0,1115600.0,42800.0,1099400.0
2000-01-20,1109600.0,1090400.0,1109600.0,43400.0,1116200.0
2000-01-21,1128400.0,1107400.0,1138200.0,30800.0,1132400.0
2000-01-24,1158000.0,1132400.0,1158000.0,25600.0,1162000.0
2000-01-25,1148800.0,1132400.0,1148800.0,25600.0,1152800.0
2000-01-26,1202800.0,1162400.0,1210400.0,48000.0,1206800.0
2000-01-27,1204400.0,1196400.0,1220400.0,24000.0,1208400.0
2000-01-28,1218400.0,1189800.0,1218400.0,30600.0,1222400.0
2000-01-29,1210200.0,1195400.0,1210200.0,25000.0,1214200.0
2000-01-31,1231800.0,1200400.0,1232400.0,32000.0,1235800.0
2000-02-01,1264400.0,1244400.0,1264400.0,20000.0,1268400.0
2000-02-09,1288200.0,1274600.0,1298200.0,23600.0,1292200.0
2000-02-10,1287400.0,1278200.0,1297400.0,20000.0,1291400.0
2000-02-11,1291800.0,1290400.0,1315800.0,25400.0,1295800.0
2000-02-14,1254400.0,1250800.0,1290000.0,65000.0,1258400.0
2000-02-15,1256000.0,1234600.0,1259400.0,81200.0,1260000.0
2000-02-16,1276400.0,1258200.0,1276400.0,57600.0,1280400.0
2000-02-17,1317000.0,1282800.0,1324000.0,41200.0,1321000.0
2000-02-18,1273200.0,1267400.0,1328800.0,61400.0,1294400.0
2000-02-19,1298400.0,1259800.0,1303000.0,69000.0,1319600.0
2000-02-21,1245200.0,1241200.0,1295200.0,87600.0,1266400.0
2000-02-22,1216200.0,1195400.0,1245200.0,133400.0,1237400.0
2000-02-23,1181400.0,1181400.0,1219200.0,147400.0,1202600.0
2000-02-24,1189200.0,1175200.0,1210200.0,153600.0,1210400.0
2000-02-25,1161600.0,1151200.0,1191800.0,177600.0,1182800.0
2000-02-29,1167200.0,1157200.0,1185200.0,171600.0,1188400.0
2000-03-01,1210200.0,1181400.0,1210200.0,147400.0,1231400.0
2000-03-02,1179800.0,1174200.0,1210200.0,154600.0,1201000.0
2000-03-03,1193200.0,1175400.0,1194200.0,153400.0,1214400.0
2000-03-04,1176200.0,1175200.0,1210000.0,153600.0,1197400.0
2000-03-06,1146200.0,1145600.0,1170200.0,183200.0,1167400.0
2000-03-07,1154200.0,1126400.0,1158200.0,202400.0,1175400.0
2000-03-08,1145200.0,1141200.0,1166200.0,187600.0,1166400.0
2000-03-09,1178600.0,1156200.0,1180000.0,172600.0,1199800.0
2000-03-10,1145200.0,1144200.0,1189200.0,184600.0,1166400.0
2000-03-13,1012000.0,1012000.0,1127200.0,316800.0,1033200.0
2000-03-14,1010800.0,947000.0,1019400.0,381800.0,1032000.0
2000-03-15,959200.0,959200.0,1020800.0,369600.0,980400.0
2000-03-16,974000.0,917200.0,987200.0,411600.0,995200.0
2000-03-17,945400.0,943000.0,977800.0,385800.0,975200.0
2000-03-20,885600.0,885600.0,885600.0,443200.0,915400.0
2000-03-21,1001200.0,884400.0,1001200.0,444400.0,1031000.0
2000-03-22,1047600.0,1000600.0,1072200.0,328200.0,1077400.0
2000-03-23,1159800.0,1069800.0,1171400.0,259000.0,1189600.0
2000-03-24,1141600.0,1116600.0,1154600.0,212200.0,1171400.0
2000-03-27,1199600.0,1136600.0,1212000.0,192200.0,1229400.0
2000-03-28,1205800.0,1182800.0,1221600.0,146000.0,1235600.0
2000-03-29,1202200.0,1184600.0,1214600.0,144200.0,1232000.0
2000-03-30,1229200.0,1194600.0,1258600.0,134200.0,1259000.0
2000-03-31,1215600.0,1199800.0,1229200.0,129000.0,1245400.0
2000-04-01,1262400.0,1201600.0,1262400.0,127200.0,1292200.0
2000-04-05,1303000.0,1242600.0,1310600.0,86200.0,1332800.0
2000-04-06,1234600.0,1225800.0,1310000.0,103000.0,1264400.0
2000-04-07,1248400.0,1222600.0,1258600.0,106200.0,1278200.0
2000-04-08,1241400.0,1227600.0,1257800.0,101200.0,1271200.0
2000-04-10,1285000.0,1218600.0,1286600.0,110200.0,1314800.0
2000-04-11,1268800.0,1257000.0,1284600.0,71800.0,1298600.0
2000-04-12,1222600.0,1221000.0,1267600.0,107800.0,1252400.0
2000-04-13,1176600.0,1143000.0,1192200.0,185800.0,1206400.0
2000-04-14,1096200.0,1094800.0,1170600.0,234000.0,1126000.0
2000-04-15,972600.0,965800.0,1028600.0,363000.0,1002400.0
2000-04-17,1033200.0,972800.0,1033200.0,356000.0,1063000.0
2000-04-18,1093000.0,1067000.0,1114600.0,261800.0,1122800.0
2000-04-19,1050600.0,1050600.0,1132400.0,278200.0,1080400.0
2000-04-20,1074400.0,1003000.0,1074400.0,325800.0,1104200.0
2000-04-21,1064600.0,1050200.0,1093200.0,278600.0,1088800.0
2000-04-24,1001400.0,1001400.0,1064000.0,327400.0,1025600.0
2000-04-25,1038200.0,983600.0,1044200.0,345200.0,1062400.0
2000-04-26,934200.0,931800.0,1048200.0,397000.0,958400.0
2000-04-27,964000.0,940200.0,977800.0,388600.0,988200.0
2000-04-28,1008200.0,948200.0,1022200.0,380600.0,1032400.0
2000-04-29,1003800.0,982200.0,1013800.0,346600.0,1028000.0
2000-05-02,975000.0,970400.0,1019200.0,358400.0,999200.0
2000-05-03,941800.0,929400.0,960600.0,399400.0,966000.0
2000-05-04,940000.0,914600.0,984200.0,414200.0,964200.0
2000-05-05,998200.0,918200.0,1001200.0,410600.0,1022400.0
2000-05-06,990200.0,976400.0,1002200.0,352400.0,1014400.0
2000-05-08,980200.0,958800.0,994200.0,370000.0,1004400.0
2000-05-09,989800.0,962000.0,991000.0,366800.0,1014000.0
2000-05-10,958400.0,958400.0,1002000.0,370400.0,982600.0
2000-05-11,927600.0,912200.0,936200.0,416600.0,951800.0
2000-05-12,958200.0,940200.0,968600.0,388600.0,982400.0
2000-05-15,942200.0,938200.0,964200.0,390600.0,966400.0
2000-05-16,993200.0,947200.0,993200.0,381600.0,1017400.0
2000-05-17,1056200.0,1008200.0,1056200.0,320600.0,1080400.0
2000-05-18,1059200.0,1038000.0,1064200.0,290800.0,1083400.0
2000-05-19,1095000.0,1055000.0,1096000.0,273800.0,1109400.0
2000-05-20,1016400.0,998200.0,1094000.0,330600.0,1030800.0
2000-05-22,1013600.0,1011000.0,1039000.0,317800.0,1028000.0
2000-05-23,997600.0,981200.0,1025200.0,347600.0,1012000.0
2000-05-24,963400.0,954600.0,972000.0,374200.0,977800.0
2000-05-25,961000.0,954000.0,992000.0,374800.0,975400.0
2000-05-26,973600.0,943000.0,984000.0,385800.0,988000.0
2000-05-29,975200.0,968200.0,989000.0,360600.0,989600.0
2000-05-30,1011000.0,981400.0,1011600.0,347400.0,1025400.0
2000-05-31,1042000.0,1032000.0,1046000.0,296800.0,1056400.0
2000-06-01,1031000.0,1021600.0,1037800.0,307200.0,1045400.0
2000-06-02,1032000.0,1032000.0,1058000.0,296800.0,1046400.0
2000-06-03,1054600.0,1042200.0,1060400.0,286600.0,1069000.0
2000-06-05,1056200.0,1040200.0,1058000.0,288600.0,1070600.0
2000-06-07,1083000.0,1044200.0,1087000.0,284600.0,1097400.0
2000-06-08,1070800.0,1065600.0,1088000.0,263200.0,1085200.0
2000-06-09,1065600.0,1055600.0,1075000.0,273200.0,1080000.0
2000-06-12,1049600.0,1046000.0,1073000.0,282800.0,1064000.0
2000-06-13,1025800.0,1025800.0,1044000.0,303000.0,1040200.0
2000-06-14,1041000.0,1031000.0,1045800.0,297800.0,1055400.0
2000-06-15,1024000.0,1019800.0,1036000.0,309000.0,1038400.0
2000-06-16,1028800.0,1012200.0,1029800.0,316600.0,1043200.0
2000-06-17,1017800.0,1015200.0,1030800.0,313600.0,1032200.0
2000-06-19,1010800.0,984600.0,1020000.0,344200.0,1025200.0
2000-06-20,988000.0,988000.0,1025800.0,340800.0,1002400.0
2000-06-21,982000.0,976000.0,1003200.0,352800.0,996400.0
2000-06-22,1032000.0,990400.0,1033800.0,338400.0,1046400.0
2000-06-23,1019800.0,1017800.0,1035800.0,311000.0,1026400.0
2000-06-26,987800.0,984000.0,1011000.0,344800.0,994400.0
2000-06-27,974800.0,971800.0,997800.0,357000.0,981400.0
2000-06-28,963600.0,918800.0,979400.0,410000.0,970200.0
2000-06-29,893800.0,893400.0,963600.0,435400.0,900400.0
2000-06-30,905800.0,876000.0,927800.0,452800.0,912400.0
2000-07-03,915800.0,883800.0,925600.0,445000.0,922400.0
2000-07-04,869000.0,869000.0,918800.0,459800.0,875600.0
2000-07-05,933600.0,861800.0,944800.0,467000.0,940200.0
2000-07-06,909800.0,907800.0,924800.0,421000.0,916400.0
2000-07-07,892000.0,888800.0,929800.0,440000.0,898600.0
2000-07-10,890400.0,864600.0,901800.0,464200.0,897000.0
2000-07-11,893800.0,880800.0,921600.0,448000.0,900400.0
2000-07-12,879800.0,870200.0,899400.0,458600.0,886400.0
2000-07-13,919400.0,890000.0,925800.0,438800.0,926000.0
2000-07-14,951600.0,916000.0,958200.0,412800.0,958200.0
2000-07-15,953800.0,944400.0,961600.0,384400.0,960400.0
2000-07-17,961800.0,956400.0,973800.0,372400.0,968400.0
2000-07-18,927800.0,927800.0,954200.0,401000.0,934400.0
2000-07-19,940800.0,911800.0,941600.0,417000.0,947400.0
2000-07-20,906800.0,903800.0,925800.0,425000.0,913400.0
2000-07-21,897600.0,876000.0,907600.0,452800.0,914400.0
2000-07-24,877200.0,877200.0,892000.0,451600.0,894000.0
2000-07-25,831600.0,831600.0,889600.0,497200.0,848400.0
2000-07-26,845000.0,831600.0,871200.0,497200.0,861800.0
2000-07-27,845200.0,808000.0,845600.0,520800.0,862000.0
2000-07-28,875200.0,829600.0,884600.0,499200.0,892000.0
2000-07-29,866200.0,855800.0,877400.0,473000.0,883000.0
2000-07-31,860000.0,853800.0,870200.0,475000.0,876800.0
2000-08-01,844000.0,842600.0,875200.0,486200.0,860800.0
2000-08-02,842200.0,834600.0,854600.0,494200.0,859000.0
2000-08-03,828600.0,812800.0,839600.0,516000.0,845400.0
2000-08-04,839600.0,831800.0,855400.0,497000.0,856400.0
2000-08-05,821400.0,819800.0,842400.0,509000.0,838200.0
2000-08-07,806600.0,797600.0,816600.0,531200.0,823400.0
2000-08-08,817000.0,794600.0,819400.0,534200.0,833800.0
2000-08-09,863600.0,821600.0,863600.0,507200.0,880400.0
2000-08-10,859000.0,847800.0,863600.0,481000.0,875800.0
2000-08-11,845600.0,842600.0,863200.0,486200.0,862400.0
2000-08-14,821800.0,821600.0,845400.0,507200.0,838600.0
2000-08-15,825600.0,817600.0,837600.0,511200.0,842400.0
2000-08-16,849600.0,824800.0,851200.0,504000.0,866400.0
2000-08-17,888600.0,856200.0,889600.0,472600.0,905400.0
2000-08-18,874800.0,874800.0,900000.0,454000.0,899000.0
