date,action,price,contracts,profit,drawdown
2000-01-05,buy,8718.0,1,,
2000-01-20,settlement,9269.0,1,109000.0,23600.0
2000-01-21,buy,9250.0,1,,
2000-02-17,settlement,10293.0,1,207400.0,6400.0
2000-02-18,buy,10373.0,1,,
2000-03-16,settlement,8664.0,1,-343000.0,354200.0
2000-03-17,buy,8701.0,1,,
2000-04-20,settlement,9209.0,1,100400.0,253800.0
2000-04-21,buy,9175.0,1,,
2000-05-18,settlement,9105.0,1,-15200.0,269000.0
2000-05-19,buy,9050.0,1,,
2000-06-22,settlement,8920.0,1,-27200.0,296200.0
2000-06-23,buy,8875.0,1,,
2000-07-20,settlement,8255.0,1,-125200.0,421400.0
2000-07-21,buy,8300.0,1,,
2000-08-17,settlement,8215.0,1,-18200.0,439600.0
2000-08-18,buy,8246.0,1,,
2000-09-21,settlement,6951.0,1,-260200.0,699800.0
2000-09-22,buy,6803.0,1,,
2000-10-19,settlement,5199.0,1,-322000.0,1021800.0
2000-10-20,buy,5500.0,1,,
2000-11-16,settlement,5374.0,1,-26400.0,1048200.0
2000-11-17,buy,5290.0,1,,
2000-12-21,settlement,4687.0,1,-121800.0,1170000.0
2000-12-22,buy,4733.0,1,,
2001-01-18,settlement,5949.0,1,242000.0,928000.0
2001-01-29,buy,5922.0,1,,
2001-02-22,settlement,5769.0,1,-31800.0,959800.0
2001-02-23,buy,5745.0,1,,
2001-03-22,settlement,5750.0,1,-200.0,960000.0
2001-03-23,buy,5830.0,1,,
2001-04-19,settlement,5628.0,1,-41600.0,1001600.0
2001-04-20,buy,5643.0,1,,
2001-05-17,settlement,5150.0,1,-99800.0,1101400.0
2001-05-18,buy,5168.0,1,,
2001-06-21,settlement,4990.0,1,-36800.0,1138200.0
2001-06-22,buy,4990.0,1,,
2001-07-19,settlement,4175.0,1,-164200.0,1302400.0
2001-07-20,buy,4150.0,1,,
2001-08-16,settlement,4649.0,1,98600.0,1203800.0
2001-08-17,buy,4655.0,1,,
2001-09-20,settlement,3551.0,1,-222000.0,1425800.0
2001-09-21,buy,3460.0,1,,
2001-10-18,settlement,3770.0,1,60800.0,1365000.0
2001-10-19,buy,3760.0,1,,
2001-11-22,settlement,4429.0,1,132600.0,1232400.0
2001-11-23,buy,4435.0,1,,
2001-12-20,settlement,5285.0,1,168800.0,1063600.0
2001-12-21,buy,5231.0,1,,
2002-01-17,settlement,5450.0,1,42600.0,1021000.0
2002-01-18,buy,5452.0,1,,
2002-02-21,settlement,5656.0,1,39600.0,981400.0
2002-02-22,buy,5585.0,1,,
2002-03-21,settlement,6049.0,1,91600.0,889800.0
2002-03-22,buy,6138.0,1,,
2002-04-18,settlement,6360.0,1,43200.0,846600.0
2002-04-19,buy,6341.0,1,,
2002-05-16,settlement,5742.0,1,-121000.0,967600.0
2002-05-17,buy,5795.0,1,,
2002-06-20,settlement,5410.0,1,-78200.0,1045800.0
2002-06-21,buy,5341.0,1,,
2002-07-18,settlement,5199.0,1,-29600.0,1075400.0
2002-07-19,buy,5107.0,1,,
2002-08-22,settlement,4946.0,1,-33400.0,1108800.0
2002-08-23,buy,4980.0,1,,
2002-09-19,settlement,4441.0,1,-109000.0,1217800.0
2002-09-20,buy,4305.0,1,,
2002-10-17,settlement,4266.0,1,-9000.0,1226800.0
2002-10-18,buy,4310.0,1,,
2002-11-21,settlement,4631.0,1,63000.0,1163800.0
2002-11-22,buy,4725.0,1,,
2002-12-19,settlement,4550.0,1,-36200.0,1200000.0
2002-12-20,buy,4550.0,1,,
2003-01-16,settlement,4940.0,1,76800.0,1123200.0
2003-01-17,buy,4930.0,1,,
2003-02-20,settlement,4560.0,1,-75200.0,1198400.0
2003-02-21,buy,4566.0,1,,
2003-03-20,settlement,4588.0,1,3200.0,1195200.0
2003-03-21,buy,4574.0,1,,
2003-04-17,settlement,4557.0,1,-4600.0,1199800.0
2003-04-18,buy,4639.0,1,,
2003-05-22,settlement,4241.0,1,-80800.0,1280600.0
2003-05-23,buy,4275.0,1,,
2003-06-19,settlement,5069.0,1,157600.0,1123000.0
2003-06-20,buy,5025.0,1,,
2003-07-17,settlement,5251.0,1,44000.0,1079000.0
2003-07-18,buy,5251.0,1,,
2003-08-21,settlement,5611.0,1,70800.0,1008200.0
2003-08-22,buy,5624.0,1,,
2003-09-18,settlement,5759.0,1,25800.0,982400.0
2003-09-19,buy,5782.0,1,,
2003-10-16,settlement,6060.0,1,54400.0,928000.0
2003-10-17,buy,6074.0,1,,
2003-11-20,settlement,5898.0,1,-36400.0,964400.0
2003-11-21,buy,5852.0,1,,
2003-12-18,settlement,5780.0,1,-15600.0,980000.0
2003-12-19,buy,5811.0,1,,
2004-01-28,settlement,6367.0,1,110000.0,870000.0
2004-01-29,buy,6332.0,1,,
2004-02-19,settlement,6716.0,1,75600.0,794400.0
2004-02-20,buy,6685.0,1,,
2004-03-18,settlement,6845.0,1,30800.0,763600.0
2004-03-19,buy,6828.0,1,,
2004-04-22,settlement,6718.0,1,-23200.0,786800.0
2004-04-23,buy,6775.0,1,,
2004-05-20,settlement,5685.0,1,-219200.0,1006000.0
2004-05-21,buy,5734.0,1,,
2004-06-17,settlement,5607.0,1,-26600.0,1032600.0
2004-06-18,buy,5572.0,1,,
2004-07-22,settlement,5291.0,1,-57400.0,1090000.0
2004-07-23,buy,5291.0,1,,
2004-08-19,settlement,5528.0,1,46200.0,1043800.0
2004-08-20,buy,5542.0,1,,
2004-09-16,settlement,5868.0,1,64000.0,979800.0
2004-09-17,buy,5860.0,1,,
2004-10-21,settlement,5779.0,1,-17400.0,997200.0
2004-10-22,buy,5820.0,1,,
2004-11-18,settlement,6072.0,1,49200.0,948000.0
2004-11-19,buy,6086.0,1,,
2004-12-16,settlement,6020.0,1,-14400.0,962400.0
2004-12-17,buy,6011.0,1,,
2005-01-20,settlement,5879.0,1,-27600.0,990000.0
2005-01-21,buy,5871.0,1,,
2005-02-17,settlement,6078.0,1,40200.0,949800.0
2005-02-18,buy,6072.0,1,,
2005-03-17,settlement,6015.0,1,-12600.0,962400.0
2005-03-18,buy,6030.0,1,,
2005-04-21,settlement,5688.0,1,-69600.0,1032000.0
2005-04-22,buy,5748.0,1,,
2005-05-19,settlement,5947.0,1,38600.0,993400.0
2005-05-20,buy,5954.0,1,,
2005-06-16,settlement,6180.0,1,44000.0,949400.0
2005-06-17,buy,6188.0,1,,
2005-07-21,settlement,6365.0,1,34200.0,915200.0
2005-07-22,buy,6354.0,1,,
2005-08-18,settlement,6190.0,1,-34000.0,949200.0
2005-08-19,buy,6179.0,1,,
2005-09-22,settlement,5979.0,1,-41200.0,990400.0
2005-09-23,buy,5966.0,1,,
2005-10-20,settlement,5772.0,1,-40000.0,1030400.0
2005-10-21,buy,5725.0,1,,
2005-11-17,settlement,6023.0,1,58400.0,972000.0
2005-11-18,buy,6099.0,1,,
2005-12-22,settlement,6430.0,1,65000.0,907000.0
2005-12-23,buy,6445.0,1,,
2006-01-19,settlement,6513.0,1,12400.0,894600.0
2006-01-20,buy,6527.0,1,,
2006-02-16,settlement,6669.0,1,27200.0,867400.0
2006-02-17,buy,6701.0,1,,
2006-03-16,settlement,6448.0,1,-51800.0,919200.0
2006-03-17,buy,6450.0,1,,
2006-04-20,settlement,7121.0,1,133000.0,786200.0
2006-04-21,buy,7131.0,1,,
2006-05-18,settlement,7000.0,1,-27400.0,813600.0
2006-05-19,buy,6980.0,1,,
2006-06-22,settlement,6430.0,1,-111200.0,924800.0
2006-06-23,buy,6390.0,1,,
2006-07-20,settlement,6339.0,1,-11400.0,936200.0
2006-07-21,buy,6272.0,1,,
2006-08-17,settlement,6695.0,1,83400.0,852800.0
2006-08-18,buy,6709.0,1,,
2006-09-21,settlement,6880.0,1,33000.0,819800.0
2006-09-22,buy,6846.0,1,,
2006-10-19,settlement,6981.0,1,25800.0,794000.0
2006-10-20,buy,7007.0,1,,
2006-11-16,settlement,7248.0,1,47000.0,747000.0
2006-11-17,buy,7261.0,1,,
2006-12-21,settlement,7642.0,1,75000.0,672000.0
2006-12-22,buy,7636.0,1,,
2007-01-18,settlement,7922.0,1,56000.0,616000.0
2007-01-19,buy,7880.0,1,,
2007-02-27,settlement,7925.0,1,7800.0,608200.0
2007-03-01,buy,7746.0,1,,
2007-03-22,settlement,7829.0,1,15400.0,592800.0
2007-03-23,buy,7840.0,1,,
2007-04-19,settlement,7839.0,1,-1400.0,594200.0
2007-04-20,buy,7895.0,1,,
2007-05-17,settlement,8015.0,1,22800.0,571400.0
