date,equity_tmp,equity_l,equity_h,equity_dd,BnH
2000-01-04,1000000,1000000,1000000,,1031000.0
2000-01-05,1017800.0,990000.0,1029800.0,39800.0,1024400.0
2000-01-06,1025800.0,1019800.0,1056800.0,37000.0,1032400.0
2000-01-07,1021600.0,998000.0,1029800.0,58800.0,1028200.0
2000-01-10,1095800.0,1031800.0,1095800.0,64000.0,1102400.0
2000-01-11,1123200.0,1123200.0,1123200.0,0.0,1052600.0
2000-01-12,1170400.0,1122600.0,1170400.0,47800.0,1100400.0
2000-01-13,1155400.0,1145600.0,1171400.0,25800.0,1085400.0
2000-01-14,1147000.0,1127600.0,1170400.0,43800.0,1077000.0
2000-01-15,1166800.0,1166800.0,1166800.0,4600.0,1108400.0
2000-01-17,1180200.0,1160400.0,1198200.0,37800.0,1122400.0
2000-01-18,1175800.0,1161400.0,1179800.0,36800.0,1118000.0
2000-01-19,1167600.0,1167600.0,1167600.0,30600.0,1099400.0
2000-01-20,1167600.0,1167600.0,1167600.0,30600.0,1116200.0
2000-01-21,1187000.0,1166000.0,1196800.0,32200.0,1132400.0
2000-01-24,1216600.0,1191000.0,1216600.0,25600.0,1162000.0
2000-01-25,1207400.0,1191000.0,1207400.0,25600.0,1152800.0
2000-01-26,1261400.0,1221000.0,1269000.0,48000.0,1206800.0
2000-01-27,1263000.0,1255000.0,1279000.0,24000.0,1208400.0
2000-01-28,1277000.0,1248400.0,1277000.0,30600.0,1222400.0
2000-01-29,1268800.0,1254000.0,1268800.0,25000.0,1214200.0
2000-01-31,1290400.0,1259000.0,1291000.0,32000.0,1235800.0
2000-02-01,1323000.0,1303000.0,1323000.0,20000.0,1268400.0
2000-02-09,1346800.0,1333200.0,1356800.0,23600.0,1292200.0
2000-02-10,1346000.0,1336800.0,1356000.0,20000.0,1291400.0
2000-02-11,1353400.0,1353400.0,1353400.0,3400.0,1295800.0
2000-02-14,1328800.0,1325200.0,1364400.0,39200.0,1258400.0
2000-02-15,1330400.0,1309000.0,1333800.0,55400.0,1260000.0
2000-02-16,1350800.0,1332600.0,1350800.0,31800.0,1280400.0
2000-02-17,1391400.0,1357200.0,1398400.0,41200.0,1321000.0
2000-02-18,1347600.0,1341800.0,1403200.0,61400.0,1294400.0
2000-02-19,1372800.0,1334200.0,1377400.0,69000.0,1319600.0
2000-02-21,1319600.0,1315600.0,1369600.0,87600.0,1266400.0
2000-02-22,1290600.0,1269800.0,1319600.0,133400.0,1237400.0
2000-02-23,1255800.0,1255800.0,1293600.0,147400.0,1202600.0
2000-02-24,1271000.0,1271000.0,1271000.0,132200.0,1210400.0
2000-02-25,1271000.0,1271000.0,1271000.0,132200.0,1182800.0
2000-02-29,1271000.0,1271000.0,1271000.0,132200.0,1188400.0
2000-03-01,1299200.0,1270400.0,1299200.0,132800.0,1231400.0
2000-03-02,1268800.0,1263200.0,1299200.0,140000.0,1201000.0
2000-03-03,1282200.0,1264400.0,1283200.0,138800.0,1214400.0
2000-03-04,1265200.0,1264200.0,1299000.0,139000.0,1197400.0
2000-03-06,1235200.0,1234600.0,1259200.0,168600.0,1167400.0
2000-03-07,1243200.0,1215400.0,1247200.0,187800.0,1175400.0
2000-03-08,1235600.0,1235600.0,1235600.0,167600.0,1166400.0
2000-03-09,1257400.0,1235000.0,1258800.0,168200.0,1199800.0
2000-03-10,1224000.0,1223000.0,1268000.0,180200.0,1166400.0
2000-03-13,1090800.0,1090800.0,1206000.0,312400.0,1033200.0
2000-03-14,1089600.0,1025800.0,1098200.0,377400.0,1032000.0
2000-03-15,1038000.0,1038000.0,1099600.0,365200.0,980400.0
2000-03-16,1052800.0,996000.0,1066000.0,407200.0,995200.0
2000-03-17,1024200.0,1021800.0,1056600.0,381400.0,975200.0
2000-03-20,964400.0,964400.0,964400.0,438800.0,915400.0
2000-03-21,1080000.0,963200.0,1080000.0,440000.0,1031000.0
2000-03-22,1110600.0,1110600.0,1110600.0,292600.0,1077400.0
2000-03-23,1195600.0,1105600.0,1207200.0,297600.0,1189600.0
2000-03-24,1177400.0,1152400.0,1190400.0,250800.0,1171400.0
2000-03-27,1235400.0,1172400.0,1247800.0,230800.0,1229400.0
2000-03-28,1241600.0,1218600.0,1257400.0,184600.0,1235600.0
2000-03-29,1238000.0,1220400.0,1250400.0,182800.0,1232000.0
2000-03-30,1265000.0,1230400.0,1294400.0,172800.0,1259000.0
2000-03-31,1251400.0,1235600.0,1265000.0,167600.0,1245400.0
2000-04-01,1247800.0,1247800.0,1247800.0,155400.0,1292200.0
2000-04-05,1247800.0,1247800.0,1247800.0,155400.0,1332800.0
2000-04-06,1173200.0,1164400.0,1248600.0,238800.0,1264400.0
2000-04-07,1187000.0,1161200.0,1197200.0,242000.0,1278200.0
2000-04-08,1180000.0,1166200.0,1196400.0,237000.0,1271200.0
2000-04-10,1223600.0,1157200.0,1225200.0,246000.0,1314800.0
2000-04-11,1207400.0,1195600.0,1223200.0,207600.0,1298600.0
2000-04-12,1161200.0,1159600.0,1206200.0,243600.0,1252400.0
2000-04-13,1115200.0,1081600.0,1130800.0,321600.0,1206400.0
2000-04-14,1034800.0,1033400.0,1109200.0,369800.0,1126000.0
2000-04-15,911200.0,904400.0,967200.0,498800.0,1002400.0
2000-04-17,971800.0,911400.0,971800.0,491800.0,1063000.0
2000-04-18,1031600.0,1005600.0,1053200.0,397600.0,1122800.0
2000-04-19,989200.0,989200.0,1071000.0,414000.0,1080400.0
2000-04-20,1013000.0,941600.0,1013000.0,461600.0,1104200.0
2000-04-21,1003200.0,988800.0,1031800.0,414400.0,1088800.0
2000-04-24,940000.0,940000.0,1002600.0,463200.0,1025600.0
2000-04-25,976800.0,922200.0,982800.0,481000.0,1062400.0
2000-04-26,872800.0,870400.0,986800.0,532800.0,958400.0
2000-04-27,891800.0,891800.0,891800.0,511400.0,988200.0
2000-04-28,931200.0,871200.0,945200.0,532000.0,1032400.0
2000-04-29,926800.0,905200.0,936800.0,498000.0,1028000.0
2000-05-02,898000.0,893400.0,942200.0,509800.0,999200.0
2000-05-03,864800.0,852400.0,883600.0,550800.0,966000.0
2000-05-04,863000.0,837600.0,907200.0,565600.0,964200.0
2000-05-05,921200.0,841200.0,924200.0,562000.0,1022400.0
2000-05-06,910600.0,910600.0,910600.0,492600.0,1014400.0
2000-05-08,905000.0,883600.0,919000.0,519600.0,1004400.0
2000-05-09,914600.0,886800.0,915800.0,516400.0,1014000.0
2000-05-10,883200.0,883200.0,926800.0,520000.0,982600.0
2000-05-11,852400.0,852400.0,852400.0,550800.0,951800.0
2000-05-12,865800.0,847800.0,876200.0,555400.0,982400.0
2000-05-15,849800.0,845800.0,871800.0,557400.0,966400.0
2000-05-16,900800.0,854800.0,900800.0,548400.0,1017400.0
2000-05-17,963800.0,915800.0,963800.0,487400.0,1080400.0
2000-05-18,966800.0,945600.0,971800.0,457600.0,1083400.0
2000-05-19,1002600.0,962600.0,1003600.0,440600.0,1109400.0
2000-05-20,924000.0,905800.0,1001600.0,497400.0,1030800.0
2000-05-22,921200.0,918600.0,946600.0,484600.0,1028000.0
2000-05-23,905200.0,888800.0,932800.0,514400.0,1012000.0
2000-05-24,865000.0,865000.0,865000.0,538200.0,977800.0
2000-05-25,837400.0,830400.0,868400.0,572800.0,975400.0
2000-05-26,823800.0,823800.0,823800.0,579400.0,988000.0
2000-05-29,823800.0,823800.0,823800.0,579400.0,989600.0
2000-05-30,823800.0,823800.0,823800.0,579400.0,1025400.0
2000-05-31,823200.0,813200.0,827200.0,590000.0,1056400.0
2000-06-01,812200.0,802800.0,819000.0,600400.0,1045400.0
2000-06-02,813200.0,813200.0,839200.0,590000.0,1046400.0
2000-06-03,835800.0,823400.0,841600.0,579800.0,1069000.0
2000-06-05,837400.0,821400.0,839200.0,581800.0,1070600.0
2000-06-07,864200.0,825400.0,868200.0,577800.0,1097400.0
2000-06-08,852000.0,846800.0,869200.0,556400.0,1085200.0
2000-06-09,846800.0,836800.0,856200.0,566400.0,1080000.0
2000-06-12,830800.0,827200.0,854200.0,576000.0,1064000.0
2000-06-13,807000.0,807000.0,825200.0,596200.0,1040200.0
2000-06-14,822200.0,812200.0,827000.0,591000.0,1055400.0
2000-06-15,805200.0,801000.0,817200.0,602200.0,1038400.0
2000-06-16,803400.0,803400.0,803400.0,599800.0,1043200.0
2000-06-17,803400.0,803400.0,803400.0,599800.0,1032200.0
2000-06-19,803400.0,803400.0,803400.0,599800.0,1025200.0
2000-06-20,768800.0,768800.0,806600.0,634400.0,1002400.0
2000-06-21,762800.0,756800.0,784000.0,646400.0,996400.0
2000-06-22,812800.0,771200.0,814600.0,632000.0,1046400.0
2000-06-23,800600.0,798600.0,816600.0,604600.0,1026400.0
2000-06-26,768600.0,764800.0,791800.0,638400.0,994400.0
2000-06-27,755600.0,752600.0,778600.0,650600.0,981400.0
2000-06-28,744400.0,699600.0,760200.0,703600.0,970200.0
2000-06-29,674600.0,674200.0,744400.0,729000.0,900400.0
2000-06-30,686600.0,656800.0,708600.0,746400.0,912400.0
2000-07-03,696600.0,664600.0,706400.0,738600.0,922400.0
2000-07-04,649800.0,649800.0,699600.0,753400.0,875600.0
2000-07-05,714400.0,642600.0,725600.0,760600.0,940200.0
2000-07-06,690600.0,688600.0,705600.0,714600.0,916400.0
2000-07-07,699200.0,699200.0,699200.0,704000.0,898600.0
2000-07-10,688000.0,662200.0,699400.0,741000.0,897000.0
2000-07-11,691400.0,678400.0,719200.0,724800.0,900400.0
2000-07-12,677400.0,667800.0,697000.0,735400.0,886400.0
2000-07-13,690800.0,690800.0,690800.0,712400.0,926000.0
2000-07-14,690800.0,690800.0,690800.0,712400.0,958200.0
2000-07-15,687400.0,678000.0,695200.0,725200.0,960400.0
2000-07-17,695400.0,690000.0,707400.0,713200.0,968400.0
2000-07-18,661400.0,661400.0,687800.0,741800.0,934400.0
2000-07-19,674400.0,645400.0,675200.0,757800.0,947400.0
2000-07-20,640400.0,637400.0,659400.0,765800.0,913400.0
2000-07-21,639800.0,639800.0,639800.0,763400.0,914400.0
2000-07-24,627600.0,627600.0,642400.0,775600.0,894000.0
2000-07-25,582000.0,582000.0,640000.0,821200.0,848400.0
2000-07-26,595400.0,582000.0,621600.0,821200.0,861800.0
2000-07-27,583400.0,583400.0,583400.0,819800.0,862000.0
2000-07-28,628400.0,582800.0,637800.0,820400.0,892000.0
2000-07-29,619400.0,609000.0,630600.0,794200.0,883000.0
2000-07-31,613200.0,607000.0,623400.0,796200.0,876800.0
2000-08-01,597200.0,595800.0,628400.0,807400.0,860800.0
2000-08-02,595400.0,587800.0,607800.0,815400.0,859000.0
2000-08-03,588200.0,588200.0,588200.0,815000.0,845400.0
2000-08-04,586000.0,578200.0,601800.0,825000.0,856400.0
2000-08-05,567800.0,566200.0,588800.0,837000.0,838200.0
2000-08-07,553000.0,544000.0,563000.0,859200.0,823400.0
2000-08-08,563400.0,541000.0,565800.0,862200.0,833800.0
2000-08-09,569400.0,569400.0,569400.0,833800.0,880400.0
2000-08-10,571800.0,560600.0,576400.0,842600.0,875800.0
2000-08-11,558400.0,555400.0,576000.0,847800.0,862400.0
2000-08-14,534600.0,534400.0,558200.0,868800.0,838600.0
2000-08-15,538800.0,538800.0,538800.0,864400.0,842400.0
2000-08-16,563000.0,538200.0,564600.0,865000.0,866400.0
2000-08-17,602000.0,569600.0,603000.0,833600.0,905400.0
2000-08-18,588200.0,588200.0,613400.0,815000.0,899000.0
2000-08-19,607800.0,582200.0,607800.0,821000.0,918600.0
2000-08-21,606600.0,598000.0,616000.0,805200.0,917400.0
