date,action,price,contracts,profit,drawdown
2000-01-05,buy,8718.0,1,,
2000-01-10,sell,8949.0,1,45000.0,10600.0
2000-01-11,buy,9340.0,1,,
2000-01-15,sell,9175.0,1,-34200.0,44800.0
2000-01-17,buy,9230.0,1,,
2000-01-20,settlement,9269.0,1,6600.0,38200.0
2000-01-21,buy,9250.0,1,,
2000-01-24,sell,9409.0,1,30600.0,7600.0
2000-01-25,buy,9431.0,1,,
2000-01-28,sell,9660.0,1,44600.0,29400.0
2000-01-29,buy,9700.0,1,,
2000-02-15,sell,9901.0,1,39000.0,76600.0
2000-02-18,buy,10373.0,1,,
2000-02-21,sell,10219.0,1,-32000.0,108600.0
2000-02-25,buy,9750.0,1,,
2000-02-29,sell,9652.0,1,-20800.0,129400.0
2000-03-01,buy,9701.0,1,,
2000-03-03,sell,9700.0,1,-1400.0,130800.0
2000-03-04,buy,9840.0,1,,
2000-03-10,sell,9710.0,1,-27200.0,158000.0
2000-03-15,buy,8735.0,1,,
2000-03-16,settlement,8664.0,1,-15400.0,173400.0
2000-03-17,buy,8701.0,1,,
2000-03-22,sell,8999.0,1,58400.0,115000.0
2000-03-30,buy,9830.0,1,,
2000-03-31,sell,9880.0,1,8800.0,106200.0
2000-04-01,buy,9900.0,1,,
2000-04-20,settlement,9209.0,1,-139400.0,245600.0
2000-04-21,buy,9175.0,1,,
2000-05-04,sell,8590.0,1,-118200.0,363800.0
2000-05-05,buy,8430.0,1,,
2000-05-08,sell,8735.0,1,59800.0,304000.0
2000-05-10,buy,8770.0,1,,
2000-05-11,sell,8450.0,1,-65200.0,369200.0
2000-05-12,buy,8530.0,1,,
2000-05-17,sell,8850.0,1,62800.0,306400.0
2000-05-19,buy,9050.0,1,,
2000-06-01,sell,8941.0,1,-23000.0,329400.0
2000-06-02,buy,9000.0,1,,
2000-06-22,sell,8739.0,1,-53400.0,382800.0
2000-06-23,buy,8875.0,1,,
2000-06-26,sell,8774.0,1,-21400.0,404200.0
2000-06-29,buy,8529.0,1,,
2000-06-30,sell,8101.0,1,-86800.0,491000.0
2000-07-04,buy,8300.0,1,,
2000-07-06,sell,8310.0,1,800.0,490200.0
2000-07-12,buy,8199.0,1,,
2000-07-20,sell,8350.0,1,29000.0,461200.0
2000-07-21,buy,8300.0,1,,
2000-07-29,sell,8110.0,1,-39200.0,500400.0
2000-07-31,buy,8119.0,1,,
2000-08-05,sell,7952.0,1,-34600.0,535000.0
2000-08-07,buy,7849.0,1,,
2000-08-11,sell,8044.0,1,37800.0,497200.0
2000-08-14,buy,7999.0,1,,
2000-08-17,settlement,8215.0,1,42000.0,455200.0
2000-08-21,buy,8269.0,1,,
2000-08-25,sell,8220.0,1,-11000.0,466200.0
2000-08-30,buy,7878.0,1,,
2000-09-05,sell,7775.0,1,-21800.0,488000.0
2000-09-06,buy,7708.0,1,,
2000-09-21,settlement,6951.0,1,-152600.0,640600.0
2000-09-22,buy,6803.0,1,,
2000-09-28,sell,6850.0,1,8200.0,632400.0
2000-09-29,buy,6639.0,1,,
2000-10-09,sell,6435.0,1,-42000.0,674400.0
2000-10-11,buy,5988.0,1,,
2000-10-16,sell,6163.0,1,33800.0,640600.0
2000-10-19,buy,5419.0,1,,
2000-10-19,settlement,5199.0,1,-45200.0,685800.0
2000-10-20,buy,5500.0,1,,
2000-10-23,sell,5631.0,1,25000.0,660800.0
2000-10-24,buy,5670.0,1,,
2000-11-09,sell,6060.0,1,76800.0,584000.0
2000-11-10,buy,6160.0,1,,
2000-11-16,settlement,5374.0,1,-158400.0,742400.0
2000-11-20,buy,5053.0,1,,
2000-11-27,sell,5549.0,1,98000.0,644400.0
2000-11-30,buy,5338.0,1,,
2000-12-02,sell,5401.0,1,11400.0,633000.0
2000-12-04,buy,5250.0,1,,
2000-12-19,sell,5062.0,1,-38800.0,671800.0
2000-12-20,buy,5001.0,1,,
2000-12-21,sell,4762.0,1,-49000.0,720800.0
2000-12-22,buy,4733.0,1,,
2001-01-03,sell,4822.0,1,16600.0,704200.0
2001-01-04,buy,5149.0,1,,
2001-01-15,sell,5320.0,1,33000.0,671200.0
2001-01-16,buy,5424.0,1,,
2001-01-18,settlement,5949.0,1,103800.0,567400.0
2001-01-29,buy,5922.0,1,,
2001-01-31,sell,5850.0,1,-15600.0,583000.0
2001-02-02,buy,5950.0,1,,
2001-02-07,sell,5795.0,1,-32200.0,615200.0
2001-02-08,buy,5680.0,1,,
2001-02-21,sell,5885.0,1,39800.0,575400.0
2001-02-23,buy,5745.0,1,,
2001-02-27,sell,5805.0,1,10800.0,564600.0
2001-03-01,buy,5581.0,1,,
2001-03-07,sell,5689.0,1,20400.0,544200.0
2001-03-08,buy,5749.0,1,,
2001-03-12,sell,5499.0,1,-51200.0,595400.0
2001-03-13,buy,5480.0,1,,
2001-03-22,settlement,5750.0,1,52800.0,542600.0
2001-03-23,buy,5830.0,1,,
2001-04-02,sell,5775.0,1,-12200.0,554800.0
2001-04-03,buy,5595.0,1,,
2001-04-09,sell,5490.0,1,-22200.0,577000.0
2001-04-10,buy,5419.0,1,,
2001-04-12,sell,5515.0,1,18000.0,559000.0
2001-04-13,buy,5561.0,1,,
2001-04-19,settlement,5628.0,1,12200.0,546800.0
2001-04-20,buy,5643.0,1,,
2001-04-25,sell,5609.0,1,-8000.0,554800.0
2001-04-30,buy,5425.0,1,,
2001-05-08,sell,5255.0,1,-35200.0,590000.0
2001-05-09,buy,5229.0,1,,
2001-05-15,sell,5181.0,1,-10800.0,600800.0
2001-05-16,buy,5155.0,1,,
2001-05-17,settlement,5150.0,1,-2200.0,603000.0
2001-05-22,buy,5017.0,1,,
2001-05-25,sell,5190.0,1,33400.0,569600.0
2001-05-28,buy,5154.0,1,,
2001-05-31,sell,5072.0,1,-17600.0,587200.0
2001-06-01,buy,5110.0,1,,
2001-06-06,sell,5142.0,1,5200.0,582000.0
2001-06-11,buy,5211.0,1,,
2001-06-20,sell,5079.0,1,-27600.0,609600.0
2001-06-21,buy,5080.0,1,,
2001-06-21,settlement,4990.0,1,-19200.0,628800.0
2001-06-22,buy,4990.0,1,,
2001-06-27,sell,4830.0,1,-33200.0,662000.0
2001-06-28,buy,4856.0,1,,
2001-07-17,sell,4335.0,1,-105400.0,767400.0
2001-07-19,buy,4175.0,1,,
2001-07-19,settlement,4175.0,1,-1200.0,768600.0
2001-07-20,buy,4150.0,1,,
2001-08-08,sell,4372.0,1,43200.0,725400.0
2001-08-09,buy,4466.0,1,,
