date,action,price,contracts,profit,drawdown
2000-01-06,buy,8840.0,1,,
2000-01-12,sell,8951.0,1,21000.0,77200.0
2000-01-13,buy,9190.0,1,,
2000-01-15,sell,9175.0,1,-4200.0,81400.0
2000-01-21,buy,9250.0,1,,
2000-02-15,sell,9901.0,1,129000.0,76600.0
2000-02-25,buy,9750.0,1,,
2000-03-01,sell,9701.0,1,-11000.0,87600.0
2000-03-07,buy,9480.0,1,,
2000-03-10,sell,9710.0,1,44800.0,42800.0
2000-03-20,buy,8265.0,1,,
2000-03-24,sell,9610.0,1,267800.0,16200.0
2000-03-29,buy,9780.0,1,,
2000-04-13,sell,9750.0,1,-7200.0,127400.0
2000-04-21,buy,9175.0,1,,
2000-05-16,sell,8562.0,1,-123800.0,251200.0
2000-05-23,buy,8886.0,1,,
2000-05-24,sell,8550.0,1,-68400.0,319600.0
2000-05-25,buy,8700.0,1,,
2000-06-07,sell,9001.0,1,59000.0,260600.0
2000-06-09,buy,9114.0,1,,
2000-06-15,sell,8938.0,1,-36400.0,297000.0
2000-06-27,buy,8706.0,1,,
2000-06-30,sell,8101.0,1,-122200.0,419200.0
2000-07-04,buy,8300.0,1,,
2000-07-18,sell,8492.0,1,37200.0,382000.0
2000-07-21,buy,8300.0,1,,
2000-07-24,sell,8216.0,1,-18000.0,400000.0
2000-07-27,buy,7940.0,1,,
2000-07-29,sell,8110.0,1,32800.0,367200.0
2000-07-31,buy,8119.0,1,,
2000-08-03,sell,7950.0,1,-35000.0,402200.0
2000-08-04,buy,7978.0,1,,
2000-08-08,sell,7835.0,1,-29800.0,432000.0
2000-08-11,buy,8044.0,1,,
2000-08-15,sell,7905.0,1,-29000.0,461000.0
2000-08-18,buy,8246.0,1,,
2000-08-24,sell,8219.0,1,-6600.0,467600.0
2000-08-25,buy,8220.0,1,,
2000-08-28,sell,8051.0,1,-35000.0,502600.0
2000-08-30,buy,7878.0,1,,
2000-09-07,sell,7550.0,1,-66800.0,569400.0
2000-09-08,buy,7535.0,1,,
2000-09-15,sell,7181.0,1,-72000.0,641400.0
2000-10-04,buy,6043.0,1,,
2000-10-05,sell,6050.0,1,200.0,641200.0
2000-10-07,buy,6450.0,1,,
2000-10-11,sell,5988.0,1,-93600.0,734800.0
2000-10-19,buy,5419.0,1,,
2000-10-19,settlement,5199.0,1,-45200.0,780000.0
2000-10-20,buy,5500.0,1,,
2000-10-21,sell,5600.0,1,18800.0,761200.0
2000-10-23,buy,5631.0,1,,
2000-10-24,sell,5670.0,1,6600.0,754600.0
2000-10-26,buy,5861.0,1,,
2000-11-02,sell,5475.0,1,-78400.0,833000.0
2000-11-03,buy,5800.0,1,,
2000-11-07,sell,5794.0,1,-2400.0,835400.0
