date,equity_tmp,equity_l,equity_h,equity_dd,BnH
2000-01-04,1000000,1000000,1000000,,1031000.0
2000-01-05,1017800.0,990000.0,1029800.0,39800.0,1024400.0
2000-01-06,1025800.0,1019800.0,1056800.0,37000.0,1032400.0
2000-01-07,1021600.0,998000.0,1029800.0,58800.0,1028200.0
2000-01-10,1095800.0,1031800.0,1095800.0,64000.0,1102400.0
2000-01-11,1046000.0,1041800.0,1123800.0,82000.0,1052600.0
2000-01-12,1093800.0,1046000.0,1093800.0,77800.0,1100400.0
2000-01-13,1078800.0,1069000.0,1094800.0,54800.0,1085400.0
2000-01-14,1070400.0,1051000.0,1093800.0,72800.0,1077000.0
2000-01-15,1101800.0,1074800.0,1101800.0,49000.0,1108400.0
2000-01-17,1115800.0,1096000.0,1133800.0,37800.0,1122400.0
2000-01-18,1111400.0,1097000.0,1115400.0,36800.0,1118000.0
2000-01-19,1092800.0,1091000.0,1115600.0,42800.0,1099400.0
2000-01-20,1109600.0,1090400.0,1109600.0,43400.0,1116200.0
2000-01-21,1128400.0,1107400.0,1138200.0,30800.0,1132400.0
2000-01-24,1158000.0,1132400.0,1158000.0,25600.0,1162000.0
2000-01-25,1148800.0,1132400.0,1148800.0,25600.0,1152800.0
2000-01-26,1202800.0,1162400.0,1210400.0,48000.0,1206800.0
2000-01-27,1204400.0,1196400.0,1220400.0,24000.0,1208400.0
2000-01-28,1218400.0,1189800.0,1218400.0,30600.0,1222400.0
2000-01-29,1210200.0,1195400.0,1210200.0,25000.0,1214200.0
2000-01-31,1231800.0,1200400.0,1232400.0,32000.0,1235800.0
2000-02-01,1264400.0,1244400.0,1264400.0,20000.0,1268400.0
2000-02-09,1288200.0,1274600.0,1298200.0,23600.0,1292200.0
2000-02-10,1287400.0,1278200.0,1297400.0,20000.0,1291400.0
2000-02-11,1291800.0,1290400.0,1315800.0,25400.0,1295800.0
2000-02-14,1254400.0,1250800.0,1290000.0,65000.0,1258400.0
2000-02-15,1256000.0,1234600.0,1259400.0,81200.0,1260000.0
2000-02-16,1276400.0,1258200.0,1276400.0,57600.0,1280400.0
2000-02-17,1317000.0,1282800.0,1324000.0,41200.0,1321000.0
2000-02-18,1273200.0,1267400.0,1328800.0,61400.0,1294400.0
2000-02-19,1298400.0,1259800.0,1303000.0,69000.0,1319600.0
2000-02-21,1245200.0,1241200.0,1295200.0,87600.0,1266400.0
2000-02-22,1216200.0,1195400.0,1245200.0,133400.0,1237400.0
2000-02-23,1181400.0,1181400.0,1219200.0,147400.0,1202600.0
2000-02-24,1189200.0,1175200.0,1210200.0,153600.0,1210400.0
2000-02-25,1161600.0,1151200.0,1191800.0,177600.0,1182800.0
2000-02-29,1167200.0,1157200.0,1185200.0,171600.0,1188400.0
2000-03-01,1210200.0,1181400.0,1210200.0,147400.0,1231400.0
2000-03-02,1179800.0,1174200.0,1210200.0,154600.0,1201000.0
2000-03-03,1193200.0,1175400.0,1194200.0,153400.0,1214400.0
2000-03-04,1176200.0,1175200.0,1210000.0,153600.0,1197400.0
2000-03-06,1146200.0,1145600.0,1170200.0,183200.0,1167400.0
2000-03-07,1154200.0,1126400.0,1158200.0,202400.0,1175400.0
2000-03-08,1145200.0,1141200.0,1166200.0,187600.0,1166400.0
2000-03-09,1178600.0,1156200.0,1180000.0,172600.0,1199800.0
2000-03-10,1145200.0,1144200.0,1189200.0,184600.0,1166400.0
2000-03-13,1012000.0,1012000.0,1127200.0,316800.0,1033200.0
2000-03-14,1010800.0,947000.0,1019400.0,381800.0,1032000.0
2000-03-15,959200.0,959200.0,1020800.0,369600.0,980400.0
2000-03-16,970600.0,970600.0,970600.0,358200.0,995200.0
2000-03-17,942600.0,940200.0,975000.0,388600.0,975200.0
2000-03-20,882800.0,882800.0,882800.0,446000.0,915400.0
2000-03-21,998400.0,881600.0,998400.0,447200.0,1031000.0
2000-03-22,1044800.0,997800.0,1069400.0,331000.0,1077400.0
2000-03-23,1157000.0,1067000.0,1168600.0,261800.0,1189600.0
2000-03-24,1138800.0,1113800.0,1151800.0,215000.0,1171400.0
2000-03-27,1196800.0,1133800.0,1209200.0,195000.0,1229400.0
2000-03-28,1203000.0,1180000.0,1218800.0,148800.0,1235600.0
2000-03-29,1199400.0,1181800.0,1211800.0,147000.0,1232000.0
2000-03-30,1226400.0,1191800.0,1255800.0,137000.0,1259000.0
2000-03-31,1212800.0,1197000.0,1226400.0,131800.0,1245400.0
2000-04-01,1259600.0,1198800.0,1259600.0,130000.0,1292200.0
2000-04-05,1300200.0,1239800.0,1307800.0,89000.0,1332800.0
2000-04-06,1231800.0,1223000.0,1307200.0,105800.0,1264400.0
2000-04-07,1245600.0,1219800.0,1255800.0,109000.0,1278200.0
2000-04-08,1238600.0,1224800.0,1255000.0,104000.0,1271200.0
2000-04-10,1282200.0,1215800.0,1283800.0,113000.0,1314800.0
2000-04-11,1266000.0,1254200.0,1281800.0,74600.0,1298600.0
2000-04-12,1219800.0,1218200.0,1264800.0,110600.0,1252400.0
2000-04-13,1173800.0,1140200.0,1189400.0,188600.0,1206400.0
2000-04-14,1093400.0,1092000.0,1167800.0,236800.0,1126000.0
2000-04-15,969800.0,963000.0,1025800.0,365800.0,1002400.0
2000-04-17,971200.0,971200.0,971200.0,357600.0,1063000.0
2000-04-18,981000.0,955000.0,1002600.0,373800.0,1122800.0
2000-04-19,938600.0,938600.0,1020400.0,390200.0,1080400.0
2000-04-20,962400.0,891000.0,962400.0,437800.0,1104200.0
2000-04-21,952600.0,938200.0,981200.0,390600.0,1088800.0
2000-04-24,889400.0,889400.0,952000.0,439400.0,1025600.0
2000-04-25,926200.0,871600.0,932200.0,457200.0,1062400.0
2000-04-26,822200.0,819800.0,936200.0,509000.0,958400.0
2000-04-27,852000.0,828200.0,865800.0,500600.0,988200.0
2000-04-28,896200.0,836200.0,910200.0,492600.0,1032400.0
2000-04-29,891800.0,870200.0,901800.0,458600.0,1028000.0
2000-05-02,863000.0,858400.0,907200.0,470400.0,999200.0
2000-05-03,829800.0,817400.0,848600.0,511400.0,966000.0
2000-05-04,828000.0,802600.0,872200.0,526200.0,964200.0
2000-05-05,886200.0,806200.0,889200.0,522600.0,1022400.0
2000-05-06,878200.0,864400.0,890200.0,464400.0,1014400.0
2000-05-08,868200.0,846800.0,882200.0,482000.0,1004400.0
2000-05-09,877800.0,850000.0,879000.0,478800.0,1014000.0
2000-05-10,846400.0,846400.0,890000.0,482400.0,982600.0
2000-05-11,815600.0,800200.0,824200.0,528600.0,951800.0
2000-05-12,846200.0,828200.0,856600.0,500600.0,982400.0
2000-05-15,830200.0,826200.0,852200.0,502600.0,966400.0
2000-05-16,881200.0,835200.0,881200.0,493600.0,1017400.0
2000-05-17,944200.0,896200.0,944200.0,432600.0,1080400.0
2000-05-18,947200.0,926000.0,952200.0,402800.0,1083400.0
2000-05-19,983000.0,943000.0,984000.0,385800.0,1109400.0
2000-05-20,904400.0,886200.0,982000.0,442600.0,1030800.0
2000-05-22,901600.0,899000.0,927000.0,429800.0,1028000.0
2000-05-23,885600.0,869200.0,913200.0,459600.0,1012000.0
2000-05-24,851400.0,842600.0,860000.0,486200.0,977800.0
2000-05-25,849000.0,842000.0,880000.0,486800.0,975400.0
2000-05-26,861600.0,831000.0,872000.0,497800.0,988000.0
2000-05-29,863200.0,856200.0,877000.0,472600.0,989600.0
2000-05-30,899000.0,869400.0,899600.0,459400.0,1025400.0
2000-05-31,930000.0,920000.0,934000.0,408800.0,1056400.0
2000-06-01,919000.0,909600.0,925800.0,419200.0,1045400.0
2000-06-02,920000.0,920000.0,946000.0,408800.0,1046400.0
2000-06-03,942600.0,930200.0,948400.0,398600.0,1069000.0
2000-06-05,944200.0,928200.0,946000.0,400600.0,1070600.0
2000-06-07,971000.0,932200.0,975000.0,396600.0,1097400.0
2000-06-08,958800.0,953600.0,976000.0,375200.0,1085200.0
2000-06-09,953600.0,943600.0,963000.0,385200.0,1080000.0
2000-06-12,937600.0,934000.0,961000.0,394800.0,1064000.0
2000-06-13,913800.0,913800.0,932000.0,415000.0,1040200.0
2000-06-14,929000.0,919000.0,933800.0,409800.0,1055400.0
2000-06-15,912000.0,907800.0,924000.0,421000.0,1038400.0
2000-06-16,916800.0,900200.0,917800.0,428600.0,1043200.0
2000-06-17,905800.0,903200.0,918800.0,425600.0,1032200.0
2000-06-19,898800.0,872600.0,908000.0,456200.0,1025200.0
2000-06-20,876000.0,876000.0,913800.0,452800.0,1002400.0
2000-06-21,880000.0,880000.0,880000.0,448800.0,996400.0
2000-06-22,915600.0,874000.0,917400.0,454800.0,1046400.0
2000-06-23,903400.0,901400.0,919400.0,427400.0,1026400.0
2000-06-26,871400.0,867600.0,894600.0,461200.0,994400.0
2000-06-27,858400.0,855400.0,881400.0,473400.0,981400.0
2000-06-28,847200.0,802400.0,863000.0,526400.0,970200.0
2000-06-29,777400.0,777000.0,847200.0,551800.0,900400.0
2000-06-30,789400.0,759600.0,811400.0,569200.0,912400.0
2000-07-03,799400.0,767400.0,809200.0,561400.0,922400.0
2000-07-04,752600.0,752600.0,802400.0,576200.0,875600.0
2000-07-05,817200.0,745400.0,828400.0,583400.0,940200.0
2000-07-06,793400.0,791400.0,808400.0,537400.0,916400.0
2000-07-07,775600.0,772400.0,813400.0,556400.0,898600.0
2000-07-10,774000.0,748200.0,785400.0,580600.0,897000.0
2000-07-11,777400.0,764400.0,805200.0,564400.0,900400.0
2000-07-12,763400.0,753800.0,783000.0,575000.0,886400.0
2000-07-13,803000.0,773600.0,809400.0,555200.0,926000.0
2000-07-14,835200.0,799600.0,841800.0,529200.0,958200.0
2000-07-15,837400.0,828000.0,845200.0,500800.0,960400.0
2000-07-17,845400.0,840000.0,857400.0,488800.0,968400.0
2000-07-18,811400.0,811400.0,837800.0,517400.0,934400.0
2000-07-19,824400.0,795400.0,825200.0,533400.0,947400.0
2000-07-20,790400.0,787400.0,809400.0,541400.0,913400.0
2000-07-21,781200.0,759600.0,791200.0,569200.0,914400.0
2000-07-24,760800.0,760800.0,775600.0,568000.0,894000.0
2000-07-25,715200.0,715200.0,773200.0,613600.0,848400.0
2000-07-26,728600.0,715200.0,754800.0,613600.0,861800.0
2000-07-27,728800.0,691600.0,729200.0,637200.0,862000.0
2000-07-28,758800.0,713200.0,768200.0,615600.0,892000.0
2000-07-29,749800.0,739400.0,761000.0,589400.0,883000.0
2000-07-31,743600.0,737400.0,753800.0,591400.0,876800.0
2000-08-01,727600.0,726200.0,758800.0,602600.0,860800.0
2000-08-02,725800.0,718200.0,738200.0,610600.0,859000.0
2000-08-03,712200.0,696400.0,723200.0,632400.0,845400.0
2000-08-04,723200.0,715400.0,739000.0,613400.0,856400.0
2000-08-05,705000.0,703400.0,726000.0,625400.0,838200.0
2000-08-07,690200.0,681200.0,700200.0,647600.0,823400.0
2000-08-08,700600.0,678200.0,703000.0,650600.0,833800.0
2000-08-09,747200.0,705200.0,747200.0,623600.0,880400.0
2000-08-10,742600.0,731400.0,747200.0,597400.0,875800.0
2000-08-11,729200.0,726200.0,746800.0,602600.0,862400.0
2000-08-14,705400.0,705200.0,729000.0,623600.0,838600.0
2000-08-15,709200.0,701200.0,721200.0,627600.0,842400.0
2000-08-16,733200.0,708400.0,734800.0,620400.0,866400.0
2000-08-17,772200.0,739800.0,773200.0,589000.0,905400.0
2000-08-18,758400.0,758400.0,783600.0,570400.0,899000.0
2000-08-19,778000.0,752400.0,778000.0,576400.0,918600.0
2000-08-21,776800.0,768200.0,786200.0,560600.0,917400.0
2000-08-22,757800.0,752200.0,768800.0,576600.0,898400.0
