date,action,price,contracts,profit,drawdown
2000-01-06,buy,8840.0,1,,
2000-01-20,settlement,9269.0,1,84600.0,23600.0
2000-01-21,buy,9250.0,1,,
2000-02-17,settlement,10293.0,1,207400.0,6400.0
2000-02-18,buy,10373.0,1,,
2000-03-16,sell,8650.0,1,-345800.0,357000.0
2000-03-17,buy,8701.0,1,,
2000-04-17,sell,8710.0,1,600.0,356400.0
2000-04-18,buy,9250.0,1,,
2000-04-20,settlement,9209.0,1,-9400.0,365800.0
2000-04-21,buy,9175.0,1,,
2000-05-18,settlement,9105.0,1,-15200.0,381000.0
2000-05-19,buy,9050.0,1,,
2000-06-21,sell,8723.0,1,-66600.0,447600.0
2000-06-22,buy,8739.0,1,,
2000-06-22,settlement,8920.0,1,35000.0,412600.0
2000-06-23,buy,8875.0,1,,
2000-07-20,settlement,8255.0,1,-125200.0,537800.0
2000-07-21,buy,8300.0,1,,
2000-08-17,settlement,8215.0,1,-18200.0,556000.0
2000-08-18,buy,8246.0,1,,
2000-09-21,settlement,6951.0,1,-260200.0,816200.0
2000-09-22,buy,6803.0,1,,
2000-10-12,sell,5900.0,1,-181800.0,998000.0
2000-10-13,buy,5355.0,1,,
2000-10-17,sell,5510.0,1,29800.0,968200.0
2000-10-18,buy,5647.0,1,,
2000-10-19,sell,5419.0,1,-46800.0,1015000.0
2000-10-20,buy,5500.0,1,,
2000-11-16,settlement,5374.0,1,-26400.0,1041400.0
2000-11-18,buy,5280.0,1,,
2000-12-21,sell,4762.0,1,-104800.0,1146200.0
2000-12-22,buy,4733.0,1,,
2001-01-18,settlement,5949.0,1,242000.0,904200.0
2001-01-29,buy,5922.0,1,,
2001-02-22,settlement,5769.0,1,-31800.0,936000.0
2001-02-26,buy,5746.0,1,,
2001-03-22,sell,5631.0,1,-24200.0,960200.0
2001-03-23,buy,5830.0,1,,
2001-04-19,settlement,5628.0,1,-41600.0,1001800.0
2001-04-20,buy,5643.0,1,,
2001-05-17,settlement,5150.0,1,-99800.0,1101600.0
2001-05-18,buy,5168.0,1,,
2001-06-21,settlement,4990.0,1,-36800.0,1138400.0
2001-06-26,buy,4965.0,1,,
2001-07-19,sell,4175.0,1,-159200.0,1297600.0
2001-07-20,buy,4150.0,1,,
2001-08-16,settlement,4649.0,1,98600.0,1199000.0
2001-08-17,buy,4655.0,1,,
2001-09-14,sell,3888.0,1,-154600.0,1353600.0
2001-09-19,buy,3611.0,1,,
2001-09-20,settlement,3551.0,1,-13200.0,1366800.0
2001-09-24,buy,3402.0,1,,
2001-10-18,settlement,3770.0,1,72400.0,1294400.0
2001-10-19,buy,3760.0,1,,
2001-11-22,settlement,4429.0,1,132600.0,1161800.0
2001-11-23,buy,4435.0,1,,
2001-12-20,sell,5200.0,1,151800.0,1010000.0
2001-12-21,buy,5231.0,1,,
2002-01-17,sell,5350.0,1,22600.0,987400.0
2002-01-18,buy,5452.0,1,,
2002-02-20,sell,5798.0,1,68000.0,919400.0
2002-02-21,buy,5725.0,1,,
2002-02-21,settlement,5656.0,1,-15000.0,934400.0
2002-02-25,buy,5632.0,1,,
2002-03-21,settlement,6049.0,1,82200.0,852200.0
2002-03-22,buy,6138.0,1,,
2002-04-18,settlement,6360.0,1,43200.0,809000.0
2002-04-19,buy,6341.0,1,,
2002-05-16,settlement,5742.0,1,-121000.0,930000.0
2002-05-20,buy,5751.0,1,,
2002-06-20,sell,5336.0,1,-84200.0,1014200.0
2002-06-21,buy,5341.0,1,,
2002-07-18,sell,5213.0,1,-26800.0,1041000.0
2002-07-19,buy,5107.0,1,,
2002-08-22,settlement,4946.0,1,-33400.0,1074400.0
2002-08-23,buy,4980.0,1,,
2002-09-19,settlement,4441.0,1,-109000.0,1183400.0
2002-09-23,buy,4351.0,1,,
2002-10-17,settlement,4266.0,1,-18200.0,1201600.0
2002-10-18,buy,4310.0,1,,
2002-10-22,sell,4410.0,1,18800.0,1182800.0
2002-10-23,buy,4314.0,1,,
2002-11-21,settlement,4631.0,1,62200.0,1120600.0
2002-11-22,buy,4725.0,1,,
2002-12-18,sell,4551.0,1,-36000.0,1156600.0
2002-12-19,buy,4509.0,1,,
2002-12-19,settlement,4550.0,1,7000.0,1149600.0
2002-12-20,buy,4550.0,1,,
2003-01-16,settlement,4940.0,1,76800.0,1072800.0
2003-01-17,buy,4930.0,1,,
2003-02-20,sell,4536.0,1,-80000.0,1152800.0
2003-02-21,buy,4566.0,1,,
2003-03-20,settlement,4588.0,1,3200.0,1149600.0
2003-03-21,buy,4574.0,1,,
2003-04-17,settlement,4557.0,1,-4600.0,1154200.0
2003-04-18,buy,4639.0,1,,
2003-05-22,settlement,4241.0,1,-80800.0,1235000.0
2003-05-23,buy,4275.0,1,,
2003-06-19,settlement,5069.0,1,157600.0,1077400.0
2003-06-20,buy,5025.0,1,,
2003-07-17,settlement,5251.0,1,44000.0,1033400.0
2003-07-18,buy,5251.0,1,,
2003-08-21,settlement,5611.0,1,70800.0,962600.0
2003-08-22,buy,5624.0,1,,
2003-09-18,settlement,5759.0,1,25800.0,936800.0
2003-09-22,buy,5717.0,1,,
2003-10-16,settlement,6060.0,1,67400.0,869400.0
2003-10-17,buy,6074.0,1,,
2003-11-20,settlement,5898.0,1,-36400.0,905800.0
2003-11-21,buy,5852.0,1,,
2003-12-18,settlement,5780.0,1,-15600.0,921400.0
2003-12-19,buy,5811.0,1,,
2004-01-28,settlement,6367.0,1,110000.0,811400.0
2004-01-29,buy,6332.0,1,,
2004-02-19,settlement,6716.0,1,75600.0,735800.0
2004-02-20,buy,6685.0,1,,
2004-03-16,sell,6506.0,1,-37000.0,772800.0
2004-03-17,buy,6565.0,1,,
2004-03-18,sell,6676.0,1,21000.0,751800.0
2004-03-19,buy,6828.0,1,,
2004-04-22,settlement,6718.0,1,-23200.0,775000.0
2004-04-23,buy,6775.0,1,,
2004-05-18,sell,5429.0,1,-270400.0,1045400.0
2004-05-19,buy,5592.0,1,,
2004-05-20,settlement,5685.0,1,17400.0,1028000.0
2004-05-24,buy,5878.0,1,,
2004-06-08,sell,5950.0,1,13200.0,1014800.0
2004-06-09,buy,5959.0,1,,
2004-06-17,settlement,5607.0,1,-71600.0,1086400.0
2004-06-18,buy,5572.0,1,,
2004-07-09,sell,5641.0,1,12600.0,1073800.0
2004-07-12,buy,5733.0,1,,
2004-07-21,sell,5357.0,1,-76400.0,1150200.0
2004-07-22,buy,5249.0,1,,
2004-07-22,settlement,5291.0,1,7200.0,1143000.0
2004-07-26,buy,5230.0,1,,
2004-08-19,settlement,5528.0,1,58400.0,1084600.0
2004-08-20,buy,5542.0,1,,
2004-09-16,sell,5850.0,1,60400.0,1024200.0
2004-09-17,buy,5860.0,1,,
2004-10-21,settlement,5779.0,1,-17400.0,1041600.0
2004-10-22,buy,5820.0,1,,
2004-11-18,settlement,6072.0,1,49200.0,992400.0
2004-11-19,buy,6086.0,1,,
2004-12-16,settlement,6020.0,1,-14400.0,1006800.0
2004-12-17,buy,6011.0,1,,
2005-01-20,sell,5869.0,1,-29600.0,1036400.0
2005-01-21,buy,5871.0,1,,
2005-02-17,settlement,6078.0,1,40200.0,996200.0
2005-02-18,buy,6072.0,1,,
2005-03-17,settlement,6015.0,1,-12600.0,1008800.0
2005-03-18,buy,6030.0,1,,
2005-04-21,sell,5620.0,1,-83200.0,1092000.0
2005-04-22,buy,5748.0,1,,
2005-05-18,sell,5909.0,1,31000.0,1061000.0
2005-05-19,buy,5941.0,1,,
2005-05-19,settlement,5947.0,1,0.0,1061000.0
2005-05-20,buy,5954.0,1,,
2005-06-16,settlement,6180.0,1,44000.0,1017000.0
2005-06-20,buy,6190.0,1,,
2005-07-21,settlement,6365.0,1,33800.0,983200.0
2005-07-22,buy,6354.0,1,,
2005-08-15,sell,6337.0,1,-4600.0,987800.0
2005-08-16,buy,6245.0,1,,
2005-08-18,settlement,6190.0,1,-12200.0,1000000.0
2005-08-19,buy,6179.0,1,,
2005-09-22,settlement,5979.0,1,-41200.0,1041200.0
