date,equity_tmp,equity_l,equity_h,equity_dd,BnH
2000-01-04,1000000,1000000,1000000,,1031000.0
2000-01-05,1000000,1000000,1000000,0.0,1024400.0
2000-01-06,1001400.0,995400.0,1032400.0,37000.0,1032400.0
2000-01-07,997200.0,973600.0,1005400.0,58800.0,1028200.0
2000-01-10,1071400.0,1007400.0,1071400.0,64000.0,1102400.0
2000-01-11,1021600.0,1017400.0,1099400.0,82000.0,1052600.0
2000-01-12,1069400.0,1021600.0,1069400.0,77800.0,1100400.0
2000-01-13,1054400.0,1044600.0,1070400.0,54800.0,1085400.0
2000-01-14,1046000.0,1026600.0,1069400.0,72800.0,1077000.0
2000-01-15,1077400.0,1050400.0,1077400.0,49000.0,1108400.0
2000-01-17,1091400.0,1071600.0,1109400.0,37800.0,1122400.0
2000-01-18,1087000.0,1072600.0,1091000.0,36800.0,1118000.0
2000-01-19,1068400.0,1066600.0,1091200.0,42800.0,1099400.0
2000-01-20,1085200.0,1066000.0,1085200.0,43400.0,1116200.0
2000-01-21,1104000.0,1083000.0,1113800.0,30800.0,1132400.0
2000-01-24,1133600.0,1108000.0,1133600.0,25600.0,1162000.0
2000-01-25,1124400.0,1108000.0,1124400.0,25600.0,1152800.0
2000-01-26,1178400.0,1138000.0,1186000.0,48000.0,1206800.0
2000-01-27,1180000.0,1172000.0,1196000.0,24000.0,1208400.0
2000-01-28,1194000.0,1165400.0,1194000.0,30600.0,1222400.0
2000-01-29,1185800.0,1171000.0,1185800.0,25000.0,1214200.0
2000-01-31,1207400.0,1176000.0,1208000.0,32000.0,1235800.0
2000-02-01,1240000.0,1220000.0,1240000.0,20000.0,1268400.0
2000-02-09,1263800.0,1250200.0,1273800.0,23600.0,1292200.0
2000-02-10,1263000.0,1253800.0,1273000.0,20000.0,1291400.0
2000-02-11,1267400.0,1266000.0,1291400.0,25400.0,1295800.0
2000-02-14,1230000.0,1226400.0,1265600.0,65000.0,1258400.0
2000-02-15,1231600.0,1210200.0,1235000.0,81200.0,1260000.0
2000-02-16,1252000.0,1233800.0,1252000.0,57600.0,1280400.0
2000-02-17,1292600.0,1258400.0,1299600.0,41200.0,1321000.0
2000-02-18,1248800.0,1243000.0,1304400.0,61400.0,1294400.0
2000-02-19,1274000.0,1235400.0,1278600.0,69000.0,1319600.0
2000-02-21,1220800.0,1216800.0,1270800.0,87600.0,1266400.0
2000-02-22,1191800.0,1171000.0,1220800.0,133400.0,1237400.0
2000-02-23,1157000.0,1157000.0,1194800.0,147400.0,1202600.0
2000-02-24,1164800.0,1150800.0,1185800.0,153600.0,1210400.0
2000-02-25,1137200.0,1126800.0,1167400.0,177600.0,1182800.0
2000-02-29,1142800.0,1132800.0,1160800.0,171600.0,1188400.0
2000-03-01,1185800.0,1157000.0,1185800.0,147400.0,1231400.0
2000-03-02,1155400.0,1149800.0,1185800.0,154600.0,1201000.0
2000-03-03,1168800.0,1151000.0,1169800.0,153400.0,1214400.0
2000-03-04,1151800.0,1150800.0,1185600.0,153600.0,1197400.0
2000-03-06,1121800.0,1121200.0,1145800.0,183200.0,1167400.0
2000-03-07,1129800.0,1102000.0,1133800.0,202400.0,1175400.0
2000-03-08,1120800.0,1116800.0,1141800.0,187600.0,1166400.0
2000-03-09,1154200.0,1131800.0,1155600.0,172600.0,1199800.0
2000-03-10,1120800.0,1119800.0,1164800.0,184600.0,1166400.0
2000-03-13,987600.0,987600.0,1102800.0,316800.0,1033200.0
2000-03-14,986400.0,922600.0,995000.0,381800.0,1032000.0
2000-03-15,934800.0,934800.0,996400.0,369600.0,980400.0
2000-03-16,949600.0,892800.0,962800.0,411600.0,995200.0
2000-03-17,949000.0,949000.0,949000.0,355400.0,975200.0
2000-03-20,949000.0,949000.0,949000.0,355400.0,915400.0
2000-03-21,1065200.0,948400.0,1065200.0,356000.0,1031000.0
2000-03-22,1095800.0,1095800.0,1095800.0,208600.0,1077400.0
2000-03-23,1095800.0,1095800.0,1095800.0,208600.0,1189600.0
2000-03-24,1095800.0,1095800.0,1095800.0,208600.0,1171400.0
2000-03-27,1158200.0,1095200.0,1170600.0,209200.0,1229400.0
2000-03-28,1164400.0,1141400.0,1180200.0,163000.0,1235600.0
2000-03-29,1160800.0,1143200.0,1173200.0,161200.0,1232000.0
2000-03-30,1187800.0,1153200.0,1217200.0,151200.0,1259000.0
2000-03-31,1174200.0,1158400.0,1187800.0,146000.0,1245400.0
2000-04-01,1221000.0,1160200.0,1221000.0,144200.0,1292200.0
2000-04-05,1261600.0,1201200.0,1269200.0,103200.0,1332800.0
2000-04-06,1193200.0,1184400.0,1268600.0,120000.0,1264400.0
2000-04-07,1207000.0,1181200.0,1217200.0,123200.0,1278200.0
2000-04-08,1200000.0,1186200.0,1216400.0,118200.0,1271200.0
2000-04-10,1243600.0,1177200.0,1245200.0,127200.0,1314800.0
2000-04-11,1227400.0,1215600.0,1243200.0,88800.0,1298600.0
2000-04-12,1181200.0,1179600.0,1226200.0,124800.0,1252400.0
2000-04-13,1135200.0,1101600.0,1150800.0,202800.0,1206400.0
2000-04-14,1054800.0,1053400.0,1129200.0,251000.0,1126000.0
2000-04-15,931200.0,924400.0,987200.0,380000.0,1002400.0
2000-04-17,991800.0,931400.0,991800.0,373000.0,1063000.0
2000-04-18,1051600.0,1025600.0,1073200.0,278800.0,1122800.0
2000-04-19,1009200.0,1009200.0,1091000.0,295200.0,1080400.0
2000-04-20,1033000.0,961600.0,1033000.0,342800.0,1104200.0
2000-04-21,1023200.0,1008800.0,1051800.0,295600.0,1088800.0
2000-04-24,960000.0,960000.0,1022600.0,344400.0,1025600.0
2000-04-25,996800.0,942200.0,1002800.0,362200.0,1062400.0
2000-04-26,892800.0,890400.0,1006800.0,414000.0,958400.0
2000-04-27,922600.0,898800.0,936400.0,405600.0,988200.0
2000-04-28,966800.0,906800.0,980800.0,397600.0,1032400.0
2000-04-29,962400.0,940800.0,972400.0,363600.0,1028000.0
2000-05-02,933600.0,929000.0,977800.0,375400.0,999200.0
2000-05-03,900400.0,888000.0,919200.0,416400.0,966000.0
2000-05-04,898600.0,873200.0,942800.0,431200.0,964200.0
2000-05-05,956800.0,876800.0,959800.0,427600.0,1022400.0
2000-05-06,948800.0,935000.0,960800.0,369400.0,1014400.0
2000-05-08,938800.0,917400.0,952800.0,387000.0,1004400.0
2000-05-09,948400.0,920600.0,949600.0,383800.0,1014000.0
2000-05-10,917000.0,917000.0,960600.0,387400.0,982600.0
2000-05-11,886200.0,870800.0,894800.0,433600.0,951800.0
2000-05-12,916800.0,898800.0,927200.0,405600.0,982400.0
2000-05-15,900800.0,896800.0,922800.0,407600.0,966400.0
2000-05-16,951800.0,905800.0,951800.0,398600.0,1017400.0
2000-05-17,1014800.0,966800.0,1014800.0,337600.0,1080400.0
2000-05-18,1017800.0,996600.0,1022800.0,307800.0,1083400.0
2000-05-19,1053600.0,1013600.0,1054600.0,290800.0,1109400.0
2000-05-20,975000.0,956800.0,1052600.0,347600.0,1030800.0
2000-05-22,972200.0,969600.0,997600.0,334800.0,1028000.0
2000-05-23,956200.0,939800.0,983800.0,364600.0,1012000.0
2000-05-24,922000.0,913200.0,930600.0,391200.0,977800.0
2000-05-25,919600.0,912600.0,950600.0,391800.0,975400.0
2000-05-26,932200.0,901600.0,942600.0,402800.0,988000.0
2000-05-29,933800.0,926800.0,947600.0,377600.0,989600.0
2000-05-30,969600.0,940000.0,970200.0,364400.0,1025400.0
2000-05-31,1000600.0,990600.0,1004600.0,313800.0,1056400.0
2000-06-01,989600.0,980200.0,996400.0,324200.0,1045400.0
2000-06-02,990600.0,990600.0,1016600.0,313800.0,1046400.0
2000-06-03,1013200.0,1000800.0,1019000.0,303600.0,1069000.0
2000-06-05,1014800.0,998800.0,1016600.0,305600.0,1070600.0
2000-06-07,1041600.0,1002800.0,1045600.0,301600.0,1097400.0
2000-06-08,1029400.0,1024200.0,1046600.0,280200.0,1085200.0
2000-06-09,1024200.0,1014200.0,1033600.0,290200.0,1080000.0
2000-06-12,1008200.0,1004600.0,1031600.0,299800.0,1064000.0
2000-06-13,984400.0,984400.0,1002600.0,320000.0,1040200.0
2000-06-14,999600.0,989600.0,1004400.0,314800.0,1055400.0
2000-06-15,982600.0,978400.0,994600.0,326000.0,1038400.0
2000-06-16,987400.0,970800.0,988400.0,333600.0,1043200.0
2000-06-17,976400.0,973800.0,989400.0,330600.0,1032200.0
2000-06-19,969400.0,943200.0,978600.0,361200.0,1025200.0
2000-06-20,946600.0,946600.0,984400.0,357800.0,1002400.0
2000-06-21,940600.0,934600.0,961800.0,369800.0,996400.0
2000-06-22,990600.0,949000.0,992400.0,355400.0,1046400.0
2000-06-23,978400.0,976400.0,994400.0,328000.0,1026400.0
