date,equity_tmp,equity_l,equity_h,equity_dd,BnH
2000-01-04,1000000,1000000,1000000,,1031000.0
2000-01-05,1017800.0,990000.0,1029800.0,39800.0,1024400.0
2000-01-06,1023200.0,1023200.0,1023200.0,6600.0,1032400.0
2000-01-07,1023200.0,1023200.0,1023200.0,6600.0,1028200.0
2000-01-10,1072800.0,1008800.0,1072800.0,64000.0,1102400.0
2000-01-11,1100200.0,1100200.0,1100200.0,0.0,1052600.0
2000-01-12,1147400.0,1099600.0,1147400.0,47800.0,1100400.0
2000-01-13,1146800.0,1146800.0,1146800.0,600.0,1085400.0
2000-01-14,1146800.0,1146800.0,1146800.0,600.0,1077000.0
2000-01-15,1157200.0,1130200.0,1157200.0,27000.0,1108400.0
2000-01-17,1156600.0,1156600.0,1156600.0,600.0,1122400.0
2000-01-18,1156600.0,1156600.0,1156600.0,600.0,1118000.0
2000-01-19,1145000.0,1143200.0,1167800.0,24600.0,1099400.0
2000-01-20,1150800.0,1150800.0,1150800.0,17000.0,1116200.0
2000-01-21,1170200.0,1149200.0,1180000.0,30800.0,1132400.0
2000-01-24,1181400.0,1181400.0,1181400.0,0.0,1162000.0
2000-01-25,1185000.0,1168600.0,1185000.0,16400.0,1152800.0
2000-01-26,1239000.0,1198600.0,1246600.0,48000.0,1206800.0
2000-01-27,1240600.0,1232600.0,1256600.0,24000.0,1208400.0
2000-01-28,1226000.0,1226000.0,1226000.0,30600.0,1222400.0
2000-01-29,1226000.0,1226000.0,1226000.0,30600.0,1214200.0
2000-01-31,1251600.0,1220200.0,1252200.0,36400.0,1235800.0
2000-02-01,1267400.0,1267400.0,1267400.0,0.0,1268400.0
2000-02-09,1262000.0,1248400.0,1272000.0,23600.0,1292200.0
2000-02-10,1259600.0,1259600.0,1259600.0,12400.0,1291400.0
2000-02-11,1255400.0,1254000.0,1279400.0,25400.0,1295800.0
2000-02-14,1241400.0,1241400.0,1241400.0,38000.0,1258400.0
2000-02-15,1258200.0,1236800.0,1261600.0,42600.0,1260000.0
2000-02-16,1259800.0,1259800.0,1259800.0,19600.0,1280400.0
2000-02-17,1259800.0,1259800.0,1259800.0,19600.0,1321000.0
2000-02-18,1259800.0,1259800.0,1259800.0,19600.0,1294400.0
2000-02-19,1295800.0,1257200.0,1300400.0,43200.0,1319600.0
2000-02-21,1281800.0,1281800.0,1281800.0,18600.0,1266400.0
2000-02-22,1264000.0,1243200.0,1293000.0,57200.0,1237400.0
2000-02-23,1229200.0,1229200.0,1267000.0,71200.0,1202600.0
2000-02-24,1244400.0,1244400.0,1244400.0,56000.0,1210400.0
2000-02-25,1214200.0,1203800.0,1244400.0,96600.0,1182800.0
2000-02-29,1223600.0,1223600.0,1223600.0,76800.0,1188400.0
2000-03-01,1223600.0,1223600.0,1223600.0,76800.0,1231400.0
2000-03-02,1193800.0,1188200.0,1224200.0,112200.0,1201000.0
2000-03-03,1194600.0,1194600.0,1194600.0,105800.0,1214400.0
2000-03-04,1194600.0,1194600.0,1194600.0,105800.0,1197400.0
2000-03-06,1173000.0,1172400.0,1197000.0,128000.0,1167400.0
2000-03-07,1163400.0,1163400.0,1163400.0,137000.0,1175400.0
2000-03-08,1160800.0,1156800.0,1181800.0,143600.0,1166400.0
2000-03-09,1171200.0,1171200.0,1171200.0,129200.0,1199800.0
2000-03-10,1132600.0,1131600.0,1176600.0,168800.0,1166400.0
2000-03-13,1114000.0,1114000.0,1114000.0,186400.0,1033200.0
2000-03-14,1173000.0,1109200.0,1181600.0,191200.0,1032000.0
2000-03-15,1149800.0,1149800.0,1149800.0,150600.0,980400.0
2000-03-16,1149800.0,1149800.0,1149800.0,150600.0,995200.0
2000-03-17,1121800.0,1119400.0,1154200.0,181000.0,975200.0
2000-03-20,1062000.0,1062000.0,1062000.0,238400.0,915400.0
2000-03-21,1177600.0,1060800.0,1177600.0,239600.0,1031000.0
2000-03-22,1224000.0,1177000.0,1248600.0,123400.0,1077400.0
2000-03-23,1336200.0,1246200.0,1347800.0,101600.0,1189600.0
2000-03-24,1330400.0,1330400.0,1330400.0,17400.0,1171400.0
2000-03-27,1392800.0,1329800.0,1405200.0,75400.0,1229400.0
2000-03-28,1385400.0,1385400.0,1385400.0,19800.0,1235600.0
2000-03-29,1385400.0,1385400.0,1385400.0,19800.0,1232000.0
2000-03-30,1385400.0,1385400.0,1385400.0,19800.0,1259000.0
2000-03-31,1391800.0,1376000.0,1405400.0,29400.0,1245400.0
2000-04-01,1388200.0,1388200.0,1388200.0,17200.0,1292200.0
2000-04-05,1416200.0,1355800.0,1423800.0,68000.0,1332800.0
2000-04-06,1347800.0,1339000.0,1423200.0,84800.0,1264400.0
2000-04-07,1361600.0,1335800.0,1371800.0,88000.0,1278200.0
2000-04-08,1361000.0,1361000.0,1361000.0,62800.0,1271200.0
2000-04-10,1361000.0,1361000.0,1361000.0,62800.0,1314800.0
2000-04-11,1356400.0,1344600.0,1372200.0,79200.0,1298600.0
2000-04-12,1345600.0,1345600.0,1345600.0,78200.0,1252400.0
2000-04-13,1339000.0,1305400.0,1354600.0,118400.0,1206400.0
2000-04-14,1258600.0,1257200.0,1333000.0,166600.0,1126000.0
2000-04-15,1147600.0,1147600.0,1147600.0,276200.0,1002400.0
2000-04-17,1205600.0,1145200.0,1205600.0,278600.0,1063000.0
2000-04-18,1254400.0,1254400.0,1254400.0,169400.0,1122800.0
2000-04-19,1254400.0,1254400.0,1254400.0,169400.0,1080400.0
2000-04-20,1285200.0,1213800.0,1285200.0,210000.0,1104200.0
2000-04-21,1284600.0,1284600.0,1284600.0,139200.0,1088800.0
2000-04-24,1284600.0,1284600.0,1284600.0,139200.0,1025600.0
2000-04-25,1327200.0,1272600.0,1333200.0,151200.0,1062400.0
2000-04-26,1223200.0,1220800.0,1337200.0,203000.0,958400.0
2000-04-27,1253000.0,1229200.0,1266800.0,194600.0,988200.0
2000-04-28,1256600.0,1256600.0,1256600.0,167200.0,1032400.0
2000-04-29,1257600.0,1236000.0,1267600.0,187800.0,1028000.0
2000-05-02,1269400.0,1269400.0,1269400.0,154400.0,999200.0
2000-05-03,1269400.0,1269400.0,1269400.0,154400.0,966000.0
2000-05-04,1252600.0,1227200.0,1296800.0,196600.0,964200.0
2000-05-05,1236200.0,1236200.0,1236200.0,187600.0,1022400.0
2000-05-06,1236200.0,1236200.0,1236200.0,187600.0,1014400.0
2000-05-08,1236200.0,1236200.0,1236200.0,187600.0,1004400.0
2000-05-09,1236200.0,1236200.0,1236200.0,187600.0,1014000.0
2000-05-10,1236200.0,1236200.0,1236200.0,187600.0,982600.0
2000-05-11,1235000.0,1219600.0,1243600.0,204200.0,951800.0
2000-05-12,1251000.0,1251000.0,1251000.0,172800.0,982400.0
2000-05-15,1251000.0,1251000.0,1251000.0,172800.0,966400.0
2000-05-16,1251000.0,1251000.0,1251000.0,172800.0,1017400.0
2000-05-17,1251000.0,1251000.0,1251000.0,172800.0,1080400.0
2000-05-18,1251000.0,1251000.0,1251000.0,172800.0,1083400.0
2000-05-19,1287400.0,1247400.0,1288400.0,176400.0,1109400.0
2000-05-20,1275800.0,1275800.0,1275800.0,148000.0,1030800.0
2000-05-22,1262800.0,1260200.0,1288200.0,163600.0,1028000.0
2000-05-23,1273800.0,1273800.0,1273800.0,150000.0,1012000.0
2000-05-24,1278600.0,1269800.0,1287200.0,154000.0,977800.0
2000-05-25,1302600.0,1302600.0,1302600.0,121200.0,975400.0
2000-05-26,1327600.0,1297000.0,1338000.0,126800.0,988000.0
2000-05-29,1327000.0,1327000.0,1327000.0,96800.0,989600.0
2000-05-30,1327000.0,1327000.0,1327000.0,96800.0,1025400.0
2000-05-31,1326400.0,1316400.0,1330400.0,107400.0,1056400.0
2000-06-01,1315400.0,1306000.0,1322200.0,117800.0,1045400.0
2000-06-02,1331800.0,1331800.0,1331800.0,92000.0,1046400.0
2000-06-03,1328200.0,1315800.0,1334000.0,108000.0,1069000.0
2000-06-05,1320800.0,1320800.0,1320800.0,103000.0,1070600.0
2000-06-07,1355000.0,1316200.0,1359000.0,107600.0,1097400.0
2000-06-08,1342800.0,1337600.0,1360000.0,86200.0,1085200.0
2000-06-09,1342200.0,1342200.0,1342200.0,81600.0,1080000.0
2000-06-12,1342200.0,1342200.0,1342200.0,81600.0,1064000.0
2000-06-13,1342200.0,1342200.0,1342200.0,81600.0,1040200.0
2000-06-14,1344800.0,1334800.0,1349600.0,89000.0,1055400.0
2000-06-15,1338800.0,1338800.0,1338800.0,85000.0,1038400.0
2000-06-16,1338800.0,1338800.0,1338800.0,85000.0,1043200.0
2000-06-17,1338800.0,1338800.0,1338800.0,85000.0,1032200.0
2000-06-19,1338800.0,1338800.0,1338800.0,85000.0,1025200.0
2000-06-20,1304200.0,1304200.0,1342000.0,119600.0,1002400.0
2000-06-21,1308200.0,1308200.0,1308200.0,115600.0,996400.0
2000-06-22,1343800.0,1302200.0,1345600.0,121600.0,1046400.0
2000-06-23,1343200.0,1343200.0,1343200.0,80600.0,1026400.0
2000-06-26,1343200.0,1343200.0,1343200.0,80600.0,994400.0
2000-06-27,1320400.0,1317400.0,1343400.0,106400.0,981400.0
2000-06-28,1316000.0,1316000.0,1316000.0,107800.0,970200.0
2000-06-29,1247600.0,1247200.0,1317400.0,176600.0,900400.0
2000-06-30,1259600.0,1229800.0,1281600.0,194000.0,912400.0
2000-07-03,1263400.0,1263400.0,1263400.0,160400.0,922400.0
2000-07-04,1263400.0,1263400.0,1263400.0,160400.0,875600.0
2000-07-05,1320200.0,1248400.0,1331400.0,175400.0,940200.0
2000-07-06,1303800.0,1303800.0,1303800.0,120000.0,916400.0
2000-07-07,1303800.0,1303800.0,1303800.0,120000.0,898600.0
2000-07-10,1292600.0,1266800.0,1304000.0,157000.0,897000.0
2000-07-11,1287400.0,1287400.0,1287400.0,136400.0,900400.0
2000-07-12,1271000.0,1261400.0,1290600.0,162400.0,886400.0
2000-07-13,1284400.0,1284400.0,1284400.0,139400.0,926000.0
2000-07-14,1313800.0,1278200.0,1320400.0,145600.0,958200.0
2000-07-15,1318200.0,1318200.0,1318200.0,105600.0,960400.0
2000-07-17,1311800.0,1306400.0,1323800.0,117400.0,968400.0
2000-07-18,1303600.0,1303600.0,1303600.0,120200.0,934400.0
2000-07-19,1303600.0,1303600.0,1303600.0,120200.0,947400.0
2000-07-20,1303600.0,1303600.0,1303600.0,120200.0,913400.0
2000-07-21,1303600.0,1303600.0,1303600.0,120200.0,914400.0
2000-07-24,1291400.0,1291400.0,1306200.0,132400.0,894000.0
2000-07-25,1279600.0,1279600.0,1279600.0,144200.0,848400.0
2000-07-26,1282600.0,1269200.0,1308800.0,154600.0,861800.0
2000-07-27,1270600.0,1270600.0,1270600.0,153200.0,862000.0
2000-07-28,1315600.0,1270000.0,1325000.0,153800.0,892000.0
2000-07-29,1306600.0,1296200.0,1317800.0,127600.0,883000.0
2000-07-31,1309200.0,1309200.0,1309200.0,114600.0,876800.0
2000-08-01,1309200.0,1309200.0,1309200.0,114600.0,860800.0
2000-08-02,1305200.0,1297600.0,1317600.0,126200.0,859000.0
2000-08-03,1298000.0,1298000.0,1298000.0,125800.0,845400.0
2000-08-04,1295800.0,1288000.0,1311600.0,135800.0,856400.0
2000-08-05,1291600.0,1291600.0,1291600.0,132200.0,838200.0
2000-08-07,1291600.0,1291600.0,1291600.0,132200.0,823400.0
2000-08-08,1295400.0,1273000.0,1297800.0,150800.0,833800.0
2000-08-09,1342000.0,1300000.0,1342000.0,123800.0,880400.0
2000-08-10,1333800.0,1333800.0,1333800.0,90000.0,875800.0
