date,action,price,contracts,profit,drawdown
2000-01-05,buy,8718.0,1,,
2000-01-06,sell,8840.0,1,23200.0,5400.0
2000-01-10,buy,8949.0,1,,
2000-01-11,sell,9340.0,1,77000.0,-28600.0
2000-01-12,buy,8951.0,1,,
2000-01-13,sell,9190.0,1,46600.0,-600.0
2000-01-15,buy,9175.0,1,,
2000-01-17,sell,9230.0,1,9800.0,-600.0
2000-01-19,buy,9240.0,1,,
2000-01-20,settlement,9269.0,1,4600.0,5400.0
2000-01-24,buy,9409.0,1,,
2000-01-25,sell,9431.0,1,3200.0,12800.0
2000-01-26,buy,9520.0,1,,
2000-01-28,sell,9660.0,1,26800.0,29400.0
2000-01-31,buy,9736.0,1,,
2000-02-01,sell,9949.0,1,41400.0,-12000.0
2000-02-09,buy,10173.0,1,,
2000-02-10,sell,10140.0,1,-7800.0,11200.0
2000-02-14,buy,10100.0,1,,
2000-02-15,sell,9901.0,1,-41000.0,52200.0
2000-02-19,buy,10103.0,1,,
2000-02-21,sell,10219.0,1,22000.0,30200.0
2000-02-22,buy,9961.0,1,,
2000-02-24,sell,9780.0,1,-37400.0,67600.0
2000-02-25,buy,9750.0,1,,
2000-02-29,sell,9652.0,1,-20800.0,88400.0
2000-03-02,buy,9839.0,1,,
2000-03-03,sell,9700.0,1,-29000.0,117400.0
2000-03-06,buy,9630.0,1,,
2000-03-07,sell,9480.0,1,-31200.0,148600.0
2000-03-10,buy,9710.0,1,,
2000-03-13,sell,9430.0,1,-57200.0,205800.0
2000-03-14,buy,8550.0,1,,
2000-03-15,sell,8735.0,1,35800.0,170000.0
2000-03-17,buy,8701.0,1,,
2000-03-24,sell,9610.0,1,180600.0,16200.0
2000-03-27,buy,9520.0,1,,
2000-03-28,sell,9801.0,1,55000.0,18600.0
2000-03-31,buy,9880.0,1,,
2000-04-01,sell,9900.0,1,2800.0,16000.0
2000-04-05,buy,10209.0,1,,
2000-04-08,sell,10079.0,1,-27200.0,61600.0
2000-04-11,buy,10201.0,1,,
2000-04-12,sell,10130.0,1,-15400.0,77000.0
2000-04-13,buy,9750.0,1,,
2000-04-15,sell,8766.0,1,-198000.0,275000.0
2000-04-17,buy,8710.0,1,,
2000-04-18,sell,9250.0,1,106800.0,168200.0
2000-04-20,buy,9052.0,1,,
2000-04-20,settlement,9209.0,1,30200.0,138000.0
2000-04-25,buy,8784.0,1,,
2000-04-28,sell,8650.0,1,-28000.0,166000.0
2000-04-29,buy,8820.0,1,,
2000-05-02,sell,8890.0,1,12800.0,153200.0
2000-05-03,buy,8612.0,1,,
2000-05-05,sell,8430.0,1,-37600.0,190800.0
2000-05-11,buy,8450.0,1,,
2000-05-12,sell,8530.0,1,14800.0,176000.0
2000-05-22,buy,8890.0,1,,
2000-05-23,sell,8886.0,1,-2000.0,178000.0
2000-05-24,buy,8550.0,1,,
2000-05-25,sell,8700.0,1,28800.0,149200.0
2000-05-26,buy,8500.0,1,,
2000-05-29,sell,8628.0,1,24400.0,124800.0
2000-05-31,buy,8970.0,1,,
2000-06-02,sell,9000.0,1,4800.0,120000.0
2000-06-03,buy,9048.0,1,,
2000-06-05,sell,8999.0,1,-11000.0,131000.0
2000-06-08,buy,9175.0,1,,
2000-06-09,sell,9114.0,1,-13400.0,144400.0
2000-06-14,buy,8949.0,1,,
2000-06-15,sell,8938.0,1,-3400.0,147800.0
2000-06-17,buy,8868.0,1,,
2000-06-19,sell,8849.0,1,-5000.0,152800.0
2000-06-20,buy,8870.0,1,,
2000-06-21,sell,8723.0,1,-30600.0,183400.0
2000-06-22,buy,8739.0,1,,
2000-06-22,settlement,8920.0,1,35000.0,148400.0
2000-06-27,buy,8706.0,1,,
2000-06-28,sell,8576.0,1,-27200.0,175600.0
2000-06-29,buy,8529.0,1,,
2000-07-03,sell,8272.0,1,-52600.0,228200.0
2000-07-04,buy,8300.0,1,,
2000-07-05,sell,8102.0,1,-40800.0,269000.0
2000-07-06,buy,8310.0,1,,
2000-07-07,sell,8316.0,1,0.0,269000.0
2000-07-10,buy,8226.0,1,,
2000-07-11,sell,8150.0,1,-16400.0,285400.0
2000-07-12,buy,8199.0,1,,
2000-07-13,sell,8190.0,1,-3000.0,288400.0
2000-07-14,buy,8329.0,1,,
2000-07-15,sell,8504.0,1,33800.0,254600.0
2000-07-17,buy,8559.0,1,,
2000-07-18,sell,8492.0,1,-14600.0,269200.0
2000-07-24,buy,8216.0,1,,
2000-07-25,sell,8102.0,1,-24000.0,293200.0
2000-07-26,buy,7979.0,1,,
2000-07-27,sell,7940.0,1,-9000.0,302200.0
2000-07-28,buy,7920.0,1,,
2000-07-29,sell,8110.0,1,36800.0,265400.0
2000-08-02,buy,8000.0,1,,
2000-08-03,sell,7950.0,1,-11200.0,276600.0
2000-08-04,buy,7978.0,1,,
2000-08-05,sell,7952.0,1,-6400.0,283000.0
2000-08-08,buy,7835.0,1,,
2000-08-09,sell,7890.0,1,9800.0,273200.0
2000-08-10,buy,8052.0,1,,
2000-08-11,sell,8044.0,1,-2800.0,276000.0
2000-08-24,buy,8219.0,1,,
2000-08-25,sell,8220.0,1,-1000.0,277000.0
2000-08-28,buy,8051.0,1,,
2000-08-29,sell,7886.0,1,-34200.0,311200.0
2000-08-30,buy,7878.0,1,,
2000-09-01,sell,7649.0,1,-47000.0,358200.0
2000-09-02,buy,7580.0,1,,
2000-09-04,sell,7770.0,1,36800.0,321400.0
2000-09-05,buy,7775.0,1,,
2000-09-06,sell,7708.0,1,-14600.0,336000.0
2000-09-07,buy,7550.0,1,,
2000-09-08,sell,7535.0,1,-4200.0,340200.0
2000-09-14,buy,7430.0,1,,
2000-09-15,sell,7181.0,1,-51000.0,391200.0
2000-09-16,buy,7130.0,1,,
2000-09-18,sell,7040.0,1,-19200.0,410400.0
2000-09-20,buy,6879.0,1,,
2000-09-21,sell,6953.0,1,13600.0,396800.0
2000-09-25,buy,6650.0,1,,
2000-09-26,sell,6606.0,1,-10000.0,406800.0
2000-09-27,buy,6780.0,1,,
2000-09-28,sell,6850.0,1,12800.0,394000.0
2000-09-30,buy,6385.0,1,,
2000-10-03,sell,6149.0,1,-48400.0,442400.0
2000-10-04,buy,6043.0,1,,
2000-10-05,sell,6050.0,1,200.0,442200.0
2000-10-13,buy,5355.0,1,,
2000-10-16,sell,6163.0,1,160400.0,281800.0
2000-10-17,buy,5510.0,1,,
2000-10-18,sell,5647.0,1,26200.0,255600.0
2000-10-19,buy,5419.0,1,,
2000-10-19,settlement,5199.0,1,-45200.0,300800.0
2000-10-20,buy,5500.0,1,,
2000-10-21,sell,5600.0,1,18800.0,282000.0
2000-10-23,buy,5631.0,1,,
2000-10-24,sell,5670.0,1,6600.0,275400.0
2000-10-25,buy,5840.0,1,,
2000-10-26,sell,5861.0,1,3000.0,272400.0
2000-10-30,buy,5501.0,1,,
2000-10-31,sell,5600.0,1,18600.0,253800.0
2000-11-01,buy,5645.0,1,,
2000-11-02,sell,5475.0,1,-35200.0,289000.0
2000-11-07,buy,5794.0,1,,
2000-11-09,sell,6060.0,1,52000.0,237000.0
2000-11-16,buy,5573.0,1,,
2000-11-16,settlement,5374.0,1,-41000.0,278000.0
