date,action,price,contracts,profit,drawdown
2000-01-10,buy,8949.0,1,,
2000-01-11,sell,9340.0,1,77000.0,-28600.0
2000-01-20,buy,9217.0,1,,
2000-01-20,settlement,9269.0,1,9200.0,-600.0
2000-01-21,buy,9250.0,1,,
2000-01-25,sell,9431.0,1,35000.0,12800.0
2000-01-29,buy,9700.0,1,,
2000-02-10,sell,10140.0,1,86800.0,11200.0
2000-03-03,buy,9700.0,1,,
2000-03-16,settlement,8664.0,1,-208400.0,235400.0
2000-03-23,buy,9208.0,1,,
2000-03-27,sell,9520.0,1,61200.0,174200.0
2000-04-01,buy,9900.0,1,,
2000-04-05,sell,10209.0,1,60600.0,113600.0
2000-04-06,buy,10380.0,1,,
2000-04-07,sell,10070.0,1,-63200.0,176800.0
2000-04-10,buy,10030.0,1,,
2000-04-11,sell,10201.0,1,33000.0,143800.0
2000-04-14,buy,9535.0,1,,
2000-04-20,settlement,9209.0,1,-66400.0,210200.0
2000-04-21,buy,9175.0,1,,
2000-04-26,sell,9050.0,1,-26200.0,236400.0
2000-04-27,buy,8578.0,1,,
2000-04-28,sell,8650.0,1,13200.0,223200.0
2000-05-02,buy,8890.0,1,,
2000-05-04,sell,8590.0,1,-61200.0,284400.0
2000-06-02,buy,9000.0,1,,
2000-06-05,sell,8999.0,1,-1400.0,285800.0
2000-06-07,buy,9001.0,1,,
2000-06-17,sell,8868.0,1,-27800.0,313600.0
2000-06-20,buy,8870.0,1,,
2000-06-22,settlement,8920.0,1,8800.0,304800.0
2000-06-23,buy,8875.0,1,,
2000-06-29,sell,8529.0,1,-70400.0,375200.0
2000-07-03,buy,8272.0,1,,
2000-07-11,sell,8150.0,1,-25600.0,400800.0
2000-07-12,buy,8199.0,1,,
2000-07-13,sell,8190.0,1,-3000.0,403800.0
2000-07-17,buy,8559.0,1,,
2000-07-20,settlement,8255.0,1,-62000.0,465800.0
2000-07-25,buy,8102.0,1,,
2000-07-28,sell,7920.0,1,-37600.0,503400.0
2000-08-03,buy,7950.0,1,,
2000-08-04,sell,7978.0,1,4400.0,499000.0
2000-08-09,buy,7890.0,1,,
2000-08-10,sell,8052.0,1,31200.0,467800.0
2000-08-31,buy,7511.0,1,,
2000-09-04,sell,7770.0,1,50600.0,417200.0
2000-09-05,buy,7775.0,1,,
2000-09-06,sell,7708.0,1,-14600.0,431800.0
2000-09-13,buy,7380.0,1,,
2000-09-14,sell,7430.0,1,8800.0,423000.0
2000-09-20,buy,6879.0,1,,
2000-09-21,settlement,6951.0,1,13200.0,409800.0
2000-09-25,buy,6650.0,1,,
2000-09-27,sell,6780.0,1,24800.0,385000.0
2000-09-30,buy,6385.0,1,,
2000-10-03,sell,6149.0,1,-48400.0,433400.0
2000-10-13,buy,5355.0,1,,
2000-10-19,settlement,5199.0,1,-32400.0,465800.0
2000-10-20,buy,5500.0,1,,
2000-10-21,sell,5600.0,1,18800.0,447000.0
2000-10-27,buy,5960.0,1,,
2000-11-03,sell,5800.0,1,-33200.0,480200.0
2000-11-17,buy,5290.0,1,,
2000-11-24,sell,5252.0,1,-8800.0,489000.0
2000-11-28,buy,5399.0,1,,
2000-11-30,sell,5338.0,1,-13400.0,502400.0
2000-12-13,buy,5380.0,1,,
2000-12-14,sell,5365.0,1,-4200.0,506600.0
2000-12-27,buy,4658.0,1,,
2000-12-29,sell,4800.0,1,27200.0,479400.0
2000-12-30,buy,4650.0,1,,
2001-01-08,sell,5290.0,1,126800.0,352600.0
2001-01-09,buy,5221.0,1,,
2001-01-15,sell,5320.0,1,18600.0,334000.0
2001-01-17,buy,5824.0,1,,
2001-01-18,sell,5830.0,1,0.0,334000.0
2001-01-29,buy,5922.0,1,,
2001-01-31,sell,5850.0,1,-15600.0,349600.0
2001-02-05,buy,5969.0,1,,
2001-02-22,settlement,5769.0,1,-41200.0,390800.0
2001-03-01,buy,5581.0,1,,
2001-03-16,sell,5750.0,1,32600.0,358200.0
2001-03-27,buy,5909.0,1,,
2001-04-12,sell,5515.0,1,-80000.0,438200.0
2001-04-13,buy,5561.0,1,,
2001-04-19,settlement,5628.0,1,12200.0,426000.0
2001-04-26,buy,5541.0,1,,
2001-04-27,sell,5519.0,1,-5600.0,431600.0
2001-04-30,buy,5425.0,1,,
2001-05-04,sell,5419.0,1,-2400.0,434000.0
2001-05-14,buy,5174.0,1,,
2001-05-15,sell,5181.0,1,200.0,433800.0
2001-05-17,buy,5150.0,1,,
2001-05-17,settlement,5150.0,1,-1200.0,435000.0
2001-05-21,buy,5089.0,1,,
2001-05-22,sell,5017.0,1,-15600.0,450600.0
2001-05-25,buy,5190.0,1,,
2001-06-06,sell,5142.0,1,-10800.0,461400.0
2001-06-07,buy,5170.0,1,,
2001-06-21,settlement,4990.0,1,-37200.0,498600.0
2001-06-28,buy,4856.0,1,,
2001-07-03,sell,4901.0,1,7800.0,490800.0
2001-07-05,buy,4749.0,1,,
2001-07-19,settlement,4175.0,1,-116000.0,606800.0
2001-07-27,buy,4271.0,1,,
2001-08-03,sell,4480.0,1,40600.0,566200.0
2001-08-08,buy,4372.0,1,,
2001-08-15,sell,4639.0,1,52200.0,514000.0
2001-08-20,buy,4550.0,1,,
2001-08-30,sell,4483.0,1,-14600.0,528600.0
2001-09-07,buy,4286.0,1,,
2001-09-20,settlement,3551.0,1,-148200.0,676800.0
2001-09-21,buy,3460.0,1,,
2001-10-11,sell,3698.0,1,46400.0,630400.0
2001-10-18,buy,3720.0,1,,
2001-10-18,settlement,3770.0,1,8800.0,621600.0
2001-10-29,buy,3983.0,1,,
2001-10-30,sell,3920.0,1,-13800.0,635400.0
2001-10-31,buy,3826.0,1,,
2001-11-02,sell,3919.0,1,17400.0,618000.0
2001-11-05,buy,3945.0,1,,
2001-11-14,sell,4128.0,1,35400.0,582600.0
2001-12-03,buy,4459.0,1,,
2001-12-07,sell,5240.0,1,155000.0,427600.0
2001-12-11,buy,5240.0,1,,
2001-12-20,settlement,5285.0,1,7800.0,419800.0
2001-12-21,buy,5231.0,1,,
2002-01-02,sell,5559.0,1,64400.0,355400.0
2002-01-08,buy,5816.0,1,,
2002-01-09,sell,5815.0,1,-1400.0,356800.0
2002-01-10,buy,5825.0,1,,
2002-01-17,settlement,5450.0,1,-76200.0,433000.0
2002-01-24,buy,5819.0,1,,
2002-01-25,sell,5850.0,1,5000.0,428000.0
2002-02-01,buy,5895.0,1,,
2002-02-04,sell,5811.0,1,-18000.0,446000.0
2002-03-08,buy,6060.0,1,,
2002-03-15,sell,6072.0,1,1200.0,444800.0
2002-03-18,buy,5930.0,1,,
2002-03-21,settlement,6049.0,1,22600.0,422200.0
2002-03-28,buy,6099.0,1,,
2002-04-01,sell,6103.0,1,-400.0,422600.0
2002-04-03,buy,6181.0,1,,
2002-04-18,sell,6360.0,1,34600.0,388000.0
2002-04-26,buy,6309.0,1,,
2002-05-09,sell,5880.0,1,-87000.0,475000.0
2002-05-10,buy,5740.0,1,,
2002-05-16,settlement,5742.0,1,-800.0,475800.0
2002-05-21,buy,5501.0,1,,
2002-05-24,sell,5525.0,1,3600.0,472200.0
2002-05-29,buy,5603.0,1,,
2002-06-19,sell,5545.0,1,-12800.0,485000.0
2002-06-25,buy,5440.0,1,,
2002-06-27,sell,5163.0,1,-56600.0,541600.0
2002-07-03,buy,4890.0,1,,
2002-07-18,settlement,5199.0,1,60600.0,481000.0
2002-07-31,buy,4976.0,1,,
2002-08-22,settlement,4946.0,1,-7200.0,488200.0
2002-08-27,buy,4939.0,1,,
2002-09-19,settlement,4441.0,1,-100800.0,589000.0
2002-09-20,buy,4305.0,1,,
2002-09-27,sell,4219.0,1,-18400.0,607400.0
2002-09-30,buy,4118.0,1,,
2002-10-17,settlement,4266.0,1,28400.0,579000.0
2002-10-18,buy,4310.0,1,,
2002-10-23,sell,4314.0,1,-400.0,579400.0
2002-10-29,buy,4510.0,1,,
2002-10-30,sell,4501.0,1,-3000.0,582400.0
2002-10-31,buy,4484.0,1,,
2002-11-04,sell,4586.0,1,19200.0,563200.0
2002-11-08,buy,4699.0,1,,
2002-11-21,settlement,4631.0,1,-14800.0,578000.0
2002-11-22,buy,4725.0,1,,
