date,equity_tmp,equity_l,equity_h,equity_dd,BnH
2000-01-04,1000000,1000000,1000000,,1031000.0
2000-01-05,1000000,1000000,1000000,0.0,1024400.0
2000-01-06,1000000,1000000,1000000,0.0,1032400.0
2000-01-07,1000000,1000000,1000000,0.0,1028200.0
2000-01-10,1000000,1000000,1000000,0.0,1102400.0
2000-01-11,1000000,1000000,1000000,0.0,1052600.0
2000-01-12,1000000,1000000,1000000,0.0,1100400.0
2000-01-13,984400.0,974600.0,1000400.0,25800.0,1085400.0
2000-01-14,976000.0,956600.0,999400.0,43800.0,1077000.0
2000-01-15,995800.0,995800.0,995800.0,4600.0,1108400.0
2000-01-17,995800.0,995800.0,995800.0,4600.0,1122400.0
2000-01-18,995800.0,995800.0,995800.0,4600.0,1118000.0
2000-01-19,995800.0,995800.0,995800.0,4600.0,1099400.0
2000-01-20,995800.0,995800.0,995800.0,4600.0,1116200.0
2000-01-21,1015200.0,994200.0,1025000.0,30800.0,1132400.0
2000-01-24,1026400.0,1026400.0,1026400.0,0.0,1162000.0
2000-01-25,1026400.0,1026400.0,1026400.0,0.0,1152800.0
2000-01-26,1066200.0,1025800.0,1073800.0,48000.0,1206800.0
2000-01-27,1067800.0,1059800.0,1083800.0,24000.0,1208400.0
2000-01-28,1081800.0,1053200.0,1081800.0,30600.0,1222400.0
2000-01-29,1073600.0,1058800.0,1073600.0,25000.0,1214200.0
2000-01-31,1095200.0,1063800.0,1095800.0,32000.0,1235800.0
2000-02-01,1127800.0,1107800.0,1127800.0,20000.0,1268400.0
2000-02-09,1155800.0,1155800.0,1155800.0,0.0,1292200.0
2000-02-10,1155800.0,1155800.0,1155800.0,0.0,1291400.0
2000-02-11,1151600.0,1150200.0,1175600.0,25400.0,1295800.0
2000-02-14,1114200.0,1110600.0,1149800.0,65000.0,1258400.0
2000-02-15,1097800.0,1097800.0,1097800.0,77800.0,1260000.0
2000-02-16,1097800.0,1097800.0,1097800.0,77800.0,1280400.0
2000-02-17,1127800.0,1093600.0,1134800.0,82000.0,1321000.0
2000-02-18,1084000.0,1078200.0,1139600.0,97400.0,1294400.0
2000-02-19,1072000.0,1072000.0,1072000.0,103600.0,1319600.0
2000-02-21,1072000.0,1072000.0,1072000.0,103600.0,1266400.0
2000-02-22,1072000.0,1072000.0,1072000.0,103600.0,1237400.0
2000-02-23,1047600.0,1047600.0,1085400.0,128000.0,1202600.0
2000-02-24,1062800.0,1062800.0,1062800.0,112800.0,1210400.0
2000-02-25,1032600.0,1022200.0,1062800.0,153400.0,1182800.0
2000-02-29,1042000.0,1042000.0,1042000.0,133600.0,1188400.0
2000-03-01,1042000.0,1042000.0,1042000.0,133600.0,1231400.0
2000-03-02,1042000.0,1042000.0,1042000.0,133600.0,1201000.0
2000-03-03,1053400.0,1035600.0,1054400.0,140000.0,1214400.0
2000-03-04,1036400.0,1035400.0,1070200.0,140200.0,1197400.0
2000-03-06,1026800.0,1026800.0,1026800.0,148800.0,1167400.0
2000-03-07,1026800.0,1026800.0,1026800.0,148800.0,1175400.0
2000-03-08,1026800.0,1026800.0,1026800.0,148800.0,1166400.0
2000-03-09,1048600.0,1026200.0,1050000.0,149400.0,1199800.0
2000-03-10,1015200.0,1014200.0,1059200.0,161400.0,1166400.0
2000-03-13,882000.0,882000.0,997200.0,293600.0,1033200.0
2000-03-14,880800.0,817000.0,889400.0,358600.0,1032000.0
2000-03-15,829200.0,829200.0,890800.0,346400.0,980400.0
2000-03-16,840600.0,840600.0,840600.0,335000.0,995200.0
2000-03-17,840600.0,840600.0,840600.0,335000.0,975200.0
2000-03-20,840600.0,840600.0,840600.0,335000.0,915400.0
2000-03-21,840600.0,840600.0,840600.0,335000.0,1031000.0
2000-03-22,855200.0,808200.0,879800.0,367400.0,1077400.0
2000-03-23,881200.0,881200.0,881200.0,294400.0,1189600.0
2000-03-24,867600.0,842600.0,880600.0,333000.0,1171400.0
2000-03-27,925600.0,862600.0,938000.0,313000.0,1229400.0
2000-03-28,918200.0,918200.0,918200.0,257400.0,1235600.0
2000-03-29,918200.0,918200.0,918200.0,257400.0,1232000.0
2000-03-30,918200.0,918200.0,918200.0,257400.0,1259000.0
2000-03-31,924600.0,908800.0,938200.0,266800.0,1245400.0
2000-04-01,921000.0,921000.0,921000.0,254600.0,1292200.0
2000-04-05,949000.0,888600.0,956600.0,287000.0,1332800.0
2000-04-06,880600.0,871800.0,956000.0,303800.0,1264400.0
2000-04-07,894400.0,868600.0,904600.0,307000.0,1278200.0
2000-04-08,887400.0,873600.0,903800.0,302000.0,1271200.0
2000-04-10,931000.0,864600.0,932600.0,311000.0,1314800.0
2000-04-11,918200.0,918200.0,918200.0,257400.0,1298600.0
2000-04-12,881600.0,880000.0,926600.0,295600.0,1252400.0
2000-04-13,835600.0,802000.0,851200.0,373600.0,1206400.0
2000-04-14,755200.0,753800.0,829600.0,421800.0,1126000.0
2000-04-15,631600.0,624800.0,687600.0,550800.0,1002400.0
2000-04-17,692200.0,631800.0,692200.0,543800.0,1063000.0
2000-04-18,752000.0,726000.0,773600.0,449600.0,1122800.0
2000-04-19,709600.0,709600.0,791400.0,466000.0,1080400.0
2000-04-20,701400.0,701400.0,701400.0,474200.0,1104200.0
2000-04-21,701400.0,701400.0,701400.0,474200.0,1088800.0
2000-04-24,701400.0,701400.0,701400.0,474200.0,1025600.0
2000-04-25,744000.0,689400.0,750000.0,486200.0,1062400.0
2000-04-26,640000.0,637600.0,754000.0,538000.0,958400.0
2000-04-27,669800.0,646000.0,683600.0,529600.0,988200.0
2000-04-28,714000.0,654000.0,728000.0,521600.0,1032400.0
2000-04-29,709600.0,688000.0,719600.0,487600.0,1028000.0
2000-05-02,721400.0,721400.0,721400.0,454200.0,999200.0
2000-05-03,721400.0,721400.0,721400.0,454200.0,966000.0
2000-05-04,704600.0,679200.0,748800.0,496400.0,964200.0
2000-05-05,688200.0,688200.0,688200.0,487400.0,1022400.0
2000-05-06,688200.0,688200.0,688200.0,487400.0,1014400.0
2000-05-08,682600.0,661200.0,696600.0,514400.0,1004400.0
2000-05-09,692200.0,664400.0,693400.0,511200.0,1014000.0
2000-05-10,660800.0,660800.0,704400.0,514800.0,982600.0
2000-05-11,630000.0,614600.0,638600.0,561000.0,951800.0
2000-05-12,660600.0,642600.0,671000.0,533000.0,982400.0
2000-05-15,644600.0,640600.0,666600.0,535000.0,966400.0
2000-05-16,695600.0,649600.0,695600.0,526000.0,1017400.0
2000-05-17,758600.0,710600.0,758600.0,465000.0,1080400.0
2000-05-18,761600.0,740400.0,766600.0,435200.0,1083400.0
2000-05-19,797400.0,757400.0,798400.0,418200.0,1109400.0
2000-05-20,718800.0,700600.0,796400.0,475000.0,1030800.0
2000-05-22,716000.0,713400.0,741400.0,462200.0,1028000.0
2000-05-23,700000.0,683600.0,727600.0,492000.0,1012000.0
2000-05-24,659800.0,659800.0,659800.0,515800.0,977800.0
2000-05-25,659800.0,659800.0,659800.0,515800.0,975400.0
2000-05-26,659800.0,659800.0,659800.0,515800.0,988000.0
2000-05-29,659800.0,659800.0,659800.0,515800.0,989600.0
2000-05-30,659800.0,659800.0,659800.0,515800.0,1025400.0
2000-05-31,659200.0,649200.0,663200.0,526400.0,1056400.0
2000-06-01,648200.0,638800.0,655000.0,536800.0,1045400.0
2000-06-02,664600.0,664600.0,664600.0,511000.0,1046400.0
2000-06-03,664600.0,664600.0,664600.0,511000.0,1069000.0
2000-06-05,664600.0,664600.0,664600.0,511000.0,1070600.0
2000-06-07,664600.0,664600.0,664600.0,511000.0,1097400.0
2000-06-08,664600.0,664600.0,664600.0,511000.0,1085200.0
2000-06-09,658800.0,648800.0,668200.0,526800.0,1080000.0
2000-06-12,642800.0,639200.0,666200.0,536400.0,1064000.0
2000-06-13,631600.0,631600.0,631600.0,544000.0,1040200.0
2000-06-14,631600.0,631600.0,631600.0,544000.0,1055400.0
2000-06-15,619400.0,615200.0,631400.0,560400.0,1038400.0
2000-06-16,617600.0,617600.0,617600.0,558000.0,1043200.0
2000-06-17,617600.0,617600.0,617600.0,558000.0,1032200.0
2000-06-19,617600.0,617600.0,617600.0,558000.0,1025200.0
2000-06-20,617600.0,617600.0,617600.0,558000.0,1002400.0
2000-06-21,606400.0,600400.0,627600.0,575200.0,996400.0
2000-06-22,619600.0,619600.0,619600.0,556000.0,1046400.0
2000-06-23,608000.0,606000.0,624000.0,569600.0,1026400.0
2000-06-26,576000.0,572200.0,599200.0,603400.0,994400.0
2000-06-27,584600.0,584600.0,584600.0,591000.0,981400.0
2000-06-28,584600.0,584600.0,584600.0,591000.0,970200.0
2000-06-29,584600.0,584600.0,584600.0,591000.0,900400.0
2000-06-30,584600.0,584600.0,584600.0,591000.0,912400.0
