date,action,price,contracts,profit,drawdown
2000-01-07,buy,8781.0,1,,
2000-01-20,settlement,9269.0,1,96400.0,23600.0
2000-02-11,buy,10185.0,1,,
2000-02-17,settlement,10293.0,1,20400.0,6400.0
2000-02-21,buy,10219.0,1,,
2000-02-23,sell,9820.0,1,-81000.0,89400.0
2000-02-24,buy,9780.0,1,,
2000-03-07,sell,9480.0,1,-61200.0,150600.0
2000-03-10,buy,9710.0,1,,
2000-03-14,sell,8550.0,1,-233200.0,383800.0
2000-03-15,buy,8735.0,1,,
2000-03-16,settlement,8664.0,1,-15400.0,399200.0
2000-03-21,buy,8259.0,1,,
2000-03-27,sell,9520.0,1,251000.0,148200.0
2000-03-28,buy,9801.0,1,,
2000-03-29,sell,9780.0,1,-5400.0,153600.0
2000-04-01,buy,9900.0,1,,
2000-04-05,sell,10209.0,1,60600.0,93000.0
2000-04-07,buy,10070.0,1,,
2000-04-08,sell,10079.0,1,600.0,92400.0
2000-04-21,buy,9175.0,1,,
2000-04-25,sell,8784.0,1,-79400.0,171800.0
2000-04-26,buy,9050.0,1,,
2000-04-27,sell,8578.0,1,-95600.0,267400.0
2000-04-29,buy,8820.0,1,,
2000-05-11,sell,8450.0,1,-75200.0,342600.0
2000-05-15,buy,8605.0,1,,
2000-05-18,settlement,9105.0,1,98800.0,243800.0
2000-05-19,buy,9050.0,1,,
2000-05-22,sell,8890.0,1,-33200.0,277000.0
2000-05-24,buy,8550.0,1,,
2000-05-26,sell,8500.0,1,-11200.0,288200.0
2000-06-02,buy,9000.0,1,,
2000-06-03,sell,9048.0,1,8400.0,279800.0
2000-06-05,buy,8999.0,1,,
2000-06-07,sell,9001.0,1,-800.0,280600.0
2000-06-08,buy,9175.0,1,,
2000-06-21,sell,8723.0,1,-91600.0,372200.0
2000-06-22,buy,8739.0,1,,
2000-06-22,settlement,8920.0,1,35000.0,337200.0
2000-06-23,buy,8875.0,1,,
2000-06-28,sell,8576.0,1,-61000.0,398200.0
2000-07-05,buy,8102.0,1,,
2000-07-07,sell,8316.0,1,41600.0,356600.0
2000-07-17,buy,8559.0,1,,
2000-07-20,sell,8350.0,1,-43000.0,399600.0
2000-07-26,buy,7979.0,1,,
2000-07-29,sell,8110.0,1,25000.0,374600.0
2000-08-03,buy,7950.0,1,,
2000-08-04,sell,7978.0,1,4400.0,370200.0
2000-08-05,buy,7952.0,1,,
2000-08-07,sell,7849.0,1,-21800.0,392000.0
2000-08-10,buy,8052.0,1,,
2000-08-15,sell,7905.0,1,-30600.0,422600.0
2000-08-21,buy,8269.0,1,,
2000-08-24,sell,8219.0,1,-11200.0,433800.0
2000-08-29,buy,7886.0,1,,
2000-08-31,sell,7511.0,1,-76200.0,510000.0
2000-09-02,buy,7580.0,1,,
2000-09-07,sell,7550.0,1,-7200.0,517200.0
2000-09-14,buy,7430.0,1,,
2000-09-21,settlement,6951.0,1,-97000.0,614200.0
2000-09-26,buy,6606.0,1,,
2000-09-27,sell,6780.0,1,33600.0,580600.0
2000-09-29,buy,6639.0,1,,
2000-09-30,sell,6385.0,1,-52000.0,632600.0
2000-10-03,buy,6149.0,1,,
2000-10-05,sell,6050.0,1,-21000.0,653600.0
2000-10-06,buy,6102.0,1,,
2000-10-09,sell,6435.0,1,65400.0,588200.0
2000-10-12,buy,5900.0,1,,
2000-10-19,settlement,5199.0,1,-141400.0,729600.0
2000-10-20,buy,5500.0,1,,
2000-10-23,sell,5631.0,1,25000.0,704600.0
2000-10-25,buy,5840.0,1,,
2000-11-01,sell,5645.0,1,-40200.0,744800.0
2000-11-02,buy,5475.0,1,,
2000-11-04,sell,5930.0,1,89800.0,655000.0
2000-11-07,buy,5794.0,1,,
2000-11-10,sell,6160.0,1,72000.0,583000.0
2000-11-13,buy,6040.0,1,,
2000-11-16,sell,5573.0,1,-94600.0,677600.0
2000-11-18,buy,5280.0,1,,
2000-11-20,sell,5053.0,1,-46600.0,724200.0
2000-11-27,buy,5549.0,1,,
2000-12-01,sell,5236.0,1,-63800.0,788000.0
2000-12-04,buy,5250.0,1,,
2000-12-15,sell,5250.0,1,-1200.0,789200.0
2000-12-19,buy,5062.0,1,,
2000-12-20,sell,5001.0,1,-13400.0,802600.0
2000-12-22,buy,4733.0,1,,
2001-01-02,sell,4702.0,1,-7400.0,810000.0
2001-01-03,buy,4822.0,1,,
2001-01-11,sell,5422.0,1,118800.0,691200.0
2001-01-12,buy,5385.0,1,,
2001-01-18,settlement,5949.0,1,111600.0,579600.0
2001-02-06,buy,5881.0,1,,
2001-02-08,sell,5680.0,1,-41400.0,621000.0
2001-02-14,buy,6040.0,1,,
2001-02-20,sell,5955.0,1,-18200.0,639200.0
2001-03-01,buy,5581.0,1,,
2001-03-12,sell,5499.0,1,-17600.0,656800.0
2001-03-13,buy,5480.0,1,,
2001-03-19,sell,5727.0,1,48200.0,608600.0
2001-03-21,buy,5555.0,1,,
2001-03-22,sell,5631.0,1,14000.0,594600.0
2001-03-27,buy,5909.0,1,,
2001-04-02,sell,5775.0,1,-28000.0,622600.0
2001-04-04,buy,5406.0,1,,
2001-04-10,sell,5419.0,1,1400.0,621200.0
2001-04-23,buy,5588.0,1,,
2001-04-24,sell,5621.0,1,5400.0,615800.0
2001-04-25,buy,5609.0,1,,
2001-04-26,sell,5541.0,1,-14800.0,630600.0
2001-05-03,buy,5360.0,1,,
2001-05-04,sell,5419.0,1,10600.0,620000.0
2001-05-15,buy,5181.0,1,,
2001-05-17,sell,5150.0,1,-7400.0,627400.0
2001-05-18,buy,5168.0,1,,
2001-05-21,sell,5089.0,1,-17000.0,644400.0
2001-05-22,buy,5017.0,1,,
2001-05-24,sell,5210.0,1,37400.0,607000.0
2001-05-30,buy,5085.0,1,,
2001-06-18,sell,5141.0,1,10000.0,597000.0
2001-06-19,buy,5069.0,1,,
2001-06-21,sell,5080.0,1,1000.0,596000.0
2001-06-22,buy,4990.0,1,,
2001-06-27,sell,4830.0,1,-33200.0,629200.0
2001-06-29,buy,4870.0,1,,
2001-07-03,sell,4901.0,1,5000.0,624200.0
2001-07-04,buy,4815.0,1,,
2001-07-05,sell,4749.0,1,-14400.0,638600.0
2001-07-06,buy,4712.0,1,,
2001-07-11,sell,4630.0,1,-17600.0,656200.0
2001-07-12,buy,4607.0,1,,
2001-07-16,sell,4482.0,1,-26200.0,682400.0
2001-07-17,buy,4335.0,1,,
2001-07-19,sell,4175.0,1,-33200.0,715600.0
2001-07-24,buy,4100.0,1,,
2001-07-25,sell,4038.0,1,-13600.0,729200.0
2001-07-31,buy,4261.0,1,,
2001-08-03,sell,4480.0,1,42600.0,686600.0
2001-08-06,buy,4481.0,1,,
2001-08-14,sell,4525.0,1,7600.0,679000.0
2001-08-21,buy,4551.0,1,,
2001-08-24,sell,4454.0,1,-20600.0,699600.0
2001-08-27,buy,4330.0,1,,
2001-08-30,sell,4483.0,1,29400.0,670200.0
2001-09-05,buy,4433.0,1,,
2001-09-06,sell,4376.0,1,-12600.0,682800.0
2001-09-10,buy,4254.0,1,,
2001-09-13,sell,3862.0,1,-79600.0,762400.0
2001-09-14,buy,3888.0,1,,
2001-09-19,sell,3611.0,1,-56600.0,819000.0
2001-09-21,buy,3460.0,1,,
2001-09-25,sell,3648.0,1,36400.0,782600.0
2001-09-27,buy,3594.0,1,,
2001-10-02,sell,3611.0,1,2200.0,780400.0
2001-10-05,buy,3496.0,1,,
2001-10-08,sell,3540.0,1,7600.0,772800.0
2001-10-12,buy,3945.0,1,,
2001-10-15,sell,3799.0,1,-30400.0,803200.0
2001-10-16,buy,3720.0,1,,
2001-10-18,settlement,3770.0,1,8800.0,794400.0
2001-10-25,buy,3920.0,1,,
2001-10-29,sell,3983.0,1,11400.0,783000.0
2001-10-31,buy,3826.0,1,,
2001-11-02,sell,3919.0,1,17400.0,765600.0
2001-11-06,buy,4050.0,1,,
2001-11-07,sell,4065.0,1,1800.0,763800.0
2001-11-16,buy,4375.0,1,,
2001-11-21,sell,4444.0,1,12600.0,751200.0
2001-11-27,buy,4670.0,1,,
2001-12-04,sell,4578.0,1,-19600.0,770800.0
2001-12-12,buy,5293.0,1,,
2001-12-14,sell,5340.0,1,8200.0,762600.0
2001-12-21,buy,5231.0,1,,
2001-12-24,sell,5075.0,1,-32400.0,795000.0
2001-12-28,buy,5302.0,1,,
2001-12-31,sell,5430.0,1,24400.0,770600.0
2002-01-03,buy,5650.0,1,,
2002-01-17,sell,5350.0,1,-61200.0,831800.0
2002-01-18,buy,5452.0,1,,
2002-01-24,sell,5819.0,1,72200.0,759600.0
2002-01-28,buy,5979.0,1,,
2002-02-01,sell,5895.0,1,-18000.0,777600.0
2002-02-05,buy,5762.0,1,,
2002-02-18,sell,6022.0,1,50800.0,726800.0
2002-02-21,buy,5725.0,1,,
2002-02-21,settlement,5656.0,1,-15000.0,741800.0
2002-02-27,buy,5529.0,1,,
2002-03-01,sell,5679.0,1,28800.0,713000.0
2002-03-07,buy,6138.0,1,,
2002-03-12,sell,6180.0,1,7200.0,705800.0
2002-03-18,buy,5930.0,1,,
2002-03-21,settlement,6049.0,1,22600.0,683200.0
2002-03-25,buy,6151.0,1,,
2002-04-01,sell,6103.0,1,-10800.0,694000.0
